STATE_CODE,SHRP_ID,CONSTRUCTION_NO,VISIT_DATE,GPS_SPS,EXPERIMENT_NO,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_AC,MEPDG_CRACKING_PERCENT_AC,MEPDG_TRANS_CRACK_LENGTH_AC,MEPDG_LONG_CRACK_LENGTH_AC,PATCH_A,POTHOLES_A,BLEEDING,RAVELING,MAX_MEAN_DEPTH_WIRE_REF,LLH_DEPTH_WIRE_REF_MEAN,RLH_DEPTH_WIRE_REF_MEAN,BOUND_THICKNESS_CM,PLASTICITY_INDEX,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR,PERCENT_FINER_02,MEAN_IRI,AGE_SOURCE,AGE_YR,SITE_FACTOR
48,1,1,1992-03-17,G,1,ACUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,8.0,2.4,,1992,,,480001,0.0,20.1,1186.2,1989-03-01,TX,,0.7102999999999999,construction_date,3.0444900752908968,3.044490075290897e-06
48,1,1,1993-07-13,G,1,ACUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,2.4,,1993,,,480001,0.0,19.9,712.6,1989-03-01,TX,,0.7205,construction_date,4.3668720054757015,4.366872005475702e-06
48,1,1,1995-05-03,G,1,ACUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,8.0,2.4,,1995,,,480001,0.0,20.3,861.0,1989-03-01,TX,,0.7464999999999999,construction_date,6.1711156741957565,6.171115674195756e-06
48,1,2,1997-08-06,G,1,ACUB,3.0,0.0,42.0,728.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,2.4,,1997,,196.0,480001,9.0,19.4,1185.7,,TX,,0.7554000000000001,first_visit_proxy,0.0,0.0
48,1,2,1998-02-23,G,1,ACUB,3.0,0.0,42.0,728.0,0.0,0.0,0.0,91.5,4.0,3.0,4.0,2.4,,1998,,124.0,480001,3.0,21.3,998.1,,TX,,0.7632,first_visit_proxy,0.5503080082135524,2.20123203285421e-06
48,1,2,1999-08-26,G,1,ACUB,3.0,0.0,42.0,402.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,2.4,,1999,390.0,140.0,480001,0.0,21.4,611.7,,TX,,0.7994,first_visit_proxy,2.0533880903490758,2.0533880903490757e-06
48,1,2,2001-09-11,G,1,ACUB,4.0,2.0,59.0,38.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,2.4,,2001,,222.0,480001,0.0,20.1,1107.2,,TX,,1.0919,first_visit_proxy,4.098562628336755,4.098562628336755e-06
48,1,2,2002-01-14,G,1,ACUB,4.0,2.0,59.0,38.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,2.4,,2002,,618.0,480001,0.0,20.2,943.6,,TX,,1.1916,first_visit_proxy,4.440793976728268,4.440793976728268e-06
48,1,3,2004-02-17,G,1,ACUB,6.0,2.0,83.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,2.4,,2004,,,480001,1.0,20.4,1315.7,,TX,,1.3126000000000002,first_visit_proxy,0.0,0.0
48,1,3,2004-08-10,G,1,ACUB,6.0,2.0,83.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,2.4,,2004,,,480001,1.0,20.4,1315.7,,TX,,1.391,first_visit_proxy,0.4791238877481177,9.582477754962355e-07
