STATE_CODE,SHRP_ID,CONSTRUCTION_NO,VISIT_DATE,GPS_SPS,EXPERIMENT_NO,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_JPCC,MEPDG_CRACKING_PERCENT_JPCC,AVG_WHEELPATH_FAULT,TRANS_SPALLING_L,TRANS_CRACK_NO,PATCH_RIGID_A,HPMS16_CRACKING_PERCENT_CRCP,MEPDG_PUNCHOUTS_CRCP,PUNCHOUTS_NO,LONG_SPALLING_L,BOUND_THICKNESS_CM,PLASTICITY_INDEX,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,LOAD_TRANSFER_EFFICIENCY,STATE_ABBR,PERCENT_FINER_02,MEAN_IRI,PREV_IRI,YEARS_SINCE_PREV,AGE_SOURCE,AGE_YR
10,1201,1,1995-11-16,G,4,JRCP,9.0,,3.0,6.7,1.0,0.0,,,,,9.2,,1995,,,101201,68.0,14.0,1011.1,1966-06-01,,DE,,1.8248000000000002,1.8636,1.4209445585215605,construction_date,29.45927446954141
10,1201,1,1997-12-14,G,4,JRCP,9.0,,3.0,11.7,1.0,0.0,,,,,9.2,,1997,,,101201,37.0,14.8,1105.1,1966-06-01,89.35227272727273,DE,,1.9637999999999998,1.8248000000000002,2.078028747433265,construction_date,31.537303216974674
10,1201,1,1998-07-29,G,4,JRCP,9.0,,3.0,11.7,1.0,0.0,,,,,9.2,,1998,,,101201,19.0,15.1,1073.2,1966-06-01,89.35227272727273,DE,,1.9672,1.9637999999999998,0.621492128678987,construction_date,32.158795345653665
42,1606,1,1992-10-08,G,4,JRCP,0.0,,1.3,0.0,6.0,0.0,,,,,10.1,,1992,,192.0,421606,258.0,9.1,868.5,1977-09-01,84.1375,PA,,1.458,1.3661999999999999,0.9774127310061602,construction_date,15.101984941820671
42,1606,1,1993-10-07,G,4,JRCP,0.0,,1.3,0.0,6.0,0.0,,,,,10.1,,1993,520.0,307.0,421606,315.0,9.4,1118.2,1977-09-01,84.1375,PA,,1.5312999999999999,1.458,0.9965776865160849,construction_date,16.098562628336754
42,1606,1,1994-09-27,G,4,JRCP,9.0,,0.8,0.0,4.0,0.0,,,,,10.1,,1994,,211.0,421606,415.0,9.4,1077.3,1977-09-01,90.77083333333331,PA,,1.4817,1.5312999999999999,0.971937029431896,construction_date,17.07049965776865
42,1606,1,1995-08-30,G,4,JRCP,9.0,,0.8,0.0,4.0,0.0,,,,,10.1,,1995,,,421606,364.0,9.7,894.3,1977-09-01,90.77083333333331,PA,,1.5262,1.4817,0.9226557152635181,construction_date,17.99315537303217
42,1606,1,1996-01-11,G,4,JRCP,9.0,,0.0,0.0,8.0,0.0,,,,,10.1,,1996,,,421606,380.0,9.2,1377.8,1977-09-01,58.34583333333333,PA,,1.4541,1.5262,0.3668720054757016,construction_date,18.360027378507873
42,1606,1,1996-03-01,G,4,JRCP,9.0,,0.0,0.0,8.0,0.0,,,,,10.1,,1996,,,421606,380.0,9.2,1377.8,1977-09-01,63.73333333333333,PA,,1.4979,1.4541,0.13689253935660506,construction_date,18.496919917864478
42,1606,1,1996-04-10,G,4,JRCP,9.0,,0.0,0.0,8.0,0.0,,,,,10.1,,1996,,,421606,380.0,9.2,1377.8,1977-09-01,63.73333333333333,PA,,1.5099500000000001,1.4979,0.10951403148528405,construction_date,18.60643394934976
42,1606,1,1997-10-14,G,4,JRCP,9.0,,0.0,0.0,14.0,0.0,,,,,10.1,,1997,,,421606,225.0,9.5,1046.0,1977-09-01,55.63333333333333,PA,,1.52975,1.5099500000000001,1.51129363449692,construction_date,20.11772758384668
42,1606,1,1998-02-26,G,4,JRCP,18.0,,0.0,0.0,12.0,0.0,,,,,10.1,,1998,760.0,156.0,421606,92.0,11.8,898.0,1977-09-01,48.208333333333336,PA,,1.57815,1.52975,0.36960985626283366,construction_date,20.487337440109513
42,1606,1,1998-05-27,G,4,JRCP,18.0,,0.0,0.0,12.0,0.0,,,,,10.1,,1998,760.0,156.0,421606,92.0,11.8,898.0,1977-09-01,91.11111111111111,PA,,1.6314,1.57815,0.2464065708418891,construction_date,20.733744010951405
