STATE_CODE,SHRP_ID,CONSTRUCTION_NO,VISIT_DATE,GPS_SPS,EXPERIMENT_NO,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_JPCC,MEPDG_CRACKING_PERCENT_JPCC,AVG_WHEELPATH_FAULT,TRANS_SPALLING_L,TRANS_CRACK_NO,PATCH_RIGID_A,HPMS16_CRACKING_PERCENT_CRCP,MEPDG_PUNCHOUTS_CRCP,PUNCHOUTS_NO,LONG_SPALLING_L,BOUND_THICKNESS_CM,PLASTICITY_INDEX,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,LOAD_TRANSFER_EFFICIENCY,STATE_ABBR,PERCENT_FINER_02,MEAN_IRI,PREV_IRI,YEARS_SINCE_PREV,AGE_SOURCE,AGE_YR
10,1201,1,1990-03-27,G,4,JRCP,,,,,,,,,,,9.2,,1990,,,101201,14.0,15.0,1129.5,1966-06-01,93.7159090909091,DE,,1.9966000000000002,,,construction_date,23.81930184804928
10,1201,1,1990-11-14,G,4,JRCP,,,,,,,,,,,9.2,,1990,,,101201,14.0,15.0,1129.5,1966-06-01,94.4431818181818,DE,,1.8306,1.9966000000000002,0.6351813826146475,construction_date,24.45448323066393
10,1201,1,1991-06-18,G,4,JRCP,,,,,,,,,,,9.2,,1991,,,101201,26.0,14.9,1142.9,1966-06-01,94.4431818181818,DE,,1.8356000000000001,1.8306,0.5913757700205339,construction_date,25.045859000684462
10,1201,1,1992-06-23,G,4,JRCP,,,,,,,,,,,9.2,,1992,,,101201,34.0,13.1,1088.2,1966-06-01,94.4431818181818,DE,,1.73,1.8356000000000001,1.0157426420260096,construction_date,26.06160164271047
10,1201,1,1993-06-15,G,4,JRCP,,,,,,,,,,,9.2,,1993,,,101201,62.0,13.7,1208.8,1966-06-01,,DE,,1.8780999999999999,1.73,0.9774127310061602,construction_date,27.039014373716633
10,1201,1,1994-06-15,G,4,JRCP,,,,,,,,,,,9.2,,1994,,,101201,106.0,13.9,1239.2,1966-06-01,,DE,,1.8636,1.8780999999999999,0.999315537303217,construction_date,28.03832991101985
10,1201,1,1995-11-16,G,4,JRCP,9.0,,3.0,6.7,1.0,0.0,,,,,9.2,,1995,,,101201,68.0,14.0,1011.1,1966-06-01,,DE,,1.8248000000000002,1.8636,1.4209445585215605,construction_date,29.45927446954141
10,1201,1,1997-12-14,G,4,JRCP,9.0,,3.0,11.7,1.0,0.0,,,,,9.2,,1997,,,101201,37.0,14.8,1105.1,1966-06-01,89.35227272727273,DE,,1.9637999999999998,1.8248000000000002,2.078028747433265,construction_date,31.537303216974674
10,1201,1,1998-07-29,G,4,JRCP,9.0,,3.0,11.7,1.0,0.0,,,,,9.2,,1998,,,101201,19.0,15.1,1073.2,1966-06-01,89.35227272727273,DE,,1.9672,1.9637999999999998,0.621492128678987,construction_date,32.158795345653665
10,1201,1,2001-02-21,G,4,JRCP,,,,,,,,,,,9.2,,2001,,,101201,28.0,14.2,1032.2,1966-06-01,,DE,,1.9682,1.9672,2.568104038329911,construction_date,34.72689938398357
42,1598,1,1989-11-21,G,5,CRCP,,,,,,,,,,,9.4,,1989,,,421598,292.0,10.5,1117.3,1975-01-01,90.51344086021506,PA,,1.6762000000000001,,,construction_date,14.888432580424366
42,1598,1,1990-05-17,G,5,CRCP,,,,,,,,,,,9.4,,1990,,1202.0,421598,52.0,12.4,1126.0,1975-01-01,90.51344086021506,PA,,1.682,1.6762000000000001,0.48459958932238195,construction_date,15.373032169746748
42,1598,1,1991-10-10,G,5,CRCP,,,,,,,,,,,9.4,,1991,,1521.0,421598,104.0,12.3,748.9,1975-01-01,,PA,,1.6184,1.682,1.3990417522245038,construction_date,16.772073921971252
42,1598,1,1992-12-17,G,5,CRCP,,,,,,,,,,,9.4,,1992,,889.0,421598,140.0,10.5,930.4,1975-01-01,,PA,,1.5695999999999999,1.6184,1.1882272416153319,construction_date,17.960301163586585
42,1598,1,1993-10-13,G,5,CRCP,,,,,,,,,,,9.4,,1993,,1256.0,421598,211.0,11.1,1235.2,1975-01-01,,PA,,1.7024000000000001,1.5695999999999999,0.8213552361396304,construction_date,18.781656399726216
42,1598,1,1994-09-15,G,5,CRCP,,,,,,,,,,,9.4,,1994,,3149.0,421598,333.0,11.2,1202.7,1975-01-01,,PA,,1.7131,1.7024000000000001,0.9226557152635181,construction_date,19.704312114989733
42,1598,2,1995-11-08,G,5,CRCP,,,,,,0.0,1.0,0.0,0.0,3.5,9.4,,1995,,7865.0,421598,219.0,11.4,952.5,,90.38888888888889,PA,,1.8094999999999999,,,first_visit_proxy,0.0
42,1598,2,1997-09-09,G,5,CRCP,,,,,,,,,,,9.4,,1997,,,421598,128.0,11.3,919.1,,,PA,,1.8059,1.8094999999999999,1.83709787816564,first_visit_proxy,1.83709787816564
42,1598,2,1998-08-20,G,5,CRCP,,,,,,,,,,,9.4,,1998,,,421598,55.0,13.0,1167.1,,,PA,,1.7917999999999998,1.8059,0.944558521560575,first_visit_proxy,2.7816563997262147
42,1606,1,1989-11-12,G,4,JRCP,,,,,,,,,,,10.1,,1989,,,421606,426.0,9.3,1089.2,1977-09-01,87.64015151515152,PA,,1.4098,,,construction_date,12.19712525667351
42,1606,1,1990-05-21,G,4,JRCP,,,,,,,,,,,10.1,,1990,,367.0,421606,90.0,11.2,1067.9,1977-09-01,87.64015151515152,PA,,1.4529,1.4098,0.5201916495550992,construction_date,12.71731690622861
42,1606,1,1990-09-21,G,4,JRCP,,,,,,,,,,,10.1,,1990,,367.0,421606,90.0,11.2,1067.9,1977-09-01,,PA,,1.4697,1.4529,0.33675564681724846,construction_date,13.05407255304586
42,1606,1,1991-10-17,G,4,JRCP,,,,,,,,,,,10.1,,1991,,225.0,421606,199.0,11.3,699.0,1977-09-01,,PA,,1.3661999999999999,1.4697,1.0704996577686516,construction_date,14.124572210814511
42,1606,1,1992-10-08,G,4,JRCP,0.0,,1.3,0.0,6.0,0.0,,,,,10.1,,1992,,192.0,421606,258.0,9.1,868.5,1977-09-01,84.1375,PA,,1.458,1.3661999999999999,0.9774127310061602,construction_date,15.101984941820671
42,1606,1,1993-10-07,G,4,JRCP,0.0,,1.3,0.0,6.0,0.0,,,,,10.1,,1993,520.0,307.0,421606,315.0,9.4,1118.2,1977-09-01,84.1375,PA,,1.5312999999999999,1.458,0.9965776865160849,construction_date,16.098562628336754
42,1606,1,1994-09-27,G,4,JRCP,9.0,,0.8,0.0,4.0,0.0,,,,,10.1,,1994,,211.0,421606,415.0,9.4,1077.3,1977-09-01,90.77083333333331,PA,,1.4817,1.5312999999999999,0.971937029431896,construction_date,17.07049965776865
42,1606,1,1995-08-30,G,4,JRCP,9.0,,0.8,0.0,4.0,0.0,,,,,10.1,,1995,,,421606,364.0,9.7,894.3,1977-09-01,90.77083333333331,PA,,1.5262,1.4817,0.9226557152635181,construction_date,17.99315537303217
