STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_AC,MEPDG_CRACKING_PERCENT_AC,MEPDG_TRANS_CRACK_LENGTH_AC,MEPDG_LONG_CRACK_LENGTH_AC,PATCH_A,POTHOLES_A,BLEEDING,RAVELING,MAX_MEAN_DEPTH_WIRE_REF,LLH_DEPTH_WIRE_REF_MEAN,RLH_DEPTH_WIRE_REF_MEAN,BOUND_THICKNESS_CM,PLASTICITY_INDEX,PERCENT_FINER_02,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
2,1001,1,G,1,1990-05-28,1.13,1.333,ACUB,,,1608,0,0.0,0.0,0.0,0.0,,,,3.0,,,1990,,,021001,1359,1.7,1156.7,1983-07-01,AK
2,1001,1,G,1,1990-05-28,1.146,1.346,ACUB,,,1608,0,0.0,0.0,0.0,0.0,,,,3.0,,,1990,,,021001,1359,1.7,1156.7,1983-07-01,AK
2,1001,1,G,1,1990-05-28,1.122,1.322,ACUB,,,1608,0,0.0,0.0,0.0,0.0,,,,3.0,,,1990,,,021001,1359,1.7,1156.7,1983-07-01,AK
2,1001,1,G,1,1990-05-28,1.147,1.384,ACUB,,,1608,0,0.0,0.0,0.0,0.0,,,,3.0,,,1990,,,021001,1359,1.7,1156.7,1983-07-01,AK
2,1001,1,G,1,1991-08-21,1.197,1.354,ACUB,,,731,0,0.0,0.0,0.0,32.1,6,6,3,3.0,,,1991,,,021001,820,2.8,1501.0,1983-07-01,AK
2,1001,1,G,1,1990-05-28,1.119,1.335,ACUB,,,1608,0,0.0,0.0,0.0,0.0,,,,3.0,,,1990,,,021001,1359,1.7,1156.7,1983-07-01,AK
2,1001,2,G,1,1993-08-26,1.163,1.549,ACUB,,,1649,284,5.5,0.0,0.0,0.0,,,,3.0,,,1993,160.0,52.0,021001,616,4.4,1186.2,,AK
2,1001,2,G,1,1993-08-26,1.163,1.549,ACUB,,,1649,284,5.5,0.0,0.0,0.0,,,,3.0,,,1993,160.0,52.0,021001,616,4.4,1186.2,,AK
2,1001,2,G,1,1993-08-26,1.163,1.549,ACUB,,,1649,284,5.5,0.0,0.0,0.0,,,,3.0,,,1993,160.0,52.0,021001,616,4.4,1186.2,,AK
2,1001,3,G,1,1997-08-22,1.239,1.594,ACUB,0.0,0.0,1635,0,12.0,0.0,0.0,0.0,10,10,8,3.0,,,1997,190.0,40.0,021001,775,3.5,1148.6,,AK
2,1001,3,G,1,1997-08-22,1.239,1.594,ACUB,0.0,0.0,1635,0,12.0,0.0,0.0,0.0,10,10,8,3.0,,,1997,190.0,40.0,021001,775,3.5,1148.6,,AK
2,1001,3,G,1,1999-06-24,1.251,1.803,ACUB,0.0,0.0,831,0,7.2,0.0,0.0,0.0,11,11,9,3.0,,,1999,,,021001,1321,1.4,1068.9,,AK
2,1001,4,G,1,2003-06-16,1.363,1.895,ACUB,0.0,0.0,887,0,10.6,0.0,1.5,88.3,15,15,12,3.0,,,2003,,,021001,650,4.1,1008.3,,AK
2,1001,4,G,1,2005-05-05,1.356,1.991,ACUB,0.0,0.0,877,0,6.0,0.0,1.1,78.0,17,17,15,3.0,,,2005,,,021001,717,4.1,1534.5,,AK
2,1001,4,G,1,2001-07-14,1.279,1.829,ACUB,0.0,0.0,887,0,9.9,0.0,7.1,88.2,12,12,10,3.0,,,2001,,,021001,722,3.3,1132.6,,AK
2,1002,1,G,1,1991-08-22,1.69,1.424,ACUB,1.0,0.0,877,132,0.0,0.0,0.0,0.0,5,4,5,3.4,,,1991,,,021002,734,3.0,2222.6,1984-10-01,AK
2,1002,1,G,1,1997-08-21,1.567,1.488,ACUB,0.0,0.0,980,0,0.0,0.0,0.0,0.0,8,7,8,3.4,,,1997,190.0,39.0,021002,537,4.7,2426.0,1984-10-01,AK
2,1002,1,G,1,1997-08-21,1.567,1.488,ACUB,0.0,0.0,980,0,0.0,0.0,0.0,0.0,8,7,8,3.4,,,1997,190.0,39.0,021002,537,4.7,2426.0,1984-10-01,AK
2,1002,1,G,1,1995-06-14,1.84,1.955,ACUB,0.0,0.0,1046,0,0.0,0.0,0.0,0.0,7,5,7,3.4,,,1995,200.0,28.0,021002,857,3.5,2997.0,1984-10-01,AK
2,1002,1,G,1,1995-06-14,1.84,1.955,ACUB,0.0,0.0,1046,0,0.0,0.0,0.0,0.0,7,5,7,3.4,,,1995,200.0,28.0,021002,857,3.5,2997.0,1984-10-01,AK
2,1002,1,G,1,1995-06-14,1.84,1.955,ACUB,0.0,0.0,1046,0,0.0,0.0,0.0,0.0,7,5,7,3.4,,,1995,200.0,28.0,021002,857,3.5,2997.0,1984-10-01,AK
2,1002,1,G,1,1990-06-02,1.829,1.558,ACUB,1.0,0.0,1386,49,0.0,0.0,0.0,0.0,,,,3.4,,,1990,,,021002,1208,2.1,1597.1,1984-10-01,AK
2,1002,1,G,1,1990-06-02,1.796,1.631,ACUB,1.0,0.0,1386,49,0.0,0.0,0.0,0.0,,,,3.4,,,1990,,,021002,1208,2.1,1597.1,1984-10-01,AK
2,1002,1,G,1,1990-06-02,1.757,1.644,ACUB,1.0,0.0,1386,49,0.0,0.0,0.0,0.0,,,,3.4,,,1990,,,021002,1208,2.1,1597.1,1984-10-01,AK
2,1002,1,G,1,1990-06-02,1.828,1.62,ACUB,1.0,0.0,1386,49,0.0,0.0,0.0,0.0,,,,3.4,,,1990,,,021002,1208,2.1,1597.1,1984-10-01,AK
2,1002,1,G,1,1990-06-02,1.771,1.615,ACUB,1.0,0.0,1386,49,0.0,0.0,0.0,0.0,,,,3.4,,,1990,,,021002,1208,2.1,1597.1,1984-10-01,AK
