STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_AC,MEPDG_CRACKING_PERCENT_AC,MEPDG_TRANS_CRACK_LENGTH_AC,MEPDG_LONG_CRACK_LENGTH_AC,PATCH_A,POTHOLES_A,BLEEDING,RAVELING,MAX_MEAN_DEPTH_WIRE_REF,LLH_DEPTH_WIRE_REF_MEAN,RLH_DEPTH_WIRE_REF_MEAN,BOUND_THICKNESS_CM,PLASTICITY_INDEX,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
5,2042,1,G,2,1990-11-15,3.009,2.793,ACATB,5.0,3.0,,,0.0,0.0,0.0,0.0,13,10,13,5.2,,1990,,,052042,12,17.8,1851.7,1972-12-01,AR
5,2042,1,G,2,1990-11-15,3.0,2.77,ACATB,5.0,3.0,,,0.0,0.0,0.0,0.0,13,10,13,5.2,,1990,,,052042,12,17.8,1851.7,1972-12-01,AR
5,2042,1,G,2,1990-11-15,2.982,2.606,ACATB,5.0,3.0,,,0.0,0.0,0.0,0.0,13,10,13,5.2,,1990,,,052042,12,17.8,1851.7,1972-12-01,AR
5,2042,1,G,2,1990-11-15,2.997,2.757,ACATB,5.0,3.0,,,0.0,0.0,0.0,0.0,13,10,13,5.2,,1990,,,052042,12,17.8,1851.7,1972-12-01,AR
5,2042,1,G,2,1990-11-15,3.01,2.757,ACATB,5.0,3.0,,,0.0,0.0,0.0,0.0,13,10,13,5.2,,1990,,,052042,12,17.8,1851.7,1972-12-01,AR
5,2042,1,G,2,1991-12-11,3.206,2.794,ACATB,5.0,3.0,,,0.0,0.0,0.0,0.0,16,7,16,5.2,,1991,,,052042,8,17.0,2162.2,1972-12-01,AR
5,2042,1,G,2,1991-12-11,3.185,2.679,ACATB,5.0,3.0,,,0.0,0.0,0.0,0.0,16,7,16,5.2,,1991,,,052042,8,17.0,2162.2,1972-12-01,AR
5,2042,1,G,2,1991-12-11,3.208,2.826,ACATB,5.0,3.0,,,0.0,0.0,0.0,0.0,16,7,16,5.2,,1991,,,052042,8,17.0,2162.2,1972-12-01,AR
5,2042,1,G,2,1991-12-11,3.237,2.783,ACATB,5.0,3.0,,,0.0,0.0,0.0,0.0,16,7,16,5.2,,1991,,,052042,8,17.0,2162.2,1972-12-01,AR
5,2042,1,G,2,1991-12-11,3.182,2.672,ACATB,5.0,3.0,,,0.0,0.0,0.0,0.0,16,7,16,5.2,,1991,,,052042,8,17.0,2162.2,1972-12-01,AR
5,2042,2,G,2,1993-09-08,2.658,4.273,ACATB,5.0,6.0,3565.0,336.0,0.2,0.0,0.0,0.0,,,,5.2,,1993,,24.0,052042,3,16.0,1180.7,,AR
5,2042,2,G,2,1993-09-08,3.18,3.815,ACATB,5.0,6.0,3565.0,336.0,0.2,0.0,0.0,0.0,,,,5.2,,1993,,24.0,052042,3,16.0,1180.7,,AR
5,2042,2,G,2,1993-09-08,2.776,4.253,ACATB,5.0,6.0,3565.0,336.0,0.2,0.0,0.0,0.0,,,,5.2,,1993,,24.0,052042,3,16.0,1180.7,,AR
5,2042,2,G,2,1993-09-08,2.942,4.055,ACATB,5.0,6.0,3565.0,336.0,0.2,0.0,0.0,0.0,,,,5.2,,1993,,24.0,052042,3,16.0,1180.7,,AR
5,2042,2,G,2,1993-09-08,3.18,3.846,ACATB,5.0,6.0,3565.0,336.0,0.2,0.0,0.0,0.0,,,,5.2,,1993,,24.0,052042,3,16.0,1180.7,,AR
5,3048,1,G,2,1990-11-16,2.132,1.164,ACATB,3.0,0.0,443.0,506.0,45.8,0.0,0.0,0.0,4,4,3,5.2,,1990,,,053048,20,17.4,1527.4,1981-12-01,AR
5,3048,1,G,2,1990-11-16,2.041,1.227,ACATB,3.0,0.0,443.0,506.0,45.8,0.0,0.0,0.0,4,4,3,5.2,,1990,,,053048,20,17.4,1527.4,1981-12-01,AR
5,3048,1,G,2,1990-11-16,2.051,1.189,ACATB,3.0,0.0,443.0,506.0,45.8,0.0,0.0,0.0,4,4,3,5.2,,1990,,,053048,20,17.4,1527.4,1981-12-01,AR
5,3048,1,G,2,1990-11-16,2.189,1.169,ACATB,3.0,0.0,443.0,506.0,45.8,0.0,0.0,0.0,4,4,3,5.2,,1990,,,053048,20,17.4,1527.4,1981-12-01,AR
5,3048,1,G,2,1990-11-16,2.076,1.165,ACATB,3.0,0.0,443.0,506.0,45.8,0.0,0.0,0.0,4,4,3,5.2,,1990,,,053048,20,17.4,1527.4,1981-12-01,AR
5,3048,1,G,2,1991-12-10,2.057,1.267,ACATB,14.0,6.0,738.0,1098.0,32.2,0.0,,,5,5,4,5.2,,1991,,,053048,11,17.0,1853.7,1981-12-01,AR
5,3048,1,G,2,1991-12-10,2.04,1.248,ACATB,14.0,6.0,738.0,1098.0,32.2,0.0,,,5,5,4,5.2,,1991,,,053048,11,17.0,1853.7,1981-12-01,AR
5,3048,1,G,2,1991-12-10,2.046,1.273,ACATB,14.0,6.0,738.0,1098.0,32.2,0.0,,,5,5,4,5.2,,1991,,,053048,11,17.0,1853.7,1981-12-01,AR
5,3048,1,G,2,1991-12-10,2.095,1.252,ACATB,14.0,6.0,738.0,1098.0,32.2,0.0,,,5,5,4,5.2,,1991,,,053048,11,17.0,1853.7,1981-12-01,AR
5,3048,1,G,2,1991-12-10,2.138,1.2,ACATB,14.0,6.0,738.0,1098.0,32.2,0.0,,,5,5,4,5.2,,1991,,,053048,11,17.0,1853.7,1981-12-01,AR
5,3048,1,G,2,1993-09-09,1.992,1.392,ACATB,,,,,,,,,5,5,3,5.2,,1993,90.0,21.0,053048,10,16.1,1305.2,1981-12-01,AR
5,3048,1,G,2,1993-09-09,1.992,1.392,ACATB,,,,,,,,,5,5,3,5.2,,1993,90.0,21.0,053048,10,16.1,1305.2,1981-12-01,AR
5,3048,1,G,2,1993-09-09,1.961,1.409,ACATB,,,,,,,,,5,5,3,5.2,,1993,90.0,21.0,053048,10,16.1,1305.2,1981-12-01,AR
5,3048,1,G,2,1993-09-09,1.961,1.409,ACATB,,,,,,,,,5,5,3,5.2,,1993,90.0,21.0,053048,10,16.1,1305.2,1981-12-01,AR
5,3048,1,G,2,1993-09-09,1.967,1.371,ACATB,,,,,,,,,5,5,3,5.2,,1993,90.0,21.0,053048,10,16.1,1305.2,1981-12-01,AR
5,3048,1,G,2,1993-09-09,1.967,1.371,ACATB,,,,,,,,,5,5,3,5.2,,1993,90.0,21.0,053048,10,16.1,1305.2,1981-12-01,AR
5,3048,1,G,2,1993-09-09,1.944,1.442,ACATB,,,,,,,,,5,5,3,5.2,,1993,90.0,21.0,053048,10,16.1,1305.2,1981-12-01,AR
5,3048,1,G,2,1993-09-09,1.944,1.442,ACATB,,,,,,,,,5,5,3,5.2,,1993,90.0,21.0,053048,10,16.1,1305.2,1981-12-01,AR
5,3048,1,G,2,1993-09-09,1.943,1.469,ACATB,,,,,,,,,5,5,3,5.2,,1993,90.0,21.0,053048,10,16.1,1305.2,1981-12-01,AR
5,3048,1,G,2,1993-09-09,1.943,1.469,ACATB,,,,,,,,,5,5,3,5.2,,1993,90.0,21.0,053048,10,16.1,1305.2,1981-12-01,AR
5,3048,1,G,2,1994-09-22,1.927,1.471,ACATB,,,,,,,,,,,,5.2,,1994,90.0,30.0,053048,40,16.6,1465.7,1981-12-01,AR
5,3048,1,G,2,1994-09-22,1.927,1.471,ACATB,,,,,,,,,,,,5.2,,1994,90.0,30.0,053048,40,16.6,1465.7,1981-12-01,AR
5,3048,1,G,2,1994-09-22,1.958,1.367,ACATB,,,,,,,,,,,,5.2,,1994,90.0,30.0,053048,40,16.6,1465.7,1981-12-01,AR
5,3048,1,G,2,1994-09-22,1.958,1.367,ACATB,,,,,,,,,,,,5.2,,1994,90.0,30.0,053048,40,16.6,1465.7,1981-12-01,AR
5,3048,1,G,2,1994-09-22,1.952,1.364,ACATB,,,,,,,,,,,,5.2,,1994,90.0,30.0,053048,40,16.6,1465.7,1981-12-01,AR
5,3048,1,G,2,1994-09-22,1.952,1.364,ACATB,,,,,,,,,,,,5.2,,1994,90.0,30.0,053048,40,16.6,1465.7,1981-12-01,AR
5,3048,1,G,2,1994-09-22,1.944,1.41,ACATB,,,,,,,,,,,,5.2,,1994,90.0,30.0,053048,40,16.6,1465.7,1981-12-01,AR
5,3048,1,G,2,1994-09-22,1.944,1.41,ACATB,,,,,,,,,,,,5.2,,1994,90.0,30.0,053048,40,16.6,1465.7,1981-12-01,AR
5,3048,1,G,2,1994-09-22,2.003,1.343,ACATB,,,,,,,,,,,,5.2,,1994,90.0,30.0,053048,40,16.6,1465.7,1981-12-01,AR
5,3048,1,G,2,1994-09-22,2.003,1.343,ACATB,,,,,,,,,,,,5.2,,1994,90.0,30.0,053048,40,16.6,1465.7,1981-12-01,AR
5,3048,1,G,2,1998-03-23,1.876,1.89,ACATB,40.0,37.0,2332.0,166.0,39.0,0.0,,,3,3,2,5.2,,1998,,,053048,19,18.2,1167.9,1981-12-01,AR
