STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_AC,MEPDG_CRACKING_PERCENT_AC,MEPDG_TRANS_CRACK_LENGTH_AC,MEPDG_LONG_CRACK_LENGTH_AC,PATCH_A,POTHOLES_A,BLEEDING,RAVELING,MAX_MEAN_DEPTH_WIRE_REF,LLH_DEPTH_WIRE_REF_MEAN,RLH_DEPTH_WIRE_REF_MEAN,BOUND_THICKNESS_CM,PLASTICITY_INDEX,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
4,1001,2,G,1,1990-03-24,0.923,1.174,ACUB,,,,,,,,,30,23,30,12.6,,1990,,,041001,0,22.0,264.2,,AZ
4,1001,2,G,1,1990-03-24,1.009,1.083,ACUB,,,,,,,,,30,23,30,12.6,,1990,,,041001,0,22.0,264.2,,AZ
4,1001,2,G,1,1990-03-24,1.006,1.163,ACUB,,,,,,,,,30,23,30,12.6,,1990,,,041001,0,22.0,264.2,,AZ
4,1001,2,G,1,1990-03-24,1.026,1.118,ACUB,,,,,,,,,30,23,30,12.6,,1990,,,041001,0,22.0,264.2,,AZ
4,1001,2,G,1,1990-03-24,1.046,1.106,ACUB,,,,,,,,,30,23,30,12.6,,1990,,,041001,0,22.0,264.2,,AZ
4,1001,2,G,1,1992-02-28,1.043,1.097,ACUB,,,,,,,,,33,23,33,12.6,,1992,,,041001,0,22.1,443.7,,AZ
4,1001,2,G,1,1992-02-28,1.04,1.118,ACUB,,,,,,,,,33,23,33,12.6,,1992,,,041001,0,22.1,443.7,,AZ
4,1001,2,G,1,1992-02-28,1.049,1.119,ACUB,,,,,,,,,33,23,33,12.6,,1992,,,041001,0,22.1,443.7,,AZ
4,1001,2,G,1,1992-02-28,1.009,1.114,ACUB,,,,,,,,,33,23,33,12.6,,1992,,,041001,0,22.1,443.7,,AZ
4,1001,2,G,1,1992-02-28,1.011,1.124,ACUB,,,,,,,,,33,23,33,12.6,,1992,,,041001,0,22.1,443.7,,AZ
4,1001,2,G,1,1993-02-18,0.99,1.208,ACUB,,,,,,,,,,,,12.6,,1993,,382.0,041001,0,22.0,374.6,,AZ
4,1001,2,G,1,1993-02-18,1.058,1.188,ACUB,,,,,,,,,,,,12.6,,1993,,382.0,041001,0,22.0,374.6,,AZ
4,1001,2,G,1,1993-02-18,0.99,1.169,ACUB,,,,,,,,,,,,12.6,,1993,,382.0,041001,0,22.0,374.6,,AZ
4,1001,2,G,1,1993-02-18,1.051,1.185,ACUB,,,,,,,,,,,,12.6,,1993,,382.0,041001,0,22.0,374.6,,AZ
4,1001,2,G,1,1993-02-18,0.971,1.198,ACUB,,,,,,,,,,,,12.6,,1993,,382.0,041001,0,22.0,374.6,,AZ
4,1001,2,G,1,1995-03-06,0.965,1.304,ACUB,,,,,,,,,,,,12.6,,1995,,862.0,041001,0,22.7,164.5,,AZ
4,1001,2,G,1,1995-03-06,1.007,1.25,ACUB,,,,,,,,,,,,12.6,,1995,,862.0,041001,0,22.7,164.5,,AZ
4,1001,2,G,1,1995-03-06,1.044,1.241,ACUB,,,,,,,,,,,,12.6,,1995,,862.0,041001,0,22.7,164.5,,AZ
