STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_AC,MEPDG_CRACKING_PERCENT_AC,MEPDG_TRANS_CRACK_LENGTH_AC,MEPDG_LONG_CRACK_LENGTH_AC,PATCH_A,POTHOLES_A,BLEEDING,RAVELING,MAX_MEAN_DEPTH_WIRE_REF,LLH_DEPTH_WIRE_REF_MEAN,RLH_DEPTH_WIRE_REF_MEAN,BOUND_THICKNESS_CM,PLASTICITY_INDEX,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
13,1001,1,G,1,1990-08-07,0.73,0.886,ACUB,,,,,,,,,6,6,4,8.1,,1990,,,131001,1,17.6,1305.0,1986-09-01,GA
13,1001,1,G,1,1990-08-07,0.702,0.889,ACUB,,,,,,,,,6,6,4,8.1,,1990,,,131001,1,17.6,1305.0,1986-09-01,GA
13,1001,1,G,1,1990-08-07,0.711,0.879,ACUB,,,,,,,,,6,6,4,8.1,,1990,,,131001,1,17.6,1305.0,1986-09-01,GA
13,1001,1,G,1,1990-08-07,0.716,0.898,ACUB,,,,,,,,,6,6,4,8.1,,1990,,,131001,1,17.6,1305.0,1986-09-01,GA
13,1001,1,G,1,1990-08-07,0.716,0.895,ACUB,,,,,,,,,6,6,4,8.1,,1990,,,131001,1,17.6,1305.0,1986-09-01,GA
13,1001,2,G,1,1992-05-22,0.708,0.942,ACUB,28.0,8.0,,,0.0,0.0,0.0,0.0,6,4,6,8.1,,1992,,,131001,4,15.8,1543.1,,GA
13,1001,2,G,1,1992-05-22,0.72,0.948,ACUB,28.0,8.0,,,0.0,0.0,0.0,0.0,6,4,6,8.1,,1992,,,131001,4,15.8,1543.1,,GA
13,1001,2,G,1,1992-05-22,0.718,0.888,ACUB,28.0,8.0,,,0.0,0.0,0.0,0.0,6,4,6,8.1,,1992,,,131001,4,15.8,1543.1,,GA
13,1001,2,G,1,1992-05-22,0.724,0.892,ACUB,28.0,8.0,,,0.0,0.0,0.0,0.0,6,4,6,8.1,,1992,,,131001,4,15.8,1543.1,,GA
13,1001,2,G,1,1992-05-22,0.688,0.969,ACUB,28.0,8.0,,,0.0,0.0,0.0,0.0,6,4,6,8.1,,1992,,,131001,4,15.8,1543.1,,GA
