STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_AC,MEPDG_CRACKING_PERCENT_AC,MEPDG_TRANS_CRACK_LENGTH_AC,MEPDG_LONG_CRACK_LENGTH_AC,PATCH_A,POTHOLES_A,BLEEDING,RAVELING,MAX_MEAN_DEPTH_WIRE_REF,LLH_DEPTH_WIRE_REF_MEAN,RLH_DEPTH_WIRE_REF_MEAN,BOUND_THICKNESS_CM,PLASTICITY_INDEX,PERCENT_FINER_02,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
19,1044,1,G,1,1990-06-26,1.482,1.761,ACATB,,,,,,,,,5,5,5,16.1,,,1990,,,191044,459,9.1,1008.2,1971-07-01,IA
19,1044,1,G,1,1990-06-26,1.552,1.737,ACATB,,,,,,,,,5,5,5,16.1,,,1990,,,191044,459,9.1,1008.2,1971-07-01,IA
19,1044,1,G,1,1990-06-26,1.515,1.758,ACATB,,,,,,,,,5,5,5,16.1,,,1990,,,191044,459,9.1,1008.2,1971-07-01,IA
19,1044,1,G,1,1990-06-26,1.552,1.703,ACATB,,,,,,,,,5,5,5,16.1,,,1990,,,191044,459,9.1,1008.2,1971-07-01,IA
19,1044,1,G,1,1990-06-26,1.543,1.76,ACATB,,,,,,,,,5,5,5,16.1,,,1990,,,191044,459,9.1,1008.2,1971-07-01,IA
19,1044,1,G,1,1991-06-22,1.601,2.329,ACATB,,,,,,,,,4,3,4,16.1,,,1991,,,191044,743,8.5,1045.7,1971-07-01,IA
19,1044,1,G,1,1991-06-22,1.63,2.293,ACATB,,,,,,,,,4,3,4,16.1,,,1991,,,191044,743,8.5,1045.7,1971-07-01,IA
19,1044,1,G,1,1991-06-22,1.669,2.274,ACATB,,,,,,,,,4,3,4,16.1,,,1991,,,191044,743,8.5,1045.7,1971-07-01,IA
19,1044,1,G,1,1991-06-22,1.655,2.301,ACATB,,,,,,,,,4,3,4,16.1,,,1991,,,191044,743,8.5,1045.7,1971-07-01,IA
19,1044,1,G,1,1991-06-22,1.642,2.354,ACATB,,,,,,,,,4,3,4,16.1,,,1991,,,191044,743,8.5,1045.7,1971-07-01,IA
19,1044,2,G,1,1992-05-13,1.719,1.748,ACATB,,,,,,,,,4,4,2,16.1,,,1992,,214.0,191044,468,7.9,798.9,,IA
19,1044,2,G,1,1992-05-13,1.708,1.762,ACATB,,,,,,,,,4,4,2,16.1,,,1992,,214.0,191044,468,7.9,798.9,,IA
19,1044,2,G,1,1992-05-13,1.74,1.749,ACATB,,,,,,,,,4,4,2,16.1,,,1992,,214.0,191044,468,7.9,798.9,,IA
19,1044,2,G,1,1992-05-13,1.722,1.754,ACATB,,,,,,,,,4,4,2,16.1,,,1992,,214.0,191044,468,7.9,798.9,,IA
19,1044,2,G,1,1992-05-13,1.696,1.762,ACATB,,,,,,,,,4,4,2,16.1,,,1992,,214.0,191044,468,7.9,798.9,,IA
19,1044,2,G,1,1993-10-16,1.709,1.971,ACATB,10.0,1.0,2910.0,1750.0,12.0,0.0,0.0,0.0,4,4,2,16.1,,,1993,,,191044,741,7.2,1188.8,,IA
19,1044,2,G,1,1993-10-16,1.722,1.916,ACATB,10.0,1.0,2910.0,1750.0,12.0,0.0,0.0,0.0,4,4,2,16.1,,,1993,,,191044,741,7.2,1188.8,,IA
19,1044,2,G,1,1993-10-16,1.759,1.902,ACATB,10.0,1.0,2910.0,1750.0,12.0,0.0,0.0,0.0,4,4,2,16.1,,,1993,,,191044,741,7.2,1188.8,,IA
19,1044,2,G,1,1993-10-16,1.707,2.008,ACATB,10.0,1.0,2910.0,1750.0,12.0,0.0,0.0,0.0,4,4,2,16.1,,,1993,,,191044,741,7.2,1188.8,,IA
19,1044,2,G,1,1993-10-16,1.775,1.98,ACATB,10.0,1.0,2910.0,1750.0,12.0,0.0,0.0,0.0,4,4,2,16.1,,,1993,,,191044,741,7.2,1188.8,,IA
19,1044,2,G,1,1994-09-15,1.629,2.064,ACATB,10.0,1.0,2910.0,1750.0,12.0,0.0,0.0,0.0,,,,16.1,,,1994,,,191044,870,7.9,888.5,,IA
19,1044,2,G,1,1994-09-15,1.686,1.985,ACATB,10.0,1.0,2910.0,1750.0,12.0,0.0,0.0,0.0,,,,16.1,,,1994,,,191044,870,7.9,888.5,,IA
19,1044,2,G,1,1994-09-15,1.702,1.973,ACATB,10.0,1.0,2910.0,1750.0,12.0,0.0,0.0,0.0,,,,16.1,,,1994,,,191044,870,7.9,888.5,,IA
19,1044,2,G,1,1994-09-15,1.652,2.125,ACATB,10.0,1.0,2910.0,1750.0,12.0,0.0,0.0,0.0,,,,16.1,,,1994,,,191044,870,7.9,888.5,,IA
19,1044,2,G,1,1994-09-15,1.705,1.946,ACATB,10.0,1.0,2910.0,1750.0,12.0,0.0,0.0,0.0,,,,16.1,,,1994,,,191044,870,7.9,888.5,,IA
19,1044,4,G,1,1997-09-23,3.212,5.131,ACATB,,,,,,,,,,,,16.2,,,1997,,79.0,191044,636,8.0,778.6,,IA
19,1044,4,G,1,1997-09-23,3.122,4.963,ACATB,,,,,,,,,,,,16.2,,,1997,,79.0,191044,636,8.0,778.6,,IA
19,1044,4,G,1,1997-09-23,3.22,5.062,ACATB,,,,,,,,,,,,16.2,,,1997,,79.0,191044,636,8.0,778.6,,IA
19,1044,4,G,1,1997-09-23,3.271,5.292,ACATB,,,,,,,,,,,,16.2,,,1997,,79.0,191044,636,8.0,778.6,,IA
19,1044,4,G,1,1997-09-23,3.231,5.254,ACATB,,,,,,,,,,,,16.2,,,1997,,79.0,191044,636,8.0,778.6,,IA
19,1044,4,G,1,1998-10-12,3.359,5.768,ACATB,10.0,1.0,1171.0,1369.0,59.3,0.0,,,5,5,5,16.2,,,1998,,65.0,191044,369,10.4,1160.3,,IA
19,1044,4,G,1,1998-10-12,3.399,5.692,ACATB,10.0,1.0,1171.0,1369.0,59.3,0.0,,,5,5,5,16.2,,,1998,,65.0,191044,369,10.4,1160.3,,IA
19,1044,4,G,1,1998-10-12,3.335,5.705,ACATB,10.0,1.0,1171.0,1369.0,59.3,0.0,,,5,5,5,16.2,,,1998,,65.0,191044,369,10.4,1160.3,,IA
19,1044,4,G,1,1998-10-12,3.389,5.768,ACATB,10.0,1.0,1171.0,1369.0,59.3,0.0,,,5,5,5,16.2,,,1998,,65.0,191044,369,10.4,1160.3,,IA
19,1044,4,G,1,1998-10-12,3.389,5.75,ACATB,10.0,1.0,1171.0,1369.0,59.3,0.0,,,5,5,5,16.2,,,1998,,65.0,191044,369,10.4,1160.3,,IA
19,1044,4,G,1,1999-07-17,3.279,6.276,ACATB,10.0,1.0,1171.0,1369.0,59.3,0.0,,,5,5,5,16.2,,,1999,,201.0,191044,517,9.5,976.5,,IA
19,1044,4,G,1,1999-07-17,3.308,6.212,ACATB,10.0,1.0,1171.0,1369.0,59.3,0.0,,,5,5,5,16.2,,,1999,,201.0,191044,517,9.5,976.5,,IA
19,1044,4,G,1,1999-07-17,2.968,5.959,ACATB,10.0,1.0,1171.0,1369.0,59.3,0.0,,,5,5,5,16.2,,,1999,,201.0,191044,517,9.5,976.5,,IA
19,1044,4,G,1,1999-07-17,3.318,6.279,ACATB,10.0,1.0,1171.0,1369.0,59.3,0.0,,,5,5,5,16.2,,,1999,,201.0,191044,517,9.5,976.5,,IA
19,1044,4,G,1,1999-07-17,3.313,6.236,ACATB,10.0,1.0,1171.0,1369.0,59.3,0.0,,,5,5,5,16.2,,,1999,,201.0,191044,517,9.5,976.5,,IA
19,1044,4,G,1,2000-05-20,3.235,6.042,ACATB,10.0,1.0,1171.0,1369.0,59.3,0.0,,,5,5,5,16.2,,,2000,480.0,213.0,191044,747,8.8,856.2,,IA
19,1044,4,G,1,2000-05-20,3.235,6.042,ACATB,10.0,1.0,1171.0,1369.0,59.3,0.0,,,5,5,5,16.2,,,2000,480.0,213.0,191044,747,8.8,856.2,,IA
19,1044,4,G,1,2000-05-20,3.235,6.042,ACATB,10.0,1.0,1171.0,1369.0,59.3,0.0,,,5,5,5,16.2,,,2000,480.0,213.0,191044,747,8.8,856.2,,IA
19,1044,4,G,1,2000-05-20,3.249,5.848,ACATB,10.0,1.0,1171.0,1369.0,59.3,0.0,,,5,5,5,16.2,,,2000,480.0,213.0,191044,747,8.8,856.2,,IA
19,1044,4,G,1,2000-05-20,3.249,5.848,ACATB,10.0,1.0,1171.0,1369.0,59.3,0.0,,,5,5,5,16.2,,,2000,480.0,213.0,191044,747,8.8,856.2,,IA
19,1044,4,G,1,2000-05-20,3.249,5.848,ACATB,10.0,1.0,1171.0,1369.0,59.3,0.0,,,5,5,5,16.2,,,2000,480.0,213.0,191044,747,8.8,856.2,,IA
19,1044,4,G,1,2000-05-20,3.248,6.1,ACATB,10.0,1.0,1171.0,1369.0,59.3,0.0,,,5,5,5,16.2,,,2000,480.0,213.0,191044,747,8.8,856.2,,IA
19,1044,4,G,1,2000-05-20,3.248,6.1,ACATB,10.0,1.0,1171.0,1369.0,59.3,0.0,,,5,5,5,16.2,,,2000,480.0,213.0,191044,747,8.8,856.2,,IA
19,1044,4,G,1,2000-05-20,3.248,6.1,ACATB,10.0,1.0,1171.0,1369.0,59.3,0.0,,,5,5,5,16.2,,,2000,480.0,213.0,191044,747,8.8,856.2,,IA
19,1044,4,G,1,2000-05-20,3.248,5.869,ACATB,10.0,1.0,1171.0,1369.0,59.3,0.0,,,5,5,5,16.2,,,2000,480.0,213.0,191044,747,8.8,856.2,,IA
19,1044,4,G,1,2000-05-20,3.248,5.869,ACATB,10.0,1.0,1171.0,1369.0,59.3,0.0,,,5,5,5,16.2,,,2000,480.0,213.0,191044,747,8.8,856.2,,IA
19,1044,4,G,1,2000-05-20,3.248,5.869,ACATB,10.0,1.0,1171.0,1369.0,59.3,0.0,,,5,5,5,16.2,,,2000,480.0,213.0,191044,747,8.8,856.2,,IA
19,1044,4,G,1,2000-05-20,3.219,5.6,ACATB,10.0,1.0,1171.0,1369.0,59.3,0.0,,,5,5,5,16.2,,,2000,480.0,213.0,191044,747,8.8,856.2,,IA
19,1044,4,G,1,2000-05-20,3.219,5.6,ACATB,10.0,1.0,1171.0,1369.0,59.3,0.0,,,5,5,5,16.2,,,2000,480.0,213.0,191044,747,8.8,856.2,,IA
19,1044,4,G,1,2000-05-20,3.219,5.6,ACATB,10.0,1.0,1171.0,1369.0,59.3,0.0,,,5,5,5,16.2,,,2000,480.0,213.0,191044,747,8.8,856.2,,IA
19,1044,4,G,1,2001-08-09,3.194,6.212,ACATB,16.0,6.0,4178.0,0.0,60.2,0.0,,,4,4,4,16.2,,,2001,,131.0,191044,608,9.1,970.1,,IA
19,1044,4,G,1,2001-08-09,3.219,5.73,ACATB,16.0,6.0,4178.0,0.0,60.2,0.0,,,4,4,4,16.2,,,2001,,131.0,191044,608,9.1,970.1,,IA
19,1044,4,G,1,2001-08-09,3.148,5.705,ACATB,16.0,6.0,4178.0,0.0,60.2,0.0,,,4,4,4,16.2,,,2001,,131.0,191044,608,9.1,970.1,,IA
19,1044,4,G,1,2001-08-09,3.187,6.192,ACATB,16.0,6.0,4178.0,0.0,60.2,0.0,,,4,4,4,16.2,,,2001,,131.0,191044,608,9.1,970.1,,IA
19,1044,4,G,1,2001-08-09,3.197,5.495,ACATB,16.0,6.0,4178.0,0.0,60.2,0.0,,,4,4,4,16.2,,,2001,,131.0,191044,608,9.1,970.1,,IA
