STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_AC,MEPDG_CRACKING_PERCENT_AC,MEPDG_TRANS_CRACK_LENGTH_AC,MEPDG_LONG_CRACK_LENGTH_AC,PATCH_A,POTHOLES_A,BLEEDING,RAVELING,MAX_MEAN_DEPTH_WIRE_REF,LLH_DEPTH_WIRE_REF_MEAN,RLH_DEPTH_WIRE_REF_MEAN,BOUND_THICKNESS_CM,PLASTICITY_INDEX,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
16,1001,1,G,1,1989-10-28,1.025,0.848,ACUB,,,,,,,,,8,7,8,3.6999999999999997,,1989,,,161001,283,7.8,672.0,1973-08-01,ID
16,1001,1,G,1,1989-10-28,1.006,0.873,ACUB,,,,,,,,,8,7,8,3.6999999999999997,,1989,,,161001,283,7.8,672.0,1973-08-01,ID
16,1001,1,G,1,1989-10-28,0.982,0.841,ACUB,,,,,,,,,8,7,8,3.6999999999999997,,1989,,,161001,283,7.8,672.0,1973-08-01,ID
16,1001,1,G,1,1989-10-28,1.004,0.837,ACUB,,,,,,,,,8,7,8,3.6999999999999997,,1989,,,161001,283,7.8,672.0,1973-08-01,ID
16,1001,1,G,1,1989-10-28,0.996,0.892,ACUB,,,,,,,,,8,7,8,3.6999999999999997,,1989,,,161001,283,7.8,672.0,1973-08-01,ID
16,1001,1,G,1,1990-11-30,0.914,0.902,ACUB,,,,,,,,,6,4,6,3.6999999999999997,,1990,,27.0,161001,268,8.4,768.0,1973-08-01,ID
16,1001,1,G,1,1990-11-30,0.928,0.9,ACUB,,,,,,,,,6,4,6,3.6999999999999997,,1990,,27.0,161001,268,8.4,768.0,1973-08-01,ID
16,1001,1,G,1,1990-11-30,0.912,0.878,ACUB,,,,,,,,,6,4,6,3.6999999999999997,,1990,,27.0,161001,268,8.4,768.0,1973-08-01,ID
16,1001,1,G,1,1990-11-30,1.02,0.887,ACUB,,,,,,,,,6,4,6,3.6999999999999997,,1990,,27.0,161001,268,8.4,768.0,1973-08-01,ID
16,1001,1,G,1,1990-11-30,1.056,0.908,ACUB,,,,,,,,,6,4,6,3.6999999999999997,,1990,,27.0,161001,268,8.4,768.0,1973-08-01,ID
16,1001,1,G,1,1991-06-21,0.992,0.852,ACUB,,,,,,,,,6,4,6,3.6999999999999997,,1991,,36.0,161001,179,8.3,567.1,1973-08-01,ID
16,1001,1,G,1,1991-06-21,0.999,0.925,ACUB,,,,,,,,,6,4,6,3.6999999999999997,,1991,,36.0,161001,179,8.3,567.1,1973-08-01,ID
16,1001,1,G,1,1991-06-21,0.994,0.883,ACUB,,,,,,,,,6,4,6,3.6999999999999997,,1991,,36.0,161001,179,8.3,567.1,1973-08-01,ID
16,1001,1,G,1,1991-06-21,1.005,0.911,ACUB,,,,,,,,,6,4,6,3.6999999999999997,,1991,,36.0,161001,179,8.3,567.1,1973-08-01,ID
16,1001,1,G,1,1991-06-21,0.953,0.92,ACUB,,,,,,,,,6,4,6,3.6999999999999997,,1991,,36.0,161001,179,8.3,567.1,1973-08-01,ID
16,1001,1,G,1,1992-09-30,1.068,0.877,ACUB,,,,,,,,,,,,3.6999999999999997,,1992,,59.0,161001,174,8.8,662.2,1973-08-01,ID
16,1001,1,G,1,1992-09-30,1.09,0.879,ACUB,,,,,,,,,,,,3.6999999999999997,,1992,,59.0,161001,174,8.8,662.2,1973-08-01,ID
16,1001,1,G,1,1992-09-30,1.096,0.878,ACUB,,,,,,,,,,,,3.6999999999999997,,1992,,59.0,161001,174,8.8,662.2,1973-08-01,ID
