STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_AC,MEPDG_CRACKING_PERCENT_AC,MEPDG_TRANS_CRACK_LENGTH_AC,MEPDG_LONG_CRACK_LENGTH_AC,PATCH_A,POTHOLES_A,BLEEDING,RAVELING,MAX_MEAN_DEPTH_WIRE_REF,LLH_DEPTH_WIRE_REF_MEAN,RLH_DEPTH_WIRE_REF_MEAN,BOUND_THICKNESS_CM,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
18,1028,1,G,1,1989-12-02,0.963,1.261,ACUB,,,,,,,,,16,16,15,15.4,1989,,,181028,280,12.4,1252.3,1975-01-01,IN
18,1028,1,G,1,1989-12-02,1.089,1.184,ACUB,,,,,,,,,16,16,15,15.4,1989,,,181028,280,12.4,1252.3,1975-01-01,IN
18,1028,1,G,1,1989-12-02,0.99,1.252,ACUB,,,,,,,,,16,16,15,15.4,1989,,,181028,280,12.4,1252.3,1975-01-01,IN
18,1028,1,G,1,1989-12-02,0.912,1.251,ACUB,,,,,,,,,16,16,15,15.4,1989,,,181028,280,12.4,1252.3,1975-01-01,IN
18,1028,1,G,1,1989-12-02,1.014,1.213,ACUB,,,,,,,,,16,16,15,15.4,1989,,,181028,280,12.4,1252.3,1975-01-01,IN
18,1028,1,G,1,1990-07-26,1.787,1.274,ACUB,32.0,7.0,960.0,0.0,0.0,0.0,0.0,0.0,16,16,15,15.4,1990,,,181028,60,13.9,1536.2,1975-01-01,IN
18,1028,1,G,1,1990-07-26,1.35,1.205,ACUB,32.0,7.0,960.0,0.0,0.0,0.0,0.0,0.0,16,16,15,15.4,1990,,,181028,60,13.9,1536.2,1975-01-01,IN
18,1028,1,G,1,1990-07-26,1.379,1.21,ACUB,32.0,7.0,960.0,0.0,0.0,0.0,0.0,0.0,16,16,15,15.4,1990,,,181028,60,13.9,1536.2,1975-01-01,IN
18,1028,1,G,1,1990-07-26,1.33,1.181,ACUB,32.0,7.0,960.0,0.0,0.0,0.0,0.0,0.0,16,16,15,15.4,1990,,,181028,60,13.9,1536.2,1975-01-01,IN
18,1028,1,G,1,1990-07-26,1.423,1.209,ACUB,32.0,7.0,960.0,0.0,0.0,0.0,0.0,0.0,16,16,15,15.4,1990,,,181028,60,13.9,1536.2,1975-01-01,IN
18,1028,1,G,1,1990-12-15,1.189,1.338,ACUB,32.0,7.0,960.0,0.0,0.0,0.0,0.0,0.0,17,17,13,15.4,1990,,,181028,60,13.9,1536.2,1975-01-01,IN
18,1028,1,G,1,1990-12-15,1.164,1.326,ACUB,32.0,7.0,960.0,0.0,0.0,0.0,0.0,0.0,17,17,13,15.4,1990,,,181028,60,13.9,1536.2,1975-01-01,IN
18,1028,1,G,1,1990-12-15,1.275,1.33,ACUB,32.0,7.0,960.0,0.0,0.0,0.0,0.0,0.0,17,17,13,15.4,1990,,,181028,60,13.9,1536.2,1975-01-01,IN
18,1028,1,G,1,1990-12-15,1.285,1.327,ACUB,32.0,7.0,960.0,0.0,0.0,0.0,0.0,0.0,17,17,13,15.4,1990,,,181028,60,13.9,1536.2,1975-01-01,IN
18,1028,1,G,1,1990-12-15,1.547,1.285,ACUB,32.0,7.0,960.0,0.0,0.0,0.0,0.0,0.0,17,17,13,15.4,1990,,,181028,60,13.9,1536.2,1975-01-01,IN
18,1028,1,G,1,1991-12-19,1.119,1.353,ACUB,35.0,11.0,1060.0,0.0,0.0,0.0,0.0,0.0,15,15,13,15.4,1991,,,181028,110,14.2,945.4,1975-01-01,IN
18,1028,1,G,1,1991-12-19,1.112,1.378,ACUB,35.0,11.0,1060.0,0.0,0.0,0.0,0.0,0.0,15,15,13,15.4,1991,,,181028,110,14.2,945.4,1975-01-01,IN
18,1028,1,G,1,1991-12-19,1.029,1.433,ACUB,35.0,11.0,1060.0,0.0,0.0,0.0,0.0,0.0,15,15,13,15.4,1991,,,181028,110,14.2,945.4,1975-01-01,IN
18,1028,1,G,1,1991-12-19,1.088,1.408,ACUB,35.0,11.0,1060.0,0.0,0.0,0.0,0.0,0.0,15,15,13,15.4,1991,,,181028,110,14.2,945.4,1975-01-01,IN
18,1028,1,G,1,1991-12-19,1.112,1.344,ACUB,35.0,11.0,1060.0,0.0,0.0,0.0,0.0,0.0,15,15,13,15.4,1991,,,181028,110,14.2,945.4,1975-01-01,IN
18,1028,1,G,1,1992-10-05,1.288,1.473,ACUB,32.0,11.0,1005.0,0.0,0.0,0.0,0.0,0.0,15,15,12,15.4,1992,,803.0,181028,77,12.9,884.0,1975-01-01,IN
