STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_AC,MEPDG_CRACKING_PERCENT_AC,MEPDG_TRANS_CRACK_LENGTH_AC,MEPDG_LONG_CRACK_LENGTH_AC,PATCH_A,POTHOLES_A,BLEEDING,RAVELING,MAX_MEAN_DEPTH_WIRE_REF,LLH_DEPTH_WIRE_REF_MEAN,RLH_DEPTH_WIRE_REF_MEAN,BOUND_THICKNESS_CM,PLASTICITY_INDEX,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
22,3056,1,G,2,1995-06-01,0.852,1.064,ACATB,9.0,2.0,173.0,835.0,0.0,0.0,0.0,17.0,7,4,7,10.2,,1995,,,223056,0,19.7,1720.5,1987-01-01,LA
22,3056,1,G,2,1994-01-13,0.812,0.786,ACATB,9.0,2.0,173.0,835.0,0.0,0.0,0.0,17.0,7,3,7,10.2,,1994,,,223056,2,19.0,1749.6,1987-01-01,LA
22,3056,1,G,2,1994-01-13,0.804,0.812,ACATB,9.0,2.0,173.0,835.0,0.0,0.0,0.0,17.0,7,3,7,10.2,,1994,,,223056,2,19.0,1749.6,1987-01-01,LA
22,3056,1,G,2,1994-01-13,0.818,0.82,ACATB,9.0,2.0,173.0,835.0,0.0,0.0,0.0,17.0,7,3,7,10.2,,1994,,,223056,2,19.0,1749.6,1987-01-01,LA
22,3056,1,G,2,1995-06-01,0.849,1.097,ACATB,9.0,2.0,173.0,835.0,0.0,0.0,0.0,17.0,7,4,7,10.2,,1995,,,223056,0,19.7,1720.5,1987-01-01,LA
22,3056,1,G,2,1995-06-01,0.839,1.1,ACATB,9.0,2.0,173.0,835.0,0.0,0.0,0.0,17.0,7,4,7,10.2,,1995,,,223056,0,19.7,1720.5,1987-01-01,LA
22,3056,1,G,2,1995-06-01,0.818,1.141,ACATB,9.0,2.0,173.0,835.0,0.0,0.0,0.0,17.0,7,4,7,10.2,,1995,,,223056,0,19.7,1720.5,1987-01-01,LA
22,3056,1,G,2,1994-01-13,0.825,0.807,ACATB,9.0,2.0,173.0,835.0,0.0,0.0,0.0,17.0,7,3,7,10.2,,1994,,,223056,2,19.0,1749.6,1987-01-01,LA
22,3056,1,G,2,1992-01-24,0.829,0.851,ACATB,,,,,,,,,7,2,7,10.2,,1992,,96.0,223056,0,19.0,1517.2,1987-01-01,LA
22,3056,1,G,2,1995-06-01,0.839,1.082,ACATB,9.0,2.0,173.0,835.0,0.0,0.0,0.0,17.0,7,4,7,10.2,,1995,,,223056,0,19.7,1720.5,1987-01-01,LA
22,3056,1,G,2,1994-01-13,0.835,0.814,ACATB,9.0,2.0,173.0,835.0,0.0,0.0,0.0,17.0,7,3,7,10.2,,1994,,,223056,2,19.0,1749.6,1987-01-01,LA
22,3056,1,G,2,1992-01-24,0.851,0.854,ACATB,,,,,,,,,7,2,7,10.2,,1992,,96.0,223056,0,19.0,1517.2,1987-01-01,LA
22,3056,1,G,2,1992-01-24,0.833,0.86,ACATB,,,,,,,,,7,2,7,10.2,,1992,,96.0,223056,0,19.0,1517.2,1987-01-01,LA
22,3056,1,G,2,1992-01-24,0.86,0.869,ACATB,,,,,,,,,7,2,7,10.2,,1992,,96.0,223056,0,19.0,1517.2,1987-01-01,LA
22,3056,1,G,2,1990-05-31,0.75,0.741,ACATB,,,,,,,,,6,3,6,10.2,,1990,,,223056,5,20.1,1440.1,1987-01-01,LA
22,3056,1,G,2,1990-05-31,0.703,0.741,ACATB,,,,,,,,,6,3,6,10.2,,1990,,,223056,5,20.1,1440.1,1987-01-01,LA
22,3056,1,G,2,1990-05-31,0.748,0.75,ACATB,,,,,,,,,6,3,6,10.2,,1990,,,223056,5,20.1,1440.1,1987-01-01,LA
22,3056,1,G,2,1990-05-31,0.715,0.718,ACATB,,,,,,,,,6,3,6,10.2,,1990,,,223056,5,20.1,1440.1,1987-01-01,LA
22,3056,1,G,2,1990-05-31,0.744,0.749,ACATB,,,,,,,,,6,3,6,10.2,,1990,,,223056,5,20.1,1440.1,1987-01-01,LA
22,3056,1,G,2,1992-01-24,0.855,0.792,ACATB,,,,,,,,,7,2,7,10.2,,1992,,96.0,223056,0,19.0,1517.2,1987-01-01,LA
22,3056,2,G,2,1998-09-23,0.986,1.835,ACATB,20.0,14.0,1438.0,776.0,0.0,0.0,0.0,0.0,7,5,7,10.2,,1998,,,223056,0,20.7,1448.8,,LA
22,3056,2,G,2,2004-10-18,2.199,2.383,ACATB,30.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,10,8,10,10.2,,2004,,,223056,4,19.5,1926.4,,LA
22,3056,2,G,2,2004-10-18,2.337,2.329,ACATB,30.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,10,8,10,10.2,,2004,,,223056,4,19.5,1926.4,,LA
22,3056,2,G,2,2004-10-18,2.127,2.324,ACATB,30.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,10,8,10,10.2,,2004,,,223056,4,19.5,1926.4,,LA
22,3056,2,G,2,2004-10-18,2.034,1.823,ACATB,30.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,10,8,10,10.2,,2004,,,223056,4,19.5,1926.4,,LA
22,3056,2,G,2,1998-09-23,1.027,1.869,ACATB,20.0,14.0,1438.0,776.0,0.0,0.0,0.0,0.0,7,5,7,10.2,,1998,,,223056,0,20.7,1448.8,,LA
22,3056,2,G,2,1998-09-23,1.003,1.937,ACATB,20.0,14.0,1438.0,776.0,0.0,0.0,0.0,0.0,7,5,7,10.2,,1998,,,223056,0,20.7,1448.8,,LA
22,3056,2,G,2,1998-09-23,1.027,2.068,ACATB,20.0,14.0,1438.0,776.0,0.0,0.0,0.0,0.0,7,5,7,10.2,,1998,,,223056,0,20.7,1448.8,,LA
22,3056,2,G,2,2004-10-18,2.227,2.374,ACATB,30.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,10,8,10,10.2,,2004,,,223056,4,19.5,1926.4,,LA
22,3056,2,G,2,1998-09-23,1.014,1.836,ACATB,20.0,14.0,1438.0,776.0,0.0,0.0,0.0,0.0,7,5,7,10.2,,1998,,,223056,0,20.7,1448.8,,LA
