STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_AC,MEPDG_CRACKING_PERCENT_AC,MEPDG_TRANS_CRACK_LENGTH_AC,MEPDG_LONG_CRACK_LENGTH_AC,PATCH_A,POTHOLES_A,BLEEDING,RAVELING,MAX_MEAN_DEPTH_WIRE_REF,LLH_DEPTH_WIRE_REF_MEAN,RLH_DEPTH_WIRE_REF_MEAN,BOUND_THICKNESS_CM,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
25,1002,2,G,1,1990-09-28,1.233,1.179,ACUB,,,,,,,,,8,7,8,7.800000000000001,1990,,,251002,170,10.2,1368.2,,MA
25,1002,2,G,1,1992-09-02,1.25,1.056,ACUB,,,,,,,,,8,7,8,7.800000000000001,1992,,275.0,251002,359,8.0,1191.4,,MA
25,1002,2,G,1,1992-09-02,1.248,1.013,ACUB,,,,,,,,,8,7,8,7.800000000000001,1992,,275.0,251002,359,8.0,1191.4,,MA
25,1002,2,G,1,1992-09-02,1.187,1.097,ACUB,,,,,,,,,8,7,8,7.800000000000001,1992,,275.0,251002,359,8.0,1191.4,,MA
25,1002,2,G,1,1992-09-02,1.177,1.097,ACUB,,,,,,,,,8,7,8,7.800000000000001,1992,,275.0,251002,359,8.0,1191.4,,MA
25,1002,2,G,1,1991-07-28,1.104,1.239,ACUB,,,,,,,,,7,6,7,7.800000000000001,1991,,,251002,281,10.0,1192.7,,MA
25,1002,2,G,1,1991-07-28,1.151,1.223,ACUB,,,,,,,,,7,6,7,7.800000000000001,1991,,,251002,281,10.0,1192.7,,MA
25,1002,2,G,1,1992-09-02,1.145,1.05,ACUB,,,,,,,,,8,7,8,7.800000000000001,1992,,275.0,251002,359,8.0,1191.4,,MA
25,1002,2,G,1,1990-09-28,1.255,1.196,ACUB,,,,,,,,,8,7,8,7.800000000000001,1990,,,251002,170,10.2,1368.2,,MA
25,1002,2,G,1,1991-07-28,1.167,1.226,ACUB,,,,,,,,,7,6,7,7.800000000000001,1991,,,251002,281,10.0,1192.7,,MA
25,1002,2,G,1,1990-09-28,1.182,1.192,ACUB,,,,,,,,,8,7,8,7.800000000000001,1990,,,251002,170,10.2,1368.2,,MA
25,1002,2,G,1,1990-09-28,1.225,1.169,ACUB,,,,,,,,,8,7,8,7.800000000000001,1990,,,251002,170,10.2,1368.2,,MA
25,1002,2,G,1,1990-09-28,1.178,1.156,ACUB,,,,,,,,,8,7,8,7.800000000000001,1990,,,251002,170,10.2,1368.2,,MA
25,1002,2,G,1,1989-10-24,1.041,1.256,ACUB,,,,,,,,,5,5,5,7.800000000000001,1989,,,251002,563,8.3,1396.1,,MA
25,1002,2,G,1,1989-10-24,1.055,1.261,ACUB,,,,,,,,,5,5,5,7.800000000000001,1989,,,251002,563,8.3,1396.1,,MA
25,1002,2,G,1,1989-10-24,1.049,1.284,ACUB,,,,,,,,,5,5,5,7.800000000000001,1989,,,251002,563,8.3,1396.1,,MA
25,1002,2,G,1,1989-10-24,1.073,1.296,ACUB,,,,,,,,,5,5,5,7.800000000000001,1989,,,251002,563,8.3,1396.1,,MA
25,1002,2,G,1,1991-07-28,1.13,1.249,ACUB,,,,,,,,,7,6,7,7.800000000000001,1991,,,251002,281,10.0,1192.7,,MA
25,1002,2,G,1,1991-07-28,1.156,1.239,ACUB,,,,,,,,,7,6,7,7.800000000000001,1991,,,251002,281,10.0,1192.7,,MA
25,1002,2,G,1,1989-10-24,1.053,1.277,ACUB,,,,,,,,,5,5,5,7.800000000000001,1989,,,251002,563,8.3,1396.1,,MA
25,1002,4,G,1,1994-09-08,1.275,1.19,ACUB,27.0,18.0,239.0,0.0,0.0,0.0,0.0,0.0,5,5,5,7.800000000000001,1994,,,251002,570,8.7,1284.9,,MA
25,1002,4,G,1,1994-09-08,1.341,1.205,ACUB,27.0,18.0,239.0,0.0,0.0,0.0,0.0,0.0,5,5,5,7.800000000000001,1994,,,251002,570,8.7,1284.9,,MA
25,1002,4,G,1,1994-09-08,1.333,1.204,ACUB,27.0,18.0,239.0,0.0,0.0,0.0,0.0,0.0,5,5,5,7.800000000000001,1994,,,251002,570,8.7,1284.9,,MA
25,1002,4,G,1,1994-01-20,1.717,1.098,ACUB,28.0,8.0,440.0,10567.0,0.0,0.0,0.0,0.0,5,5,5,7.800000000000001,1994,,,251002,570,8.7,1284.9,,MA
25,1002,4,G,1,1994-09-08,1.348,1.245,ACUB,27.0,18.0,239.0,0.0,0.0,0.0,0.0,0.0,5,5,5,7.800000000000001,1994,,,251002,570,8.7,1284.9,,MA
25,1002,4,G,1,1994-10-24,1.566,1.456,ACUB,27.0,18.0,239.0,0.0,0.0,0.0,0.0,0.0,5,5,5,7.800000000000001,1994,,,251002,570,8.7,1284.9,,MA
25,1002,4,G,1,1994-10-24,1.559,1.435,ACUB,27.0,18.0,239.0,0.0,0.0,0.0,0.0,0.0,5,5,5,7.800000000000001,1994,,,251002,570,8.7,1284.9,,MA
25,1002,4,G,1,1994-10-24,1.475,1.511,ACUB,27.0,18.0,239.0,0.0,0.0,0.0,0.0,0.0,5,5,5,7.800000000000001,1994,,,251002,570,8.7,1284.9,,MA
25,1002,4,G,1,1994-10-24,1.552,1.489,ACUB,27.0,18.0,239.0,0.0,0.0,0.0,0.0,0.0,5,5,5,7.800000000000001,1994,,,251002,570,8.7,1284.9,,MA
25,1002,4,G,1,1994-10-24,1.493,1.551,ACUB,27.0,18.0,239.0,0.0,0.0,0.0,0.0,0.0,5,5,5,7.800000000000001,1994,,,251002,570,8.7,1284.9,,MA
25,1002,4,G,1,1994-04-15,1.383,1.006,ACUB,28.0,8.0,440.0,10567.0,0.0,0.0,0.0,0.0,5,5,5,7.800000000000001,1994,,,251002,570,8.7,1284.9,,MA
25,1002,4,G,1,1993-09-24,1.316,1.019,ACUB,28.0,8.0,440.0,10567.0,0.0,0.0,0.0,0.0,5,5,5,7.800000000000001,1993,290.0,,251002,472,8.5,1174.5,,MA
25,1002,4,G,1,1993-09-24,1.316,1.019,ACUB,28.0,8.0,440.0,10567.0,0.0,0.0,0.0,0.0,5,5,5,7.800000000000001,1993,290.0,,251002,472,8.5,1174.5,,MA
25,1002,4,G,1,1994-09-08,1.342,1.216,ACUB,27.0,18.0,239.0,0.0,0.0,0.0,0.0,0.0,5,5,5,7.800000000000001,1994,,,251002,570,8.7,1284.9,,MA
25,1002,4,G,1,1994-02-22,1.382,1.094,ACUB,28.0,8.0,440.0,10567.0,0.0,0.0,0.0,0.0,5,5,5,7.800000000000001,1994,,,251002,570,8.7,1284.9,,MA
25,1002,4,G,1,1994-01-20,1.524,1.282,ACUB,28.0,8.0,440.0,10567.0,0.0,0.0,0.0,0.0,5,5,5,7.800000000000001,1994,,,251002,570,8.7,1284.9,,MA
25,1002,4,G,1,1993-09-24,1.397,1.048,ACUB,28.0,8.0,440.0,10567.0,0.0,0.0,0.0,0.0,5,5,5,7.800000000000001,1993,290.0,,251002,472,8.5,1174.5,,MA
25,1002,4,G,1,1993-09-24,1.397,1.048,ACUB,28.0,8.0,440.0,10567.0,0.0,0.0,0.0,0.0,5,5,5,7.800000000000001,1993,290.0,,251002,472,8.5,1174.5,,MA
25,1002,4,G,1,1993-09-24,1.232,1.07,ACUB,28.0,8.0,440.0,10567.0,0.0,0.0,0.0,0.0,5,5,5,7.800000000000001,1993,290.0,,251002,472,8.5,1174.5,,MA
