STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_AC,MEPDG_CRACKING_PERCENT_AC,MEPDG_TRANS_CRACK_LENGTH_AC,MEPDG_LONG_CRACK_LENGTH_AC,PATCH_A,POTHOLES_A,BLEEDING,RAVELING,MAX_MEAN_DEPTH_WIRE_REF,LLH_DEPTH_WIRE_REF_MEAN,RLH_DEPTH_WIRE_REF_MEAN,BOUND_THICKNESS_CM,PLASTICITY_INDEX,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
26,1001,1,G,1,1990-01-09,0.898,1.272,ACUB,,,,,,,,,6,5,6,2.2,,1990,,,261001,492,7.4,937.1,1971-09-01,MI
26,1001,1,G,1,1990-01-09,0.895,1.159,ACUB,,,,,,,,,6,5,6,2.2,,1990,,,261001,492,7.4,937.1,1971-09-01,MI
26,1001,1,G,1,1990-01-09,0.871,1.25,ACUB,,,,,,,,,6,5,6,2.2,,1990,,,261001,492,7.4,937.1,1971-09-01,MI
26,1001,1,G,1,1990-01-09,0.907,1.175,ACUB,,,,,,,,,6,5,6,2.2,,1990,,,261001,492,7.4,937.1,1971-09-01,MI
26,1001,1,G,1,1990-01-09,0.92,1.157,ACUB,,,,,,,,,6,5,6,2.2,,1990,,,261001,492,7.4,937.1,1971-09-01,MI
26,1001,1,G,1,1990-07-24,0.759,0.738,ACUB,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,7,2.2,,1990,,,261001,492,7.4,937.1,1971-09-01,MI
26,1001,1,G,1,1990-07-24,0.782,0.728,ACUB,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,7,2.2,,1990,,,261001,492,7.4,937.1,1971-09-01,MI
26,1001,1,G,1,1990-07-24,0.754,0.748,ACUB,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,7,2.2,,1990,,,261001,492,7.4,937.1,1971-09-01,MI
26,1001,1,G,1,1990-07-24,0.754,0.746,ACUB,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,7,2.2,,1990,,,261001,492,7.4,937.1,1971-09-01,MI
26,1001,1,G,1,1990-07-24,0.76,0.728,ACUB,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,7,2.2,,1990,,,261001,492,7.4,937.1,1971-09-01,MI
26,1001,1,G,1,1991-01-08,0.855,0.806,ACUB,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,7,2.2,,1991,,9.0,261001,653,7.4,1019.4,1971-09-01,MI
26,1001,1,G,1,1991-01-08,0.887,0.821,ACUB,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,7,2.2,,1991,,9.0,261001,653,7.4,1019.4,1971-09-01,MI
26,1001,1,G,1,1991-01-08,0.886,0.829,ACUB,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,7,2.2,,1991,,9.0,261001,653,7.4,1019.4,1971-09-01,MI
26,1001,1,G,1,1991-01-08,0.843,0.814,ACUB,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,7,2.2,,1991,,9.0,261001,653,7.4,1019.4,1971-09-01,MI
26,1001,1,G,1,1991-01-08,0.86,0.854,ACUB,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6,7,2.2,,1991,,9.0,261001,653,7.4,1019.4,1971-09-01,MI
