STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_AC,MEPDG_CRACKING_PERCENT_AC,MEPDG_TRANS_CRACK_LENGTH_AC,MEPDG_LONG_CRACK_LENGTH_AC,PATCH_A,POTHOLES_A,BLEEDING,RAVELING,MAX_MEAN_DEPTH_WIRE_REF,LLH_DEPTH_WIRE_REF_MEAN,RLH_DEPTH_WIRE_REF_MEAN,BOUND_THICKNESS_CM,PLASTICITY_INDEX,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
28,1001,1,G,2,1990-12-05,0.94,0.667,ACTB,54.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,9,9,7,3.7,16.0,1990,,,281001,8,17.6,1570.9,1987-01-01,MS
28,1001,1,G,2,1990-12-05,0.927,0.642,ACTB,54.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,9,9,7,3.7,16.0,1990,,,281001,8,17.6,1570.9,1987-01-01,MS
28,1001,1,G,2,1990-12-05,0.95,0.646,ACTB,54.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,9,9,7,3.7,16.0,1990,,,281001,8,17.6,1570.9,1987-01-01,MS
28,1001,1,G,2,1990-12-05,0.943,0.66,ACTB,54.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,9,9,7,3.7,16.0,1990,,,281001,8,17.6,1570.9,1987-01-01,MS
28,1001,1,G,2,1990-12-05,0.925,0.627,ACTB,54.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,9,9,7,3.7,16.0,1990,,,281001,8,17.6,1570.9,1987-01-01,MS
28,1001,1,G,2,1992-02-12,1.001,0.753,ACTB,54.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6,9,3.7,16.0,1992,340.0,128.0,281001,7,16.2,1178.6,1987-01-01,MS
28,1001,1,G,2,1992-02-12,1.001,0.753,ACTB,54.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6,9,3.7,16.0,1992,340.0,128.0,281001,7,16.2,1178.6,1987-01-01,MS
28,1001,1,G,2,1992-02-12,1.006,0.745,ACTB,54.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6,9,3.7,16.0,1992,340.0,128.0,281001,7,16.2,1178.6,1987-01-01,MS
28,1001,1,G,2,1992-02-12,1.006,0.745,ACTB,54.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6,9,3.7,16.0,1992,340.0,128.0,281001,7,16.2,1178.6,1987-01-01,MS
28,1001,1,G,2,1992-02-12,0.968,0.767,ACTB,54.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6,9,3.7,16.0,1992,340.0,128.0,281001,7,16.2,1178.6,1987-01-01,MS
