STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_AC,MEPDG_CRACKING_PERCENT_AC,MEPDG_TRANS_CRACK_LENGTH_AC,MEPDG_LONG_CRACK_LENGTH_AC,PATCH_A,POTHOLES_A,BLEEDING,RAVELING,MAX_MEAN_DEPTH_WIRE_REF,LLH_DEPTH_WIRE_REF_MEAN,RLH_DEPTH_WIRE_REF_MEAN,BOUND_THICKNESS_CM,PLASTICITY_INDEX,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
84,1684,1,G,1,1995-08-13,1.676,1.407,ACUB,18.0,4.0,1999.0,2089.0,0.0,0.0,225.0,330.0,20,16,20,5.0,,1995,,,841684,940,5.4,1117.9,1978-09-01,NB
84,1684,1,G,1,1990-07-20,1.475,1.32,ACUB,,,,,,,,,16,12,16,5.0,,1990,,,841684,683,6.3,1316.1,1978-09-01,NB
84,1684,1,G,1,1995-08-13,1.672,1.413,ACUB,18.0,4.0,1999.0,2089.0,0.0,0.0,225.0,330.0,20,16,20,5.0,,1995,,,841684,940,5.4,1117.9,1978-09-01,NB
84,1684,1,G,1,1995-08-13,1.694,1.471,ACUB,18.0,4.0,1999.0,2089.0,0.0,0.0,225.0,330.0,20,16,20,5.0,,1995,,,841684,940,5.4,1117.9,1978-09-01,NB
84,1684,1,G,1,1995-08-13,1.678,1.468,ACUB,18.0,4.0,1999.0,2089.0,0.0,0.0,225.0,330.0,20,16,20,5.0,,1995,,,841684,940,5.4,1117.9,1978-09-01,NB
84,1684,1,G,1,1993-08-19,1.476,1.34,ACUB,,,,,,,,,19,14,19,5.0,,1993,,466.0,841684,1038,5.0,1136.8,1978-09-01,NB
84,1684,1,G,1,1993-08-19,1.605,1.605,ACUB,,,,,,,,,19,14,19,5.0,,1993,,466.0,841684,1038,5.0,1136.8,1978-09-01,NB
84,1684,1,G,1,1993-08-19,1.527,1.423,ACUB,,,,,,,,,19,14,19,5.0,,1993,,466.0,841684,1038,5.0,1136.8,1978-09-01,NB
84,1684,1,G,1,1993-08-19,1.511,1.443,ACUB,,,,,,,,,19,14,19,5.0,,1993,,466.0,841684,1038,5.0,1136.8,1978-09-01,NB
84,1684,1,G,1,1993-08-19,1.609,1.465,ACUB,,,,,,,,,19,14,19,5.0,,1993,,466.0,841684,1038,5.0,1136.8,1978-09-01,NB
