STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_AC,MEPDG_CRACKING_PERCENT_AC,MEPDG_TRANS_CRACK_LENGTH_AC,MEPDG_LONG_CRACK_LENGTH_AC,PATCH_A,POTHOLES_A,BLEEDING,RAVELING,MAX_MEAN_DEPTH_WIRE_REF,LLH_DEPTH_WIRE_REF_MEAN,RLH_DEPTH_WIRE_REF_MEAN,BOUND_THICKNESS_CM,PLASTICITY_INDEX,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
37,1006,1,G,1,1990-02-02,0.608,0.777,ACUB,,,,,,,,,2,2,2,9.2,17.0,1990,,,371006,3,17.0,1084.2,1982-07-01,NC
37,1006,1,G,1,1990-02-02,0.607,0.776,ACUB,,,,,,,,,2,2,2,9.2,17.0,1990,,,371006,3,17.0,1084.2,1982-07-01,NC
37,1006,1,G,1,1990-02-02,0.609,0.787,ACUB,,,,,,,,,2,2,2,9.2,17.0,1990,,,371006,3,17.0,1084.2,1982-07-01,NC
37,1006,1,G,1,1990-02-02,0.633,0.804,ACUB,,,,,,,,,2,2,2,9.2,17.0,1990,,,371006,3,17.0,1084.2,1982-07-01,NC
37,1006,1,G,1,1990-02-02,0.601,0.775,ACUB,,,,,,,,,2,2,2,9.2,17.0,1990,,,371006,3,17.0,1084.2,1982-07-01,NC
37,1006,2,G,1,1992-06-05,0.664,0.824,ACUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0,6,6,4,9.5,,1992,,,371006,3,15.3,1206.2,,NC
37,1006,2,G,1,1992-06-05,0.646,0.822,ACUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0,6,6,4,9.5,,1992,,,371006,3,15.3,1206.2,,NC
37,1006,2,G,1,1992-06-05,0.653,0.842,ACUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0,6,6,4,9.5,,1992,,,371006,3,15.3,1206.2,,NC
37,1006,2,G,1,1992-06-05,0.669,0.831,ACUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0,6,6,4,9.5,,1992,,,371006,3,15.3,1206.2,,NC
37,1006,2,G,1,1992-06-05,0.649,0.837,ACUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0,6,6,4,9.5,,1992,,,371006,3,15.3,1206.2,,NC
37,1006,2,G,1,1993-04-26,0.664,0.759,ACUB,0.0,0.0,121.0,0.0,0.0,0.0,,,6,6,4,9.5,,1993,,399.0,371006,13,15.6,1113.1,,NC
37,1006,2,G,1,1993-04-26,0.684,0.794,ACUB,0.0,0.0,121.0,0.0,0.0,0.0,,,6,6,4,9.5,,1993,,399.0,371006,13,15.6,1113.1,,NC
37,1006,2,G,1,1993-04-26,0.665,0.838,ACUB,0.0,0.0,121.0,0.0,0.0,0.0,,,6,6,4,9.5,,1993,,399.0,371006,13,15.6,1113.1,,NC
37,1006,2,G,1,1993-04-26,0.674,0.778,ACUB,0.0,0.0,121.0,0.0,0.0,0.0,,,6,6,4,9.5,,1993,,399.0,371006,13,15.6,1113.1,,NC
37,1006,2,G,1,1993-04-26,0.68,0.783,ACUB,0.0,0.0,121.0,0.0,0.0,0.0,,,6,6,4,9.5,,1993,,399.0,371006,13,15.6,1113.1,,NC
37,1006,2,G,1,1994-09-20,0.663,0.81,ACUB,0.0,0.0,0.0,0.0,0.0,0.0,,,4,4,2,9.5,,1994,,,371006,52,15.8,1091.8,,NC
37,1006,2,G,1,1994-09-20,0.679,0.797,ACUB,0.0,0.0,0.0,0.0,0.0,0.0,,,4,4,2,9.5,,1994,,,371006,52,15.8,1091.8,,NC
37,1006,2,G,1,1994-09-20,0.657,0.857,ACUB,0.0,0.0,0.0,0.0,0.0,0.0,,,4,4,2,9.5,,1994,,,371006,52,15.8,1091.8,,NC
37,1006,2,G,1,1994-09-20,0.659,0.849,ACUB,0.0,0.0,0.0,0.0,0.0,0.0,,,4,4,2,9.5,,1994,,,371006,52,15.8,1091.8,,NC
37,1006,2,G,1,1994-09-20,0.665,0.825,ACUB,0.0,0.0,0.0,0.0,0.0,0.0,,,4,4,2,9.5,,1994,,,371006,52,15.8,1091.8,,NC
37,1024,1,G,1,1990-03-18,0.837,1.087,ACUB,,,,,,,,,9,9,9,4.8,,1990,,,371024,4,14.9,1515.3,1980-11-01,NC
37,1024,1,G,1,1990-03-18,0.763,1.128,ACUB,,,,,,,,,9,9,9,4.8,,1990,,,371024,4,14.9,1515.3,1980-11-01,NC
37,1024,1,G,1,1990-03-18,0.877,1.09,ACUB,,,,,,,,,9,9,9,4.8,,1990,,,371024,4,14.9,1515.3,1980-11-01,NC
37,1024,1,G,1,1990-03-18,0.839,1.1,ACUB,,,,,,,,,9,9,9,4.8,,1990,,,371024,4,14.9,1515.3,1980-11-01,NC
37,1024,1,G,1,1990-03-18,0.855,1.1,ACUB,,,,,,,,,9,9,9,4.8,,1990,,,371024,4,14.9,1515.3,1980-11-01,NC
37,1024,1,G,1,1991-10-31,1.087,1.281,ACUB,46.0,35.0,0.0,31.0,0.0,0.0,0.0,0.0,9,8,9,4.8,,1991,,,371024,26,14.6,1428.8,1980-11-01,NC
37,1024,1,G,1,1991-10-31,1.068,1.275,ACUB,46.0,35.0,0.0,31.0,0.0,0.0,0.0,0.0,9,8,9,4.8,,1991,,,371024,26,14.6,1428.8,1980-11-01,NC
37,1024,1,G,1,1991-10-31,1.132,1.236,ACUB,46.0,35.0,0.0,31.0,0.0,0.0,0.0,0.0,9,8,9,4.8,,1991,,,371024,26,14.6,1428.8,1980-11-01,NC
37,1024,1,G,1,1991-10-31,1.21,1.088,ACUB,46.0,35.0,0.0,31.0,0.0,0.0,0.0,0.0,9,8,9,4.8,,1991,,,371024,26,14.6,1428.8,1980-11-01,NC
37,1024,1,G,1,1991-10-31,1.083,1.186,ACUB,46.0,35.0,0.0,31.0,0.0,0.0,0.0,0.0,9,8,9,4.8,,1991,,,371024,26,14.6,1428.8,1980-11-01,NC
37,1024,1,G,1,1992-04-10,0.991,1.09,ACUB,46.0,35.0,0.0,31.0,0.0,0.0,0.0,0.0,9,8,9,4.8,,1992,,,371024,11,13.5,1471.3,1980-11-01,NC
37,1024,1,G,1,1992-04-10,1.009,1.058,ACUB,46.0,35.0,0.0,31.0,0.0,0.0,0.0,0.0,9,8,9,4.8,,1992,,,371024,11,13.5,1471.3,1980-11-01,NC
37,1024,1,G,1,1992-04-10,0.994,1.063,ACUB,46.0,35.0,0.0,31.0,0.0,0.0,0.0,0.0,9,8,9,4.8,,1992,,,371024,11,13.5,1471.3,1980-11-01,NC
37,1024,1,G,1,1992-04-10,0.955,1.109,ACUB,46.0,35.0,0.0,31.0,0.0,0.0,0.0,0.0,9,8,9,4.8,,1992,,,371024,11,13.5,1471.3,1980-11-01,NC
37,1024,1,G,1,1992-04-10,0.95,1.035,ACUB,46.0,35.0,0.0,31.0,0.0,0.0,0.0,0.0,9,8,9,4.8,,1992,,,371024,11,13.5,1471.3,1980-11-01,NC
37,1028,1,G,2,1990-01-30,0.804,0.844,ACTB,,,,,,,,,11,11,10,1.7,,1990,,,371028,3,16.9,1103.0,1982-05-01,NC
37,1028,1,G,2,1990-01-30,0.806,0.863,ACTB,,,,,,,,,11,11,10,1.7,,1990,,,371028,3,16.9,1103.0,1982-05-01,NC
37,1028,1,G,2,1990-01-30,0.794,0.869,ACTB,,,,,,,,,11,11,10,1.7,,1990,,,371028,3,16.9,1103.0,1982-05-01,NC
37,1028,1,G,2,1990-01-30,0.79,0.858,ACTB,,,,,,,,,11,11,10,1.7,,1990,,,371028,3,16.9,1103.0,1982-05-01,NC
37,1028,1,G,2,1990-01-30,0.785,0.851,ACTB,,,,,,,,,11,11,10,1.7,,1990,,,371028,3,16.9,1103.0,1982-05-01,NC
