STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_AC,MEPDG_CRACKING_PERCENT_AC,MEPDG_TRANS_CRACK_LENGTH_AC,MEPDG_LONG_CRACK_LENGTH_AC,PATCH_A,POTHOLES_A,BLEEDING,RAVELING,MAX_MEAN_DEPTH_WIRE_REF,LLH_DEPTH_WIRE_REF_MEAN,RLH_DEPTH_WIRE_REF_MEAN,BOUND_THICKNESS_CM,PLASTICITY_INDEX,PERCENT_FINER_02,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
38,2001,1,G,2,1989-10-24,1.721,1.7,ACATB,,,,,,,,,12,12,12,2.4,15.0,11.9,1989,,,382001,1873,3.4,365.3,1978-05-01,ND
38,2001,1,G,2,1989-10-24,1.653,1.696,ACATB,,,,,,,,,12,12,12,2.4,15.0,11.9,1989,,,382001,1873,3.4,365.3,1978-05-01,ND
38,2001,1,G,2,1989-10-24,1.696,1.682,ACATB,,,,,,,,,12,12,12,2.4,15.0,11.9,1989,,,382001,1873,3.4,365.3,1978-05-01,ND
38,2001,1,G,2,1989-10-24,1.712,1.719,ACATB,,,,,,,,,12,12,12,2.4,15.0,11.9,1989,,,382001,1873,3.4,365.3,1978-05-01,ND
38,2001,1,G,2,1989-10-24,1.678,1.7,ACATB,,,,,,,,,12,12,12,2.4,15.0,11.9,1989,,,382001,1873,3.4,365.3,1978-05-01,ND
38,2001,2,G,2,1990-11-30,2.132,1.876,ACATB,,,,,,,,,13,13,11,2.6,,,1990,,,382001,1148,5.4,414.2,,ND
38,2001,2,G,2,1990-11-30,2.178,1.807,ACATB,,,,,,,,,13,13,11,2.6,,,1990,,,382001,1148,5.4,414.2,,ND
38,2001,2,G,2,1990-11-30,2.163,1.867,ACATB,,,,,,,,,13,13,11,2.6,,,1990,,,382001,1148,5.4,414.2,,ND
38,2001,2,G,2,1990-11-30,2.157,1.838,ACATB,,,,,,,,,13,13,11,2.6,,,1990,,,382001,1148,5.4,414.2,,ND
38,2001,2,G,2,1990-11-30,2.088,1.834,ACATB,,,,,,,,,13,13,11,2.6,,,1990,,,382001,1148,5.4,414.2,,ND
38,2001,2,G,2,1991-07-20,2.046,1.937,ACATB,,,,,,,,,13,13,11,2.6,,,1991,,24.0,382001,1330,5.3,651.7,,ND
