STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_AC,MEPDG_CRACKING_PERCENT_AC,MEPDG_TRANS_CRACK_LENGTH_AC,MEPDG_LONG_CRACK_LENGTH_AC,PATCH_A,POTHOLES_A,BLEEDING,RAVELING,MAX_MEAN_DEPTH_WIRE_REF,LLH_DEPTH_WIRE_REF_MEAN,RLH_DEPTH_WIRE_REF_MEAN,BOUND_THICKNESS_CM,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
33,1001,1,G,1,1995-02-22,0.741,0.698,ACUB,42.0,21.0,326.0,21.0,0.0,0.0,0.0,0.0,8,8,8,8.4,1995,,,331001,512,8.2,982.1,1981-01-01,NH
33,1001,1,G,1,1995-01-06,0.883,0.835,ACUB,39.0,6.0,197.0,1064.0,0.0,0.0,0.0,516.8,8,8,8,8.4,1995,,,331001,512,8.2,982.1,1981-01-01,NH
33,1001,1,G,1,1995-07-24,0.747,0.74,ACUB,42.0,21.0,326.0,21.0,0.0,0.0,0.0,0.0,8,8,8,8.4,1995,,,331001,512,8.2,982.1,1981-01-01,NH
33,1001,1,G,1,1995-07-24,0.707,0.708,ACUB,42.0,21.0,326.0,21.0,0.0,0.0,0.0,0.0,8,8,8,8.4,1995,,,331001,512,8.2,982.1,1981-01-01,NH
33,1001,1,G,1,1995-05-18,0.661,0.668,ACUB,42.0,21.0,326.0,21.0,0.0,0.0,0.0,0.0,8,8,8,8.4,1995,,,331001,512,8.2,982.1,1981-01-01,NH
33,1001,1,G,1,1995-05-18,0.672,0.665,ACUB,42.0,21.0,326.0,21.0,0.0,0.0,0.0,0.0,8,8,8,8.4,1995,,,331001,512,8.2,982.1,1981-01-01,NH
33,1001,1,G,1,1995-05-18,0.659,0.688,ACUB,42.0,21.0,326.0,21.0,0.0,0.0,0.0,0.0,8,8,8,8.4,1995,,,331001,512,8.2,982.1,1981-01-01,NH
33,1001,1,G,1,1995-07-24,0.735,0.809,ACUB,42.0,21.0,326.0,21.0,0.0,0.0,0.0,0.0,8,8,8,8.4,1995,,,331001,512,8.2,982.1,1981-01-01,NH
33,1001,1,G,1,1995-05-18,0.702,0.682,ACUB,42.0,21.0,326.0,21.0,0.0,0.0,0.0,0.0,8,8,8,8.4,1995,,,331001,512,8.2,982.1,1981-01-01,NH
33,1001,1,G,1,1995-07-24,0.703,0.701,ACUB,42.0,21.0,326.0,21.0,0.0,0.0,0.0,0.0,8,8,8,8.4,1995,,,331001,512,8.2,982.1,1981-01-01,NH
33,1001,1,G,1,1995-02-22,0.693,0.7,ACUB,42.0,21.0,326.0,21.0,0.0,0.0,0.0,0.0,8,8,8,8.4,1995,,,331001,512,8.2,982.1,1981-01-01,NH
33,1001,1,G,1,1995-02-22,0.745,0.703,ACUB,42.0,21.0,326.0,21.0,0.0,0.0,0.0,0.0,8,8,8,8.4,1995,,,331001,512,8.2,982.1,1981-01-01,NH
33,1001,1,G,1,1995-02-22,0.703,0.693,ACUB,42.0,21.0,326.0,21.0,0.0,0.0,0.0,0.0,8,8,8,8.4,1995,,,331001,512,8.2,982.1,1981-01-01,NH
