STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_AC,MEPDG_CRACKING_PERCENT_AC,MEPDG_TRANS_CRACK_LENGTH_AC,MEPDG_LONG_CRACK_LENGTH_AC,PATCH_A,POTHOLES_A,BLEEDING,RAVELING,MAX_MEAN_DEPTH_WIRE_REF,LLH_DEPTH_WIRE_REF_MEAN,RLH_DEPTH_WIRE_REF_MEAN,BOUND_THICKNESS_CM,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
34,1003,1,G,1,1989-11-24,2.025,1.994,ACUB,,,,,,,,,20,17,20,7.5,1989,,,341003,435,9.2,1378.7,1973-12-01,NJ
34,1003,1,G,1,1989-11-24,2.045,1.793,ACUB,,,,,,,,,20,17,20,7.5,1989,,,341003,435,9.2,1378.7,1973-12-01,NJ
34,1003,1,G,1,1991-09-06,1.385,1.824,ACUB,,,,,,,,,20,16,20,7.5,1991,,,341003,215,11.1,990.5,1973-12-01,NJ
34,1003,1,G,1,1991-09-06,1.367,2.07,ACUB,,,,,,,,,20,16,20,7.5,1991,,,341003,215,11.1,990.5,1973-12-01,NJ
34,1003,1,G,1,1991-09-06,1.489,1.578,ACUB,,,,,,,,,20,16,20,7.5,1991,,,341003,215,11.1,990.5,1973-12-01,NJ
34,1003,1,G,1,1991-09-06,1.365,1.994,ACUB,,,,,,,,,20,16,20,7.5,1991,,,341003,215,11.1,990.5,1973-12-01,NJ
34,1003,1,G,1,1991-09-06,1.468,1.717,ACUB,,,,,,,,,20,16,20,7.5,1991,,,341003,215,11.1,990.5,1973-12-01,NJ
34,1003,1,G,1,1992-06-17,1.515,1.514,ACUB,,,,,,,,,23,19,23,7.5,1992,,,341003,244,9.2,1237.4,1973-12-01,NJ
34,1003,1,G,1,1992-06-17,1.538,1.464,ACUB,,,,,,,,,23,19,23,7.5,1992,,,341003,244,9.2,1237.4,1973-12-01,NJ
34,1003,1,G,1,1992-06-17,1.447,1.638,ACUB,,,,,,,,,23,19,23,7.5,1992,,,341003,244,9.2,1237.4,1973-12-01,NJ
34,1003,1,G,1,1992-06-17,1.468,1.493,ACUB,,,,,,,,,23,19,23,7.5,1992,,,341003,244,9.2,1237.4,1973-12-01,NJ
