STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_AC,MEPDG_CRACKING_PERCENT_AC,MEPDG_TRANS_CRACK_LENGTH_AC,MEPDG_LONG_CRACK_LENGTH_AC,PATCH_A,POTHOLES_A,BLEEDING,RAVELING,MAX_MEAN_DEPTH_WIRE_REF,LLH_DEPTH_WIRE_REF_MEAN,RLH_DEPTH_WIRE_REF_MEAN,BOUND_THICKNESS_CM,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
87,1620,1,G,1,1989-09-06,1.446,1.565,ACUB,,,,,,,,,13,13,11,4.8,1989,,,871620,1069,5.6,1057.1,1981-06-01,ON
87,1620,1,G,1,1989-09-06,1.471,1.572,ACUB,,,,,,,,,13,13,11,4.8,1989,,,871620,1069,5.6,1057.1,1981-06-01,ON
87,1620,1,G,1,1989-09-06,1.465,1.623,ACUB,,,,,,,,,13,13,11,4.8,1989,,,871620,1069,5.6,1057.1,1981-06-01,ON
87,1620,1,G,1,1989-09-06,1.462,1.655,ACUB,,,,,,,,,13,13,11,4.8,1989,,,871620,1069,5.6,1057.1,1981-06-01,ON
87,1620,1,G,1,1989-09-06,1.459,1.575,ACUB,,,,,,,,,13,13,11,4.8,1989,,,871620,1069,5.6,1057.1,1981-06-01,ON
87,1620,1,G,1,1990-06-18,1.523,1.966,ACUB,,,,,,,,,15,15,14,4.8,1990,,,871620,531,7.3,1033.4,1981-06-01,ON
87,1620,1,G,1,1990-06-18,1.511,1.946,ACUB,,,,,,,,,15,15,14,4.8,1990,,,871620,531,7.3,1033.4,1981-06-01,ON
87,1620,1,G,1,1990-06-18,1.56,1.966,ACUB,,,,,,,,,15,15,14,4.8,1990,,,871620,531,7.3,1033.4,1981-06-01,ON
87,1620,1,G,1,1990-06-18,1.56,1.883,ACUB,,,,,,,,,15,15,14,4.8,1990,,,871620,531,7.3,1033.4,1981-06-01,ON
87,1620,1,G,1,1990-06-18,1.59,1.837,ACUB,,,,,,,,,15,15,14,4.8,1990,,,871620,531,7.3,1033.4,1981-06-01,ON
87,1620,1,G,1,1990-10-20,1.464,1.896,ACUB,,,,,,,,,15,15,14,4.8,1990,,,871620,531,7.3,1033.4,1981-06-01,ON
87,1620,1,G,1,1990-10-20,1.446,1.927,ACUB,,,,,,,,,15,15,14,4.8,1990,,,871620,531,7.3,1033.4,1981-06-01,ON
87,1620,1,G,1,1990-10-20,1.383,2.005,ACUB,,,,,,,,,15,15,14,4.8,1990,,,871620,531,7.3,1033.4,1981-06-01,ON
87,1620,1,G,1,1990-10-20,1.402,1.95,ACUB,,,,,,,,,15,15,14,4.8,1990,,,871620,531,7.3,1033.4,1981-06-01,ON
87,1620,1,G,1,1990-10-20,1.373,2.047,ACUB,,,,,,,,,15,15,14,4.8,1990,,,871620,531,7.3,1033.4,1981-06-01,ON
87,1620,1,G,1,1991-04-25,1.62,1.742,ACUB,18.0,19.0,3350.0,52.0,0.0,0.0,0.0,102.5,13,13,13,4.8,1991,,395.0,871620,688,7.4,1054.5,1981-06-01,ON
87,1620,1,G,1,1991-04-25,1.615,1.866,ACUB,18.0,19.0,3350.0,52.0,0.0,0.0,0.0,102.5,13,13,13,4.8,1991,,395.0,871620,688,7.4,1054.5,1981-06-01,ON
87,1620,1,G,1,1991-04-25,1.588,1.769,ACUB,18.0,19.0,3350.0,52.0,0.0,0.0,0.0,102.5,13,13,13,4.8,1991,,395.0,871620,688,7.4,1054.5,1981-06-01,ON
87,1620,1,G,1,1991-04-25,1.621,1.722,ACUB,18.0,19.0,3350.0,52.0,0.0,0.0,0.0,102.5,13,13,13,4.8,1991,,395.0,871620,688,7.4,1054.5,1981-06-01,ON
87,1620,1,G,1,1991-04-25,1.598,1.842,ACUB,18.0,19.0,3350.0,52.0,0.0,0.0,0.0,102.5,13,13,13,4.8,1991,,395.0,871620,688,7.4,1054.5,1981-06-01,ON
87,1620,1,G,1,1992-04-24,1.434,1.941,ACUB,18.0,19.0,3350.0,52.0,0.0,0.0,0.0,102.5,13,13,13,4.8,1992,440.0,557.0,871620,716,5.8,1055.3,1981-06-01,ON
87,1620,1,G,1,1992-04-24,1.434,1.941,ACUB,18.0,19.0,3350.0,52.0,0.0,0.0,0.0,102.5,13,13,13,4.8,1992,440.0,557.0,871620,716,5.8,1055.3,1981-06-01,ON
87,1620,1,G,1,1992-04-24,1.421,1.922,ACUB,18.0,19.0,3350.0,52.0,0.0,0.0,0.0,102.5,13,13,13,4.8,1992,440.0,557.0,871620,716,5.8,1055.3,1981-06-01,ON
87,1620,1,G,1,1992-04-24,1.421,1.922,ACUB,18.0,19.0,3350.0,52.0,0.0,0.0,0.0,102.5,13,13,13,4.8,1992,440.0,557.0,871620,716,5.8,1055.3,1981-06-01,ON
87,1620,1,G,1,1992-04-24,1.427,1.852,ACUB,18.0,19.0,3350.0,52.0,0.0,0.0,0.0,102.5,13,13,13,4.8,1992,440.0,557.0,871620,716,5.8,1055.3,1981-06-01,ON
87,1620,1,G,1,1992-04-24,1.427,1.852,ACUB,18.0,19.0,3350.0,52.0,0.0,0.0,0.0,102.5,13,13,13,4.8,1992,440.0,557.0,871620,716,5.8,1055.3,1981-06-01,ON
87,1620,1,G,1,1992-04-24,1.434,1.964,ACUB,18.0,19.0,3350.0,52.0,0.0,0.0,0.0,102.5,13,13,13,4.8,1992,440.0,557.0,871620,716,5.8,1055.3,1981-06-01,ON
87,1620,1,G,1,1992-04-24,1.434,1.964,ACUB,18.0,19.0,3350.0,52.0,0.0,0.0,0.0,102.5,13,13,13,4.8,1992,440.0,557.0,871620,716,5.8,1055.3,1981-06-01,ON
87,1620,1,G,1,1992-04-24,1.428,1.907,ACUB,18.0,19.0,3350.0,52.0,0.0,0.0,0.0,102.5,13,13,13,4.8,1992,440.0,557.0,871620,716,5.8,1055.3,1981-06-01,ON
87,1620,1,G,1,1992-04-24,1.428,1.907,ACUB,18.0,19.0,3350.0,52.0,0.0,0.0,0.0,102.5,13,13,13,4.8,1992,440.0,557.0,871620,716,5.8,1055.3,1981-06-01,ON
87,1622,1,G,1,1990-06-18,1.175,1.649,ACUB,,,,,,,,,8,8,8,5.7,1990,,,871622,735,5.7,1137.9,1976-06-01,ON
87,1622,1,G,1,1990-06-18,1.15,1.643,ACUB,,,,,,,,,8,8,8,5.7,1990,,,871622,735,5.7,1137.9,1976-06-01,ON
87,1622,1,G,1,1990-06-18,1.233,1.691,ACUB,,,,,,,,,8,8,8,5.7,1990,,,871622,735,5.7,1137.9,1976-06-01,ON
87,1622,1,G,1,1990-06-18,1.201,1.679,ACUB,,,,,,,,,8,8,8,5.7,1990,,,871622,735,5.7,1137.9,1976-06-01,ON
87,1622,1,G,1,1990-06-18,1.189,1.696,ACUB,,,,,,,,,8,8,8,5.7,1990,,,871622,735,5.7,1137.9,1976-06-01,ON
87,1622,1,G,1,1990-10-19,1.147,1.879,ACUB,,,,,,,,,8,8,8,5.7,1990,,,871622,735,5.7,1137.9,1976-06-01,ON
87,1622,1,G,1,1990-10-19,1.139,1.866,ACUB,,,,,,,,,8,8,8,5.7,1990,,,871622,735,5.7,1137.9,1976-06-01,ON
87,1622,1,G,1,1990-10-19,1.144,1.783,ACUB,,,,,,,,,8,8,8,5.7,1990,,,871622,735,5.7,1137.9,1976-06-01,ON
87,1622,1,G,1,1990-10-19,1.122,1.889,ACUB,,,,,,,,,8,8,8,5.7,1990,,,871622,735,5.7,1137.9,1976-06-01,ON
87,1622,1,G,1,1990-10-19,1.129,1.757,ACUB,,,,,,,,,8,8,8,5.7,1990,,,871622,735,5.7,1137.9,1976-06-01,ON
87,1622,1,G,1,1991-04-26,1.227,1.8,ACUB,,,,,,,,,8,8,8,5.7,1991,,,871622,883,5.8,1216.1,1976-06-01,ON
87,1622,1,G,1,1991-04-26,1.239,1.825,ACUB,,,,,,,,,8,8,8,5.7,1991,,,871622,883,5.8,1216.1,1976-06-01,ON
87,1622,1,G,1,1991-04-26,1.345,1.798,ACUB,,,,,,,,,8,8,8,5.7,1991,,,871622,883,5.8,1216.1,1976-06-01,ON
87,1622,1,G,1,1991-04-26,1.237,1.801,ACUB,,,,,,,,,8,8,8,5.7,1991,,,871622,883,5.8,1216.1,1976-06-01,ON
87,1622,1,G,1,1991-04-26,1.269,1.82,ACUB,,,,,,,,,8,8,8,5.7,1991,,,871622,883,5.8,1216.1,1976-06-01,ON
87,1622,1,G,1,1992-08-20,1.302,1.751,ACUB,,,,,,,,,9,9,9,5.7,1992,,,871622,1028,3.9,1288.8,1976-06-01,ON
87,1622,1,G,1,1992-08-20,1.191,1.848,ACUB,,,,,,,,,9,9,9,5.7,1992,,,871622,1028,3.9,1288.8,1976-06-01,ON
87,1622,1,G,1,1992-08-20,1.212,1.797,ACUB,,,,,,,,,9,9,9,5.7,1992,,,871622,1028,3.9,1288.8,1976-06-01,ON
87,1622,1,G,1,1992-08-20,1.319,1.755,ACUB,,,,,,,,,9,9,9,5.7,1992,,,871622,1028,3.9,1288.8,1976-06-01,ON
87,1622,1,G,1,1992-08-20,1.179,1.843,ACUB,,,,,,,,,9,9,9,5.7,1992,,,871622,1028,3.9,1288.8,1976-06-01,ON
87,1622,1,G,1,1993-09-08,1.378,1.927,ACUB,20.0,6.0,2647.0,1611.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1993,,270.0,871622,1046,4.6,1226.9,1976-06-01,ON
87,1622,1,G,1,1993-09-08,1.267,2.001,ACUB,20.0,6.0,2647.0,1611.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1993,,270.0,871622,1046,4.6,1226.9,1976-06-01,ON
87,1622,1,G,1,1993-09-08,1.257,1.956,ACUB,20.0,6.0,2647.0,1611.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1993,,270.0,871622,1046,4.6,1226.9,1976-06-01,ON
87,1622,1,G,1,1993-09-08,1.249,1.943,ACUB,20.0,6.0,2647.0,1611.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1993,,270.0,871622,1046,4.6,1226.9,1976-06-01,ON
87,1622,1,G,1,1993-09-08,1.254,1.903,ACUB,20.0,6.0,2647.0,1611.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1993,,270.0,871622,1046,4.6,1226.9,1976-06-01,ON
87,1622,1,G,1,1994-02-16,1.377,1.843,ACUB,23.0,9.0,2969.0,128.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1994,610.0,496.0,871622,1223,4.3,1187.5,1976-06-01,ON
87,1622,1,G,1,1994-02-16,1.377,1.843,ACUB,23.0,9.0,2969.0,128.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1994,610.0,496.0,871622,1223,4.3,1187.5,1976-06-01,ON
87,1622,1,G,1,1994-02-16,1.386,1.889,ACUB,23.0,9.0,2969.0,128.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1994,610.0,496.0,871622,1223,4.3,1187.5,1976-06-01,ON
87,1622,1,G,1,1994-02-16,1.386,1.889,ACUB,23.0,9.0,2969.0,128.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1994,610.0,496.0,871622,1223,4.3,1187.5,1976-06-01,ON
87,1622,1,G,1,1994-02-16,1.335,1.9,ACUB,23.0,9.0,2969.0,128.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1994,610.0,496.0,871622,1223,4.3,1187.5,1976-06-01,ON
87,1622,1,G,1,1994-02-16,1.335,1.9,ACUB,23.0,9.0,2969.0,128.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1994,610.0,496.0,871622,1223,4.3,1187.5,1976-06-01,ON
87,1622,1,G,1,1994-02-16,1.372,1.877,ACUB,23.0,9.0,2969.0,128.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1994,610.0,496.0,871622,1223,4.3,1187.5,1976-06-01,ON
87,1622,1,G,1,1994-02-16,1.372,1.877,ACUB,23.0,9.0,2969.0,128.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1994,610.0,496.0,871622,1223,4.3,1187.5,1976-06-01,ON
87,1622,1,G,1,1994-02-16,1.35,1.886,ACUB,23.0,9.0,2969.0,128.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1994,610.0,496.0,871622,1223,4.3,1187.5,1976-06-01,ON
87,1622,1,G,1,1994-02-16,1.35,1.886,ACUB,23.0,9.0,2969.0,128.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1994,610.0,496.0,871622,1223,4.3,1187.5,1976-06-01,ON
87,1622,1,G,1,1994-04-06,1.559,2.425,ACUB,23.0,9.0,2969.0,128.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1994,610.0,496.0,871622,1223,4.3,1187.5,1976-06-01,ON
87,1622,1,G,1,1994-04-06,1.559,2.425,ACUB,23.0,9.0,2969.0,128.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1994,610.0,496.0,871622,1223,4.3,1187.5,1976-06-01,ON
87,1622,1,G,1,1994-04-06,1.548,2.42,ACUB,23.0,9.0,2969.0,128.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1994,610.0,496.0,871622,1223,4.3,1187.5,1976-06-01,ON
87,1622,1,G,1,1994-04-06,1.548,2.42,ACUB,23.0,9.0,2969.0,128.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1994,610.0,496.0,871622,1223,4.3,1187.5,1976-06-01,ON
87,1622,1,G,1,1994-04-06,1.622,2.4,ACUB,23.0,9.0,2969.0,128.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1994,610.0,496.0,871622,1223,4.3,1187.5,1976-06-01,ON
87,1622,1,G,1,1994-04-06,1.622,2.4,ACUB,23.0,9.0,2969.0,128.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1994,610.0,496.0,871622,1223,4.3,1187.5,1976-06-01,ON
87,1622,1,G,1,1994-04-06,1.598,2.33,ACUB,23.0,9.0,2969.0,128.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1994,610.0,496.0,871622,1223,4.3,1187.5,1976-06-01,ON
87,1622,1,G,1,1994-04-06,1.598,2.33,ACUB,23.0,9.0,2969.0,128.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1994,610.0,496.0,871622,1223,4.3,1187.5,1976-06-01,ON
87,1622,1,G,1,1994-04-06,1.559,2.402,ACUB,23.0,9.0,2969.0,128.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1994,610.0,496.0,871622,1223,4.3,1187.5,1976-06-01,ON
87,1622,1,G,1,1994-04-06,1.559,2.402,ACUB,23.0,9.0,2969.0,128.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1994,610.0,496.0,871622,1223,4.3,1187.5,1976-06-01,ON
87,1622,1,G,1,1994-07-14,1.306,1.935,ACUB,20.0,4.0,2980.0,2394.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1994,610.0,496.0,871622,1223,4.3,1187.5,1976-06-01,ON
87,1622,1,G,1,1994-07-14,1.306,1.935,ACUB,20.0,4.0,2980.0,2394.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1994,610.0,496.0,871622,1223,4.3,1187.5,1976-06-01,ON
87,1622,1,G,1,1994-07-14,1.291,2.018,ACUB,20.0,4.0,2980.0,2394.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1994,610.0,496.0,871622,1223,4.3,1187.5,1976-06-01,ON
87,1622,1,G,1,1994-07-14,1.291,2.018,ACUB,20.0,4.0,2980.0,2394.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1994,610.0,496.0,871622,1223,4.3,1187.5,1976-06-01,ON
87,1622,1,G,1,1994-07-14,1.302,2.008,ACUB,20.0,4.0,2980.0,2394.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1994,610.0,496.0,871622,1223,4.3,1187.5,1976-06-01,ON
87,1622,1,G,1,1994-07-14,1.302,2.008,ACUB,20.0,4.0,2980.0,2394.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1994,610.0,496.0,871622,1223,4.3,1187.5,1976-06-01,ON
87,1622,1,G,1,1994-07-14,1.346,1.943,ACUB,20.0,4.0,2980.0,2394.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1994,610.0,496.0,871622,1223,4.3,1187.5,1976-06-01,ON
87,1622,1,G,1,1994-07-14,1.346,1.943,ACUB,20.0,4.0,2980.0,2394.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1994,610.0,496.0,871622,1223,4.3,1187.5,1976-06-01,ON
87,1622,1,G,1,1994-07-14,1.299,1.956,ACUB,20.0,4.0,2980.0,2394.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1994,610.0,496.0,871622,1223,4.3,1187.5,1976-06-01,ON
87,1622,1,G,1,1994-07-14,1.299,1.956,ACUB,20.0,4.0,2980.0,2394.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1994,610.0,496.0,871622,1223,4.3,1187.5,1976-06-01,ON
87,1622,1,G,1,1994-10-17,1.322,1.903,ACUB,20.0,4.0,2980.0,2394.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1994,610.0,496.0,871622,1223,4.3,1187.5,1976-06-01,ON
87,1622,1,G,1,1994-10-17,1.322,1.903,ACUB,20.0,4.0,2980.0,2394.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1994,610.0,496.0,871622,1223,4.3,1187.5,1976-06-01,ON
87,1622,1,G,1,1994-10-17,1.326,1.872,ACUB,20.0,4.0,2980.0,2394.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1994,610.0,496.0,871622,1223,4.3,1187.5,1976-06-01,ON
87,1622,1,G,1,1994-10-17,1.326,1.872,ACUB,20.0,4.0,2980.0,2394.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1994,610.0,496.0,871622,1223,4.3,1187.5,1976-06-01,ON
87,1622,1,G,1,1994-10-17,1.302,1.913,ACUB,20.0,4.0,2980.0,2394.0,0.0,0.0,0.0,0.0,8,8,8,5.7,1994,610.0,496.0,871622,1223,4.3,1187.5,1976-06-01,ON
