STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_AC,MEPDG_CRACKING_PERCENT_AC,MEPDG_TRANS_CRACK_LENGTH_AC,MEPDG_LONG_CRACK_LENGTH_AC,PATCH_A,POTHOLES_A,BLEEDING,RAVELING,MAX_MEAN_DEPTH_WIRE_REF,LLH_DEPTH_WIRE_REF_MEAN,RLH_DEPTH_WIRE_REF_MEAN,BOUND_THICKNESS_CM,PLASTICITY_INDEX,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
46,9187,1,G,1,1990-11-29,0.561,0.733,ACUB,,,,,,,,,,,,5.5,13.0,1990,,,469187,610,8.7,285.3,1989-05-01,SD
46,9187,1,G,1,1990-11-29,0.549,0.716,ACUB,,,,,,,,,,,,5.5,13.0,1990,,,469187,610,8.7,285.3,1989-05-01,SD
46,9187,1,G,1,1990-11-29,0.566,0.733,ACUB,,,,,,,,,,,,5.5,13.0,1990,,,469187,610,8.7,285.3,1989-05-01,SD
46,9187,1,G,1,1990-11-29,0.557,0.743,ACUB,,,,,,,,,,,,5.5,13.0,1990,,,469187,610,8.7,285.3,1989-05-01,SD
46,9187,1,G,1,1990-11-29,0.569,0.719,ACUB,,,,,,,,,,,,5.5,13.0,1990,,,469187,610,8.7,285.3,1989-05-01,SD
46,9187,2,G,1,1991-08-13,0.686,0.834,ACUB,,,,,,,,,4,3,4,5.5,,1991,,,469187,627,8.7,405.5,,SD
46,9187,2,G,1,1991-08-13,0.697,0.84,ACUB,,,,,,,,,4,3,4,5.5,,1991,,,469187,627,8.7,405.5,,SD
46,9187,2,G,1,1991-08-13,0.671,0.844,ACUB,,,,,,,,,4,3,4,5.5,,1991,,,469187,627,8.7,405.5,,SD
46,9187,2,G,1,1991-08-13,0.677,0.844,ACUB,,,,,,,,,4,3,4,5.5,,1991,,,469187,627,8.7,405.5,,SD
46,9187,2,G,1,1991-08-13,0.673,0.851,ACUB,,,,,,,,,4,3,4,5.5,,1991,,,469187,627,8.7,405.5,,SD
46,9187,3,G,1,1992-07-31,0.666,0.795,ACUB,,,,,,,,,,,,5.9,,1992,,,469187,488,8.1,440.6,,SD
46,9187,3,G,1,1992-07-31,0.676,0.791,ACUB,,,,,,,,,,,,5.9,,1992,,,469187,488,8.1,440.6,,SD
46,9187,3,G,1,1992-07-31,0.684,0.784,ACUB,,,,,,,,,,,,5.9,,1992,,,469187,488,8.1,440.6,,SD
46,9187,3,G,1,1992-07-31,0.658,0.799,ACUB,,,,,,,,,,,,5.9,,1992,,,469187,488,8.1,440.6,,SD
46,9187,3,G,1,1992-07-31,0.668,0.796,ACUB,,,,,,,,,,,,5.9,,1992,,,469187,488,8.1,440.6,,SD
46,9187,3,G,1,1993-06-16,0.891,0.907,ACUB,0.0,0.0,1400.0,0.0,0.0,0.0,,,3,2,3,5.9,,1993,,,469187,928,6.0,619.0,,SD
46,9187,3,G,1,1993-06-16,0.878,0.908,ACUB,0.0,0.0,1400.0,0.0,0.0,0.0,,,3,2,3,5.9,,1993,,,469187,928,6.0,619.0,,SD
46,9187,3,G,1,1993-06-16,0.889,0.893,ACUB,0.0,0.0,1400.0,0.0,0.0,0.0,,,3,2,3,5.9,,1993,,,469187,928,6.0,619.0,,SD
46,9187,3,G,1,1993-06-16,0.881,0.894,ACUB,0.0,0.0,1400.0,0.0,0.0,0.0,,,3,2,3,5.9,,1993,,,469187,928,6.0,619.0,,SD
46,9187,3,G,1,1993-06-16,0.893,0.934,ACUB,0.0,0.0,1400.0,0.0,0.0,0.0,,,3,2,3,5.9,,1993,,,469187,928,6.0,619.0,,SD
46,9187,3,G,1,1994-10-01,0.853,1.071,ACUB,0.0,0.0,1448.0,0.0,0.0,0.0,,,2,1,2,5.9,,1994,,,469187,881,7.7,394.4,,SD
46,9187,3,G,1,1994-10-01,0.836,1.046,ACUB,0.0,0.0,1448.0,0.0,0.0,0.0,,,2,1,2,5.9,,1994,,,469187,881,7.7,394.4,,SD
46,9187,3,G,1,1994-10-01,0.824,1.071,ACUB,0.0,0.0,1448.0,0.0,0.0,0.0,,,2,1,2,5.9,,1994,,,469187,881,7.7,394.4,,SD
46,9187,3,G,1,1994-10-01,0.846,1.046,ACUB,0.0,0.0,1448.0,0.0,0.0,0.0,,,2,1,2,5.9,,1994,,,469187,881,7.7,394.4,,SD
46,9187,3,G,1,1994-10-01,0.837,1.063,ACUB,0.0,0.0,1448.0,0.0,0.0,0.0,,,2,1,2,5.9,,1994,,,469187,881,7.7,394.4,,SD
46,9187,3,G,1,1995-01-26,1.267,1.166,ACUB,0.0,0.0,1497.0,0.0,0.0,0.0,,,3,1,3,5.9,,1995,,,469187,745,7.6,584.3,,SD
46,9187,3,G,1,1995-01-26,1.272,1.16,ACUB,0.0,0.0,1497.0,0.0,0.0,0.0,,,3,1,3,5.9,,1995,,,469187,745,7.6,584.3,,SD
46,9187,3,G,1,1995-01-26,1.277,1.165,ACUB,0.0,0.0,1497.0,0.0,0.0,0.0,,,3,1,3,5.9,,1995,,,469187,745,7.6,584.3,,SD
46,9187,3,G,1,1995-01-26,1.248,1.167,ACUB,0.0,0.0,1497.0,0.0,0.0,0.0,,,3,1,3,5.9,,1995,,,469187,745,7.6,584.3,,SD
46,9187,3,G,1,1995-01-26,1.293,1.161,ACUB,0.0,0.0,1497.0,0.0,0.0,0.0,,,3,1,3,5.9,,1995,,,469187,745,7.6,584.3,,SD
46,9187,3,G,1,1995-04-25,0.826,1.075,ACUB,0.0,0.0,1497.0,0.0,0.0,0.0,,,3,1,3,5.9,,1995,,,469187,745,7.6,584.3,,SD
46,9187,3,G,1,1995-04-25,0.831,1.076,ACUB,0.0,0.0,1497.0,0.0,0.0,0.0,,,3,1,3,5.9,,1995,,,469187,745,7.6,584.3,,SD
46,9187,3,G,1,1995-04-25,0.824,1.115,ACUB,0.0,0.0,1497.0,0.0,0.0,0.0,,,3,1,3,5.9,,1995,,,469187,745,7.6,584.3,,SD
46,9187,3,G,1,1995-04-25,0.855,1.117,ACUB,0.0,0.0,1497.0,0.0,0.0,0.0,,,3,1,3,5.9,,1995,,,469187,745,7.6,584.3,,SD
46,9187,3,G,1,1995-04-25,0.822,1.058,ACUB,0.0,0.0,1497.0,0.0,0.0,0.0,,,3,1,3,5.9,,1995,,,469187,745,7.6,584.3,,SD
46,9187,3,G,1,1995-06-22,0.82,1.078,ACUB,0.0,0.0,897.0,0.0,0.0,0.0,,,2,1,2,5.9,,1995,,,469187,745,7.6,584.3,,SD
46,9187,3,G,1,1995-06-22,0.793,1.109,ACUB,0.0,0.0,897.0,0.0,0.0,0.0,,,2,1,2,5.9,,1995,,,469187,745,7.6,584.3,,SD
46,9187,3,G,1,1995-06-22,0.81,1.138,ACUB,0.0,0.0,897.0,0.0,0.0,0.0,,,2,1,2,5.9,,1995,,,469187,745,7.6,584.3,,SD
