STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_AC,MEPDG_CRACKING_PERCENT_AC,MEPDG_TRANS_CRACK_LENGTH_AC,MEPDG_LONG_CRACK_LENGTH_AC,PATCH_A,POTHOLES_A,BLEEDING,RAVELING,MAX_MEAN_DEPTH_WIRE_REF,LLH_DEPTH_WIRE_REF_MEAN,RLH_DEPTH_WIRE_REF_MEAN,BOUND_THICKNESS_CM,PLASTICITY_INDEX,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
90,6405,1,G,1,1989-10-22,1.227,1.062,ACATB,,,,,,,,,5,5,5,2.8,,1989,,,906405,2040,1.7,351.6,1969-10-01,SK
90,6405,1,G,1,1989-10-22,1.108,1.089,ACATB,,,,,,,,,5,5,5,2.8,,1989,,,906405,2040,1.7,351.6,1969-10-01,SK
90,6405,1,G,1,1989-10-22,1.099,1.09,ACATB,,,,,,,,,5,5,5,2.8,,1989,,,906405,2040,1.7,351.6,1969-10-01,SK
90,6405,1,G,1,1989-10-22,1.168,1.113,ACATB,,,,,,,,,5,5,5,2.8,,1989,,,906405,2040,1.7,351.6,1969-10-01,SK
90,6405,1,G,1,1989-10-22,1.088,1.096,ACATB,,,,,,,,,5,5,5,2.8,,1989,,,906405,2040,1.7,351.6,1969-10-01,SK
90,6405,1,G,1,1990-05-29,1.407,1.224,ACATB,1.0,0.0,2900.0,180.0,0.0,0.0,0.0,0.0,7,4,7,2.8,,1990,,,906405,1729,2.5,303.2,1969-10-01,SK
90,6405,1,G,1,1990-05-29,1.484,1.254,ACATB,1.0,0.0,2900.0,180.0,0.0,0.0,0.0,0.0,7,4,7,2.8,,1990,,,906405,1729,2.5,303.2,1969-10-01,SK
90,6405,1,G,1,1990-05-29,1.57,1.255,ACATB,1.0,0.0,2900.0,180.0,0.0,0.0,0.0,0.0,7,4,7,2.8,,1990,,,906405,1729,2.5,303.2,1969-10-01,SK
90,6405,1,G,1,1990-05-29,1.338,1.254,ACATB,1.0,0.0,2900.0,180.0,0.0,0.0,0.0,0.0,7,4,7,2.8,,1990,,,906405,1729,2.5,303.2,1969-10-01,SK
90,6405,1,G,1,1990-05-29,1.586,1.193,ACATB,1.0,0.0,2900.0,180.0,0.0,0.0,0.0,0.0,7,4,7,2.8,,1990,,,906405,1729,2.5,303.2,1969-10-01,SK
90,6405,1,G,1,1991-07-18,1.314,1.267,ACATB,1.0,0.0,2900.0,180.0,0.0,0.0,0.0,0.0,5,5,5,2.8,,1991,,,906405,1709,2.8,571.5,1969-10-01,SK
90,6405,1,G,1,1991-07-18,1.344,1.275,ACATB,1.0,0.0,2900.0,180.0,0.0,0.0,0.0,0.0,5,5,5,2.8,,1991,,,906405,1709,2.8,571.5,1969-10-01,SK
90,6405,1,G,1,1991-07-18,1.318,1.248,ACATB,1.0,0.0,2900.0,180.0,0.0,0.0,0.0,0.0,5,5,5,2.8,,1991,,,906405,1709,2.8,571.5,1969-10-01,SK
90,6405,1,G,1,1991-07-18,1.374,1.231,ACATB,1.0,0.0,2900.0,180.0,0.0,0.0,0.0,0.0,5,5,5,2.8,,1991,,,906405,1709,2.8,571.5,1969-10-01,SK
