STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_AC,MEPDG_CRACKING_PERCENT_AC,MEPDG_TRANS_CRACK_LENGTH_AC,MEPDG_LONG_CRACK_LENGTH_AC,PATCH_A,POTHOLES_A,BLEEDING,RAVELING,MAX_MEAN_DEPTH_WIRE_REF,LLH_DEPTH_WIRE_REF_MEAN,RLH_DEPTH_WIRE_REF_MEAN,BOUND_THICKNESS_CM,PLASTICITY_INDEX,PERCENT_FINER_02,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
47,1023,1,G,2,1990-05-11,0.764,0.822,ACATB,,,,,,,,,8,8,6,5.3,,,1990,,,471023,23.0,14.3,1451.7,1972-06-01,TN
47,1023,1,G,2,1990-05-11,0.77,0.827,ACATB,,,,,,,,,8,8,6,5.3,,,1990,,,471023,23.0,14.3,1451.7,1972-06-01,TN
47,1023,1,G,2,1990-05-11,0.743,0.811,ACATB,,,,,,,,,8,8,6,5.3,,,1990,,,471023,23.0,14.3,1451.7,1972-06-01,TN
47,1023,1,G,2,1990-05-11,0.79,0.756,ACATB,,,,,,,,,8,8,6,5.3,,,1990,,,471023,23.0,14.3,1451.7,1972-06-01,TN
47,1023,1,G,2,1990-05-11,0.723,0.812,ACATB,,,,,,,,,8,8,6,5.3,,,1990,,,471023,23.0,14.3,1451.7,1972-06-01,TN
47,1023,2,G,2,1991-06-13,0.821,0.895,ACATB,30.0,20.0,,191.0,0.0,0.0,0.0,0.0,10,10,6,5.3,,,1991,,,471023,50.0,14.3,1548.6,,TN
47,1023,2,G,2,1991-06-13,0.833,0.788,ACATB,30.0,20.0,,191.0,0.0,0.0,0.0,0.0,10,10,6,5.3,,,1991,,,471023,50.0,14.3,1548.6,,TN
47,1023,2,G,2,1991-06-13,0.832,0.9,ACATB,30.0,20.0,,191.0,0.0,0.0,0.0,0.0,10,10,6,5.3,,,1991,,,471023,50.0,14.3,1548.6,,TN
47,1023,2,G,2,1991-06-13,0.82,0.861,ACATB,30.0,20.0,,191.0,0.0,0.0,0.0,0.0,10,10,6,5.3,,,1991,,,471023,50.0,14.3,1548.6,,TN
47,1023,2,G,2,1991-06-13,0.861,0.8,ACATB,30.0,20.0,,191.0,0.0,0.0,0.0,0.0,10,10,6,5.3,,,1991,,,471023,50.0,14.3,1548.6,,TN
