STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_AC,MEPDG_CRACKING_PERCENT_AC,MEPDG_TRANS_CRACK_LENGTH_AC,MEPDG_LONG_CRACK_LENGTH_AC,PATCH_A,POTHOLES_A,BLEEDING,RAVELING,MAX_MEAN_DEPTH_WIRE_REF,LLH_DEPTH_WIRE_REF_MEAN,RLH_DEPTH_WIRE_REF_MEAN,BOUND_THICKNESS_CM,PLASTICITY_INDEX,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
48,0001,1,G,1,1990-03-06,0.688,0.64,ACUB,,,,,,,,,7,4,7,2.4,,1990,,,480001,12,21.1,753.0,1989-03-01,TX
48,0001,1,G,1,1990-03-06,0.684,0.653,ACUB,,,,,,,,,7,4,7,2.4,,1990,,,480001,12,21.1,753.0,1989-03-01,TX
48,0001,1,G,1,1990-03-06,0.71,0.681,ACUB,,,,,,,,,7,4,7,2.4,,1990,,,480001,12,21.1,753.0,1989-03-01,TX
48,0001,1,G,1,1990-03-06,0.679,0.655,ACUB,,,,,,,,,7,4,7,2.4,,1990,,,480001,12,21.1,753.0,1989-03-01,TX
48,0001,1,G,1,1990-03-06,0.691,0.656,ACUB,,,,,,,,,7,4,7,2.4,,1990,,,480001,12,21.1,753.0,1989-03-01,TX
48,0001,1,G,1,1992-03-17,0.686,0.724,ACUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,8,2.4,,1992,,,480001,0,20.1,1186.2,1989-03-01,TX
48,0001,1,G,1,1992-03-17,0.711,0.737,ACUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,8,2.4,,1992,,,480001,0,20.1,1186.2,1989-03-01,TX
48,0001,1,G,1,1992-03-17,0.673,0.724,ACUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,8,2.4,,1992,,,480001,0,20.1,1186.2,1989-03-01,TX
48,0001,1,G,1,1992-03-17,0.682,0.754,ACUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,8,2.4,,1992,,,480001,0,20.1,1186.2,1989-03-01,TX
48,0001,1,G,1,1992-03-17,0.695,0.717,ACUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,2,8,2.4,,1992,,,480001,0,20.1,1186.2,1989-03-01,TX
48,0001,1,G,1,1993-07-13,0.734,0.714,ACUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,5,2.4,,1993,,,480001,0,19.9,712.6,1989-03-01,TX
48,0001,1,G,1,1993-07-13,0.755,0.686,ACUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,5,2.4,,1993,,,480001,0,19.9,712.6,1989-03-01,TX
48,0001,1,G,1,1993-07-13,0.731,0.697,ACUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,5,2.4,,1993,,,480001,0,19.9,712.6,1989-03-01,TX
48,0001,1,G,1,1993-07-13,0.752,0.698,ACUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,5,2.4,,1993,,,480001,0,19.9,712.6,1989-03-01,TX
48,0001,1,G,1,1993-07-13,0.764,0.674,ACUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,5,2.4,,1993,,,480001,0,19.9,712.6,1989-03-01,TX
48,0001,1,G,1,1995-05-03,0.702,0.762,ACUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,8,2.4,,1995,,,480001,0,20.3,861.0,1989-03-01,TX
48,0001,1,G,1,1995-05-03,0.717,0.795,ACUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,8,2.4,,1995,,,480001,0,20.3,861.0,1989-03-01,TX
48,0001,1,G,1,1995-05-03,0.717,0.775,ACUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,8,2.4,,1995,,,480001,0,20.3,861.0,1989-03-01,TX
48,0001,1,G,1,1995-05-03,0.701,0.816,ACUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,8,2.4,,1995,,,480001,0,20.3,861.0,1989-03-01,TX
48,0001,1,G,1,1995-05-03,0.709,0.771,ACUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,8,2.4,,1995,,,480001,0,20.3,861.0,1989-03-01,TX
48,0001,2,G,1,1997-08-06,0.76,0.755,ACUB,3.0,0.0,42.0,728.0,0.0,0.0,0.0,0.0,5,3,5,2.4,,1997,,196.0,480001,9,19.4,1185.7,,TX
48,0001,2,G,1,1997-08-06,0.755,0.741,ACUB,3.0,0.0,42.0,728.0,0.0,0.0,0.0,0.0,5,3,5,2.4,,1997,,196.0,480001,9,19.4,1185.7,,TX
48,0001,2,G,1,1997-08-06,0.774,0.777,ACUB,3.0,0.0,42.0,728.0,0.0,0.0,0.0,0.0,5,3,5,2.4,,1997,,196.0,480001,9,19.4,1185.7,,TX
48,0001,2,G,1,1997-08-06,0.761,0.734,ACUB,3.0,0.0,42.0,728.0,0.0,0.0,0.0,0.0,5,3,5,2.4,,1997,,196.0,480001,9,19.4,1185.7,,TX
48,0001,2,G,1,1997-08-06,0.75,0.747,ACUB,3.0,0.0,42.0,728.0,0.0,0.0,0.0,0.0,5,3,5,2.4,,1997,,196.0,480001,9,19.4,1185.7,,TX
48,0001,2,G,1,1998-02-23,0.748,0.788,ACUB,3.0,0.0,42.0,728.0,0.0,0.0,0.0,91.5,4,3,4,2.4,,1998,,124.0,480001,3,21.3,998.1,,TX
48,0001,2,G,1,1998-02-23,0.763,0.731,ACUB,3.0,0.0,42.0,728.0,0.0,0.0,0.0,91.5,4,3,4,2.4,,1998,,124.0,480001,3,21.3,998.1,,TX
48,0001,2,G,1,1998-02-23,0.762,0.758,ACUB,3.0,0.0,42.0,728.0,0.0,0.0,0.0,91.5,4,3,4,2.4,,1998,,124.0,480001,3,21.3,998.1,,TX
48,0001,2,G,1,1998-02-23,0.761,0.788,ACUB,3.0,0.0,42.0,728.0,0.0,0.0,0.0,91.5,4,3,4,2.4,,1998,,124.0,480001,3,21.3,998.1,,TX
48,0001,2,G,1,1998-02-23,0.775,0.758,ACUB,3.0,0.0,42.0,728.0,0.0,0.0,0.0,91.5,4,3,4,2.4,,1998,,124.0,480001,3,21.3,998.1,,TX
48,0001,2,G,1,1999-08-26,0.764,0.835,ACUB,3.0,0.0,42.0,402.0,0.0,0.0,0.0,0.0,5,3,5,2.4,,1999,390.0,140.0,480001,0,21.4,611.7,,TX
48,0001,2,G,1,1999-08-26,0.764,0.835,ACUB,3.0,0.0,42.0,402.0,0.0,0.0,0.0,0.0,5,3,5,2.4,,1999,390.0,140.0,480001,0,21.4,611.7,,TX
48,0001,2,G,1,1999-08-26,0.764,0.835,ACUB,3.0,0.0,42.0,402.0,0.0,0.0,0.0,0.0,5,3,5,2.4,,1999,390.0,140.0,480001,0,21.4,611.7,,TX
48,0001,2,G,1,1999-08-26,0.759,0.824,ACUB,3.0,0.0,42.0,402.0,0.0,0.0,0.0,0.0,5,3,5,2.4,,1999,390.0,140.0,480001,0,21.4,611.7,,TX
48,0001,2,G,1,1999-08-26,0.759,0.824,ACUB,3.0,0.0,42.0,402.0,0.0,0.0,0.0,0.0,5,3,5,2.4,,1999,390.0,140.0,480001,0,21.4,611.7,,TX
