STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_AC,MEPDG_CRACKING_PERCENT_AC,MEPDG_TRANS_CRACK_LENGTH_AC,MEPDG_LONG_CRACK_LENGTH_AC,PATCH_A,POTHOLES_A,BLEEDING,RAVELING,MAX_MEAN_DEPTH_WIRE_REF,LLH_DEPTH_WIRE_REF_MEAN,RLH_DEPTH_WIRE_REF_MEAN,BOUND_THICKNESS_CM,PLASTICITY_INDEX,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
49,1001,1,G,1,1989-08-04,0.924,0.983,ACUB,,,,,,,,,12,12,12,5.5,,1989,,,491001,226,12.1,85.8,1980-11-01,UT
49,1001,1,G,1,1989-08-04,0.928,1.046,ACUB,,,,,,,,,12,12,12,5.5,,1989,,,491001,226,12.1,85.8,1980-11-01,UT
49,1001,1,G,1,1989-08-04,0.911,1.057,ACUB,,,,,,,,,12,12,12,5.5,,1989,,,491001,226,12.1,85.8,1980-11-01,UT
49,1001,1,G,1,1989-08-04,0.967,1.115,ACUB,,,,,,,,,12,12,12,5.5,,1989,,,491001,226,12.1,85.8,1980-11-01,UT
49,1001,1,G,1,1989-08-04,0.923,1.056,ACUB,,,,,,,,,12,12,12,5.5,,1989,,,491001,226,12.1,85.8,1980-11-01,UT
49,1001,1,G,1,1990-04-11,0.918,0.939,ACUB,,,,,,,,,12,12,12,5.5,,1990,,,491001,339,11.9,170.6,1980-11-01,UT
49,1001,1,G,1,1990-04-11,0.946,0.937,ACUB,,,,,,,,,12,12,12,5.5,,1990,,,491001,339,11.9,170.6,1980-11-01,UT
49,1001,1,G,1,1990-04-11,0.935,0.96,ACUB,,,,,,,,,12,12,12,5.5,,1990,,,491001,339,11.9,170.6,1980-11-01,UT
49,1001,1,G,1,1990-04-11,0.892,0.934,ACUB,,,,,,,,,12,12,12,5.5,,1990,,,491001,339,11.9,170.6,1980-11-01,UT
49,1001,1,G,1,1990-04-11,0.962,0.959,ACUB,,,,,,,,,12,12,12,5.5,,1990,,,491001,339,11.9,170.6,1980-11-01,UT
