STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_AC,MEPDG_CRACKING_PERCENT_AC,MEPDG_TRANS_CRACK_LENGTH_AC,MEPDG_LONG_CRACK_LENGTH_AC,PATCH_A,POTHOLES_A,BLEEDING,RAVELING,MAX_MEAN_DEPTH_WIRE_REF,LLH_DEPTH_WIRE_REF_MEAN,RLH_DEPTH_WIRE_REF_MEAN,BOUND_THICKNESS_CM,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
54,1640,1,G,2,1990-09-17,1.75,1.863,ACATB,,,,,,,,,7,5,7,15.4,1990,,,541640,28,14.1,1209.2,1983-06-01,WV
54,1640,1,G,2,1989-11-15,1.39,1.585,ACATB,,,,,,,,,6,6,6,15.4,1989,,,541640,195,12.3,1471.4,1983-06-01,WV
54,1640,1,G,2,1989-11-15,1.404,1.563,ACATB,,,,,,,,,6,6,6,15.4,1989,,,541640,195,12.3,1471.4,1983-06-01,WV
54,1640,1,G,2,1989-11-15,1.37,1.356,ACATB,,,,,,,,,6,6,6,15.4,1989,,,541640,195,12.3,1471.4,1983-06-01,WV
54,1640,1,G,2,1989-11-15,1.373,1.494,ACATB,,,,,,,,,6,6,6,15.4,1989,,,541640,195,12.3,1471.4,1983-06-01,WV
54,1640,1,G,2,1989-11-15,1.395,1.616,ACATB,,,,,,,,,6,6,6,15.4,1989,,,541640,195,12.3,1471.4,1983-06-01,WV
54,1640,1,G,2,1990-09-17,1.662,1.803,ACATB,,,,,,,,,7,5,7,15.4,1990,,,541640,28,14.1,1209.2,1983-06-01,WV
54,1640,1,G,2,1990-09-17,1.675,1.857,ACATB,,,,,,,,,7,5,7,15.4,1990,,,541640,28,14.1,1209.2,1983-06-01,WV
54,1640,1,G,2,1990-09-17,1.615,1.844,ACATB,,,,,,,,,7,5,7,15.4,1990,,,541640,28,14.1,1209.2,1983-06-01,WV
54,1640,1,G,2,1990-09-17,1.703,1.798,ACATB,,,,,,,,,7,5,7,15.4,1990,,,541640,28,14.1,1209.2,1983-06-01,WV
