STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_JPCC,MEPDG_CRACKING_PERCENT_JPCC,AVG_WHEELPATH_FAULT,TRANS_SPALLING_L,TRANS_CRACK_NO,PATCH_RIGID_A,HPMS16_CRACKING_PERCENT_CRCP,MEPDG_PUNCHOUTS_CRCP,PUNCHOUTS_NO,LONG_SPALLING_L,BOUND_THICKNESS_CM,PLASTICITY_INDEX,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
5,3011,1,G,3,1990-11-29,1.194,1.05,JPCTB,0.0,0.0,0.0,0.0,0,0.0,,,,,10.8,,1990,,,053011,29,17.1,1739.0,1983-05-01,AR
5,3011,1,G,3,1990-11-29,1.223,1.036,JPCTB,0.0,0.0,0.0,0.0,0,0.0,,,,,10.8,,1990,,,053011,29,17.1,1739.0,1983-05-01,AR
5,3011,1,G,3,1990-11-29,1.218,1.05,JPCTB,0.0,0.0,0.0,0.0,0,0.0,,,,,10.8,,1990,,,053011,29,17.1,1739.0,1983-05-01,AR
5,3011,1,G,3,1990-11-29,1.235,1.043,JPCTB,0.0,0.0,0.0,0.0,0,0.0,,,,,10.8,,1990,,,053011,29,17.1,1739.0,1983-05-01,AR
5,3011,1,G,3,1990-11-29,1.214,1.014,JPCTB,0.0,0.0,0.0,0.0,0,0.0,,,,,10.8,,1990,,,053011,29,17.1,1739.0,1983-05-01,AR
5,3011,1,G,3,1991-08-13,1.198,1.019,JPCTB,0.0,0.0,0.0,0.0,0,0.0,,,,,10.8,,1991,,,053011,19,17.0,1535.8,1983-05-01,AR
5,3011,1,G,3,1991-08-13,1.196,0.993,JPCTB,0.0,0.0,0.0,0.0,0,0.0,,,,,10.8,,1991,,,053011,19,17.0,1535.8,1983-05-01,AR
5,3011,1,G,3,1991-08-13,1.199,1.012,JPCTB,0.0,0.0,0.0,0.0,0,0.0,,,,,10.8,,1991,,,053011,19,17.0,1535.8,1983-05-01,AR
5,3011,1,G,3,1991-08-13,1.191,1.039,JPCTB,0.0,0.0,0.0,0.0,0,0.0,,,,,10.8,,1991,,,053011,19,17.0,1535.8,1983-05-01,AR
5,3011,1,G,3,1991-08-13,1.166,1.013,JPCTB,0.0,0.0,0.0,0.0,0,0.0,,,,,10.8,,1991,,,053011,19,17.0,1535.8,1983-05-01,AR
