STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_JPCC,MEPDG_CRACKING_PERCENT_JPCC,AVG_WHEELPATH_FAULT,TRANS_SPALLING_L,TRANS_CRACK_NO,PATCH_RIGID_A,HPMS16_CRACKING_PERCENT_CRCP,MEPDG_PUNCHOUTS_CRCP,PUNCHOUTS_NO,LONG_SPALLING_L,BOUND_THICKNESS_CM,PLASTICITY_INDEX,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,LOAD_TRANSFER_EFFICIENCY,STATE_ABBR
6,3005,1,G,3,1989-12-08,2.089,2.591,JPCTB,,,,,,,,,,,8.2,,1989,,,063005,102,9.4,774.1,1973-11-01,32.53541666666667,CA
6,3005,1,G,3,1989-12-08,2.092,2.592,JPCTB,,,,,,,,,,,8.2,,1989,,,063005,102,9.4,774.1,1973-11-01,32.53541666666667,CA
6,3005,1,G,3,1989-12-08,2.09,2.641,JPCTB,,,,,,,,,,,8.2,,1989,,,063005,102,9.4,774.1,1973-11-01,32.53541666666667,CA
6,3005,1,G,3,1989-12-08,2.148,2.543,JPCTB,,,,,,,,,,,8.2,,1989,,,063005,102,9.4,774.1,1973-11-01,32.53541666666667,CA
6,3005,1,G,3,1989-12-08,2.105,2.634,JPCTB,,,,,,,,,,,8.2,,1989,,,063005,102,9.4,774.1,1973-11-01,32.53541666666667,CA
6,3005,1,G,3,1991-05-11,2.258,2.89,JPCTB,61.0,100.0,,1.8,43.0,23.7,,,,,8.2,,1991,,,063005,11,10.3,694.1,1973-11-01,,CA
6,3005,1,G,3,1991-05-11,2.259,2.993,JPCTB,61.0,100.0,,1.8,43.0,23.7,,,,,8.2,,1991,,,063005,11,10.3,694.1,1973-11-01,,CA
6,3005,1,G,3,1991-05-11,2.194,3.048,JPCTB,61.0,100.0,,1.8,43.0,23.7,,,,,8.2,,1991,,,063005,11,10.3,694.1,1973-11-01,,CA
6,3005,1,G,3,1991-05-11,2.16,3.052,JPCTB,61.0,100.0,,1.8,43.0,23.7,,,,,8.2,,1991,,,063005,11,10.3,694.1,1973-11-01,,CA
6,3005,1,G,3,1992-04-14,2.269,3.321,JPCTB,61.0,100.0,,1.8,43.0,23.7,,,,,8.2,,1992,,,063005,34,10.8,1182.3,1973-11-01,33.583333333333336,CA
6,3005,1,G,3,1992-04-14,2.303,3.203,JPCTB,61.0,100.0,,1.8,43.0,23.7,,,,,8.2,,1992,,,063005,34,10.8,1182.3,1973-11-01,33.583333333333336,CA
6,3005,1,G,3,1992-04-14,2.34,3.232,JPCTB,61.0,100.0,,1.8,43.0,23.7,,,,,8.2,,1992,,,063005,34,10.8,1182.3,1973-11-01,33.583333333333336,CA
6,3005,1,G,3,1992-04-14,2.332,3.31,JPCTB,61.0,100.0,,1.8,43.0,23.7,,,,,8.2,,1992,,,063005,34,10.8,1182.3,1973-11-01,33.583333333333336,CA
6,3005,1,G,3,1992-04-14,2.31,3.172,JPCTB,61.0,100.0,,1.8,43.0,23.7,,,,,8.2,,1992,,,063005,34,10.8,1182.3,1973-11-01,33.583333333333336,CA
6,3005,2,G,3,1993-04-06,2.403,3.659,JPCTB,,,,,,,,,,,8.2,,1993,,,063005,97,9.2,1141.8,,,CA
6,3005,2,G,3,1993-04-06,2.383,3.763,JPCTB,,,,,,,,,,,8.2,,1993,,,063005,97,9.2,1141.8,,,CA
6,3005,2,G,3,1993-04-06,2.391,3.774,JPCTB,,,,,,,,,,,8.2,,1993,,,063005,97,9.2,1141.8,,,CA
6,3005,2,G,3,1993-04-06,2.403,3.894,JPCTB,,,,,,,,,,,8.2,,1993,,,063005,97,9.2,1141.8,,,CA
6,3005,2,G,3,1993-04-06,2.335,3.665,JPCTB,,,,,,,,,,,8.2,,1993,,,063005,97,9.2,1141.8,,,CA
6,3005,2,G,3,1994-06-09,2.498,4.179,JPCTB,,,,,,,,,,,8.2,,1994,,2624.0,063005,47,9.8,640.6,,,CA
6,3005,2,G,3,1994-06-09,2.528,4.008,JPCTB,,,,,,,,,,,8.2,,1994,,2624.0,063005,47,9.8,640.6,,,CA
6,3005,2,G,3,1994-06-09,2.542,4.227,JPCTB,,,,,,,,,,,8.2,,1994,,2624.0,063005,47,9.8,640.6,,,CA
6,3005,2,G,3,1994-06-09,2.566,4.078,JPCTB,,,,,,,,,,,8.2,,1994,,2624.0,063005,47,9.8,640.6,,,CA
6,3005,2,G,3,1994-06-09,2.471,4.026,JPCTB,,,,,,,,,,,8.2,,1994,,2624.0,063005,47,9.8,640.6,,,CA
6,3005,4,G,3,1996-06-11,4.123,4.037,JPCTB,43.0,99.0,4.0,4.0,32.0,42.6,,,,,8.2,,1996,,3138.0,063005,38,10.1,1537.9,,44.2037037037037,CA
