STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_JPCC,MEPDG_CRACKING_PERCENT_JPCC,AVG_WHEELPATH_FAULT,TRANS_SPALLING_L,TRANS_CRACK_NO,PATCH_RIGID_A,HPMS16_CRACKING_PERCENT_CRCP,MEPDG_PUNCHOUTS_CRCP,PUNCHOUTS_NO,LONG_SPALLING_L,BOUND_THICKNESS_CM,PLASTICITY_INDEX,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,LOAD_TRANSFER_EFFICIENCY,STATE_ABBR
16,3017,1,G,3,1989-09-07,1.587,1.534,JPCTB,,,,,,,,,,,10.5,,1989,,,163017,429.0,9.5,232.5,1986-09-01,88.89035087719299,ID
16,3017,1,G,3,1989-09-07,1.611,1.543,JPCTB,,,,,,,,,,,10.5,,1989,,,163017,429.0,9.5,232.5,1986-09-01,88.89035087719299,ID
16,3017,1,G,3,1989-09-07,1.621,1.56,JPCTB,,,,,,,,,,,10.5,,1989,,,163017,429.0,9.5,232.5,1986-09-01,88.89035087719299,ID
16,3017,1,G,3,1989-09-07,1.568,1.625,JPCTB,,,,,,,,,,,10.5,,1989,,,163017,429.0,9.5,232.5,1986-09-01,88.89035087719299,ID
16,3017,1,G,3,1989-09-07,1.583,1.594,JPCTB,,,,,,,,,,,10.5,,1989,,,163017,429.0,9.5,232.5,1986-09-01,88.89035087719299,ID
16,3017,1,G,3,1990-10-02,1.578,1.497,JPCTB,,,,,,,,,,,10.5,,1990,,,163017,384.0,10.1,231.8,1986-09-01,,ID
16,3017,1,G,3,1990-10-02,1.526,1.459,JPCTB,,,,,,,,,,,10.5,,1990,,,163017,384.0,10.1,231.8,1986-09-01,,ID
16,3017,1,G,3,1990-10-02,1.56,1.477,JPCTB,,,,,,,,,,,10.5,,1990,,,163017,384.0,10.1,231.8,1986-09-01,,ID
16,3017,1,G,3,1990-10-02,1.433,1.475,JPCTB,,,,,,,,,,,10.5,,1990,,,163017,384.0,10.1,231.8,1986-09-01,,ID
16,3017,1,G,3,1990-10-02,1.416,1.489,JPCTB,,,,,,,,,,,10.5,,1990,,,163017,384.0,10.1,231.8,1986-09-01,,ID
16,3017,1,G,3,1991-08-14,1.652,1.546,JPCTB,0.0,0.0,0.0,0.0,0.0,0.0,,,,,10.5,,1991,,644.0,163017,301.0,9.7,305.0,1986-09-01,82.36041666666667,ID
16,3017,1,G,3,1991-08-14,1.62,1.573,JPCTB,0.0,0.0,0.0,0.0,0.0,0.0,,,,,10.5,,1991,,644.0,163017,301.0,9.7,305.0,1986-09-01,82.36041666666667,ID
16,3017,1,G,3,1991-08-14,1.627,1.564,JPCTB,0.0,0.0,0.0,0.0,0.0,0.0,,,,,10.5,,1991,,644.0,163017,301.0,9.7,305.0,1986-09-01,82.36041666666667,ID
16,3017,1,G,3,1991-08-14,1.628,1.543,JPCTB,0.0,0.0,0.0,0.0,0.0,0.0,,,,,10.5,,1991,,644.0,163017,301.0,9.7,305.0,1986-09-01,82.36041666666667,ID
16,3017,1,G,3,1991-08-14,1.619,1.61,JPCTB,0.0,0.0,0.0,0.0,0.0,0.0,,,,,10.5,,1991,,644.0,163017,301.0,9.7,305.0,1986-09-01,82.36041666666667,ID
16,3017,1,G,3,1992-10-24,1.65,1.563,JPCTB,0.0,0.0,0.0,0.0,0.0,0.0,,,,,10.5,,1992,,,163017,293.0,10.6,197.7,1986-09-01,82.36041666666667,ID
16,3017,1,G,3,1992-10-24,1.669,1.586,JPCTB,0.0,0.0,0.0,0.0,0.0,0.0,,,,,10.5,,1992,,,163017,293.0,10.6,197.7,1986-09-01,82.36041666666667,ID
16,3017,1,G,3,1992-10-24,1.707,1.559,JPCTB,0.0,0.0,0.0,0.0,0.0,0.0,,,,,10.5,,1992,,,163017,293.0,10.6,197.7,1986-09-01,82.36041666666667,ID
16,3017,1,G,3,1992-10-24,1.64,1.534,JPCTB,0.0,0.0,0.0,0.0,0.0,0.0,,,,,10.5,,1992,,,163017,293.0,10.6,197.7,1986-09-01,82.36041666666667,ID
16,3017,1,G,3,1992-10-24,1.632,1.548,JPCTB,0.0,0.0,0.0,0.0,0.0,0.0,,,,,10.5,,1992,,,163017,293.0,10.6,197.7,1986-09-01,82.36041666666667,ID
16,3017,1,G,3,1993-12-05,1.636,1.492,JPCTB,,,,,,,,,,,10.5,,1993,,658.0,163017,557.0,7.7,424.0,1986-09-01,,ID
16,3017,1,G,3,1993-12-05,1.626,1.545,JPCTB,,,,,,,,,,,10.5,,1993,,658.0,163017,557.0,7.7,424.0,1986-09-01,,ID
16,3017,1,G,3,1993-12-05,1.62,1.468,JPCTB,,,,,,,,,,,10.5,,1993,,658.0,163017,557.0,7.7,424.0,1986-09-01,,ID
16,3017,1,G,3,1993-12-05,1.632,1.578,JPCTB,,,,,,,,,,,10.5,,1993,,658.0,163017,557.0,7.7,424.0,1986-09-01,,ID
16,3017,1,G,3,1993-12-05,1.581,1.526,JPCTB,,,,,,,,,,,10.5,,1993,,658.0,163017,557.0,7.7,424.0,1986-09-01,,ID
16,3017,1,G,3,1994-09-11,1.686,1.63,JPCTB,,,,,,,,,,,10.5,,1994,,530.0,163017,239.0,10.5,334.2,1986-09-01,,ID
16,3017,1,G,3,1994-09-11,1.714,1.666,JPCTB,,,,,,,,,,,10.5,,1994,,530.0,163017,239.0,10.5,334.2,1986-09-01,,ID
16,3017,1,G,3,1994-09-11,1.735,1.629,JPCTB,,,,,,,,,,,10.5,,1994,,530.0,163017,239.0,10.5,334.2,1986-09-01,,ID
16,3017,1,G,3,1994-09-11,1.697,1.625,JPCTB,,,,,,,,,,,10.5,,1994,,530.0,163017,239.0,10.5,334.2,1986-09-01,,ID
16,3017,1,G,3,1994-09-11,1.677,1.62,JPCTB,,,,,,,,,,,10.5,,1994,,530.0,163017,239.0,10.5,334.2,1986-09-01,,ID
