STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_JPCC,MEPDG_CRACKING_PERCENT_JPCC,AVG_WHEELPATH_FAULT,TRANS_SPALLING_L,TRANS_CRACK_NO,PATCH_RIGID_A,HPMS16_CRACKING_PERCENT_CRCP,MEPDG_PUNCHOUTS_CRCP,PUNCHOUTS_NO,LONG_SPALLING_L,BOUND_THICKNESS_CM,PLASTICITY_INDEX,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,LOAD_TRANSFER_EFFICIENCY,STATE_ABBR
17,4074,1,G,4,1990-06-12,1.732,1.635,JRCP,,,,,,,,,,,10.0,,1990,,,174074,400,9.3,1078.0,1986-10-01,91.07916666666667,IL
17,4074,1,G,4,1990-06-12,1.86,1.628,JRCP,,,,,,,,,,,10.0,,1990,,,174074,400,9.3,1078.0,1986-10-01,91.07916666666667,IL
17,4074,1,G,4,1990-06-12,1.769,1.652,JRCP,,,,,,,,,,,10.0,,1990,,,174074,400,9.3,1078.0,1986-10-01,91.07916666666667,IL
17,4074,1,G,4,1990-06-12,1.702,1.624,JRCP,,,,,,,,,,,10.0,,1990,,,174074,400,9.3,1078.0,1986-10-01,91.07916666666667,IL
17,4074,1,G,4,1990-06-12,1.86,1.623,JRCP,,,,,,,,,,,10.0,,1990,,,174074,400,9.3,1078.0,1986-10-01,91.07916666666667,IL
17,4074,1,G,4,1991-06-23,1.734,1.681,JRCP,,,,,,,,,,,10.0,,1991,,,174074,650,9.0,839.4,1986-10-01,90.15416666666667,IL
17,4074,1,G,4,1991-06-23,1.72,1.642,JRCP,,,,,,,,,,,10.0,,1991,,,174074,650,9.0,839.4,1986-10-01,90.15416666666667,IL
17,4074,1,G,4,1991-06-23,1.741,1.725,JRCP,,,,,,,,,,,10.0,,1991,,,174074,650,9.0,839.4,1986-10-01,90.15416666666667,IL
17,4074,1,G,4,1991-06-23,1.757,1.701,JRCP,,,,,,,,,,,10.0,,1991,,,174074,650,9.0,839.4,1986-10-01,90.15416666666667,IL
17,4074,1,G,4,1991-06-23,1.767,1.708,JRCP,,,,,,,,,,,10.0,,1991,,,174074,650,9.0,839.4,1986-10-01,90.15416666666667,IL
