STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_JPCC,MEPDG_CRACKING_PERCENT_JPCC,AVG_WHEELPATH_FAULT,TRANS_SPALLING_L,TRANS_CRACK_NO,PATCH_RIGID_A,HPMS16_CRACKING_PERCENT_CRCP,MEPDG_PUNCHOUTS_CRCP,PUNCHOUTS_NO,LONG_SPALLING_L,BOUND_THICKNESS_CM,PLASTICITY_INDEX,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
21,3016,1,G,3,1989-12-04,1.44,1.609,JPCTB,,,,,,,,,,,11.8,5.0,1989,,,213016,200,13.4,1368.3,1985-11-01,KY
21,3016,1,G,3,1989-12-04,1.454,1.579,JPCTB,,,,,,,,,,,11.8,5.0,1989,,,213016,200,13.4,1368.3,1985-11-01,KY
21,3016,1,G,3,1989-12-04,1.468,1.611,JPCTB,,,,,,,,,,,11.8,5.0,1989,,,213016,200,13.4,1368.3,1985-11-01,KY
21,3016,1,G,3,1989-12-04,1.434,1.647,JPCTB,,,,,,,,,,,11.8,5.0,1989,,,213016,200,13.4,1368.3,1985-11-01,KY
21,3016,1,G,3,1989-12-04,1.433,1.646,JPCTB,,,,,,,,,,,11.8,5.0,1989,,,213016,200,13.4,1368.3,1985-11-01,KY
21,3016,1,G,3,1991-03-26,1.309,1.441,JPCTB,,,,,,,,,,,11.8,5.0,1991,2080.0,,213016,63,15.3,1043.2,1985-11-01,KY
21,3016,1,G,3,1991-03-26,1.309,1.441,JPCTB,,,,,,,,,,,11.8,5.0,1991,2080.0,,213016,63,15.3,1043.2,1985-11-01,KY
21,3016,1,G,3,1991-03-26,1.298,1.45,JPCTB,,,,,,,,,,,11.8,5.0,1991,2080.0,,213016,63,15.3,1043.2,1985-11-01,KY
21,3016,1,G,3,1991-03-26,1.298,1.45,JPCTB,,,,,,,,,,,11.8,5.0,1991,2080.0,,213016,63,15.3,1043.2,1985-11-01,KY
21,3016,1,G,3,1991-03-26,1.313,1.445,JPCTB,,,,,,,,,,,11.8,5.0,1991,2080.0,,213016,63,15.3,1043.2,1985-11-01,KY
21,3016,1,G,3,1991-03-26,1.313,1.445,JPCTB,,,,,,,,,,,11.8,5.0,1991,2080.0,,213016,63,15.3,1043.2,1985-11-01,KY
21,3016,1,G,3,1991-03-26,1.323,1.421,JPCTB,,,,,,,,,,,11.8,5.0,1991,2080.0,,213016,63,15.3,1043.2,1985-11-01,KY
