STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_JPCC,MEPDG_CRACKING_PERCENT_JPCC,AVG_WHEELPATH_FAULT,TRANS_SPALLING_L,TRANS_CRACK_NO,PATCH_RIGID_A,HPMS16_CRACKING_PERCENT_CRCP,MEPDG_PUNCHOUTS_CRCP,PUNCHOUTS_NO,LONG_SPALLING_L,BOUND_THICKNESS_CM,PLASTICITY_INDEX,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
83,3802,1,G,3,1989-10-18,1.643,2.02,JPCTB,,,,,,,,,,,9.8,51.0,1989,,,833802,2370,1.3,468.6,1985-09-01,MB
83,3802,1,G,3,1989-10-18,1.649,2.046,JPCTB,,,,,,,,,,,9.8,51.0,1989,,,833802,2370,1.3,468.6,1985-09-01,MB
83,3802,1,G,3,1989-10-18,1.638,2.029,JPCTB,,,,,,,,,,,9.8,51.0,1989,,,833802,2370,1.3,468.6,1985-09-01,MB
83,3802,1,G,3,1989-10-18,1.633,2.019,JPCTB,,,,,,,,,,,9.8,51.0,1989,,,833802,2370,1.3,468.6,1985-09-01,MB
83,3802,1,G,3,1989-10-18,1.639,2.008,JPCTB,,,,,,,,,,,9.8,51.0,1989,,,833802,2370,1.3,468.6,1985-09-01,MB
83,3802,1,G,3,1990-05-25,1.57,1.926,JPCTB,,,,,,,,,,,9.8,51.0,1990,,,833802,1705,2.9,465.9,1985-09-01,MB
83,3802,1,G,3,1990-05-25,1.532,1.871,JPCTB,,,,,,,,,,,9.8,51.0,1990,,,833802,1705,2.9,465.9,1985-09-01,MB
83,3802,1,G,3,1990-05-25,1.537,1.942,JPCTB,,,,,,,,,,,9.8,51.0,1990,,,833802,1705,2.9,465.9,1985-09-01,MB
83,3802,1,G,3,1990-05-25,1.556,1.913,JPCTB,,,,,,,,,,,9.8,51.0,1990,,,833802,1705,2.9,465.9,1985-09-01,MB
83,3802,1,G,3,1990-05-25,1.515,1.857,JPCTB,,,,,,,,,,,9.8,51.0,1990,,,833802,1705,2.9,465.9,1985-09-01,MB
83,3802,1,G,3,1991-07-14,1.738,2.155,JPCTB,,,,,,,,,,,9.8,51.0,1991,,,833802,1847,3.0,666.5,1985-09-01,MB
83,3802,1,G,3,1991-07-14,1.747,2.148,JPCTB,,,,,,,,,,,9.8,51.0,1991,,,833802,1847,3.0,666.5,1985-09-01,MB
83,3802,1,G,3,1991-07-14,1.74,2.128,JPCTB,,,,,,,,,,,9.8,51.0,1991,,,833802,1847,3.0,666.5,1985-09-01,MB
83,3802,1,G,3,1991-07-14,1.716,2.143,JPCTB,,,,,,,,,,,9.8,51.0,1991,,,833802,1847,3.0,666.5,1985-09-01,MB
83,3802,1,G,3,1991-07-14,1.725,2.126,JPCTB,,,,,,,,,,,9.8,51.0,1991,,,833802,1847,3.0,666.5,1985-09-01,MB
83,3802,1,G,3,1992-08-26,2.068,2.444,JPCTB,0,0,,22.4,0,0.0,,,,,9.8,51.0,1992,,368.0,833802,1582,2.4,530.5,1985-09-01,MB
83,3802,1,G,3,1992-08-26,2.079,2.416,JPCTB,0,0,,22.4,0,0.0,,,,,9.8,51.0,1992,,368.0,833802,1582,2.4,530.5,1985-09-01,MB
83,3802,1,G,3,1992-08-26,2.065,2.379,JPCTB,0,0,,22.4,0,0.0,,,,,9.8,51.0,1992,,368.0,833802,1582,2.4,530.5,1985-09-01,MB
83,3802,1,G,3,1992-08-26,2.075,2.402,JPCTB,0,0,,22.4,0,0.0,,,,,9.8,51.0,1992,,368.0,833802,1582,2.4,530.5,1985-09-01,MB
83,3802,1,G,3,1992-08-26,2.127,2.415,JPCTB,0,0,,22.4,0,0.0,,,,,9.8,51.0,1992,,368.0,833802,1582,2.4,530.5,1985-09-01,MB
83,3802,1,G,3,1993-11-17,2.528,3.028,JPCTB,0,0,1.4,0.0,0,0.0,,,,,9.8,51.0,1993,,380.0,833802,1806,1.8,663.0,1985-09-01,MB
83,3802,1,G,3,1993-11-17,2.493,3.048,JPCTB,0,0,1.4,0.0,0,0.0,,,,,9.8,51.0,1993,,380.0,833802,1806,1.8,663.0,1985-09-01,MB
83,3802,1,G,3,1993-11-17,2.498,3.021,JPCTB,0,0,1.4,0.0,0,0.0,,,,,9.8,51.0,1993,,380.0,833802,1806,1.8,663.0,1985-09-01,MB
83,3802,1,G,3,1993-11-17,2.516,3.033,JPCTB,0,0,1.4,0.0,0,0.0,,,,,9.8,51.0,1993,,380.0,833802,1806,1.8,663.0,1985-09-01,MB
