STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_JPCC,MEPDG_CRACKING_PERCENT_JPCC,AVG_WHEELPATH_FAULT,TRANS_SPALLING_L,TRANS_CRACK_NO,PATCH_RIGID_A,HPMS16_CRACKING_PERCENT_CRCP,MEPDG_PUNCHOUTS_CRCP,PUNCHOUTS_NO,LONG_SPALLING_L,BOUND_THICKNESS_CM,PLASTICITY_INDEX,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,LOAD_TRANSFER_EFFICIENCY,STATE_ABBR
24,5807,1,G,5,1989-12-05,2.563,2.756,CRCP,,,,,,,,,,,9.0,,1989,,,245807,176,12.8,1323.6,1988-09-01,92.11274509803921,MD
24,5807,1,G,5,1989-12-05,2.509,2.697,CRCP,,,,,,,,,,,9.0,,1989,,,245807,176,12.8,1323.6,1988-09-01,92.11274509803921,MD
24,5807,1,G,5,1989-12-05,2.529,2.827,CRCP,,,,,,,,,,,9.0,,1989,,,245807,176,12.8,1323.6,1988-09-01,92.11274509803921,MD
24,5807,1,G,5,1989-12-05,2.552,2.79,CRCP,,,,,,,,,,,9.0,,1989,,,245807,176,12.8,1323.6,1988-09-01,92.11274509803921,MD
24,5807,1,G,5,1989-12-05,2.555,2.714,CRCP,,,,,,,,,,,9.0,,1989,,,245807,176,12.8,1323.6,1988-09-01,92.11274509803921,MD
24,5807,1,G,5,1990-10-11,2.77,2.798,CRCP,,,,,,,,,,,9.0,,1990,,,245807,21,14.6,1082.9,1988-09-01,92.11274509803921,MD
24,5807,1,G,5,1990-10-11,2.747,2.763,CRCP,,,,,,,,,,,9.0,,1990,,,245807,21,14.6,1082.9,1988-09-01,92.11274509803921,MD
24,5807,1,G,5,1990-10-11,2.736,2.788,CRCP,,,,,,,,,,,9.0,,1990,,,245807,21,14.6,1082.9,1988-09-01,92.11274509803921,MD
24,5807,1,G,5,1990-10-11,2.726,2.809,CRCP,,,,,,,,,,,9.0,,1990,,,245807,21,14.6,1082.9,1988-09-01,92.11274509803921,MD
24,5807,1,G,5,1990-10-11,2.732,2.779,CRCP,,,,,,,,,,,9.0,,1990,,,245807,21,14.6,1082.9,1988-09-01,92.11274509803921,MD
24,5807,2,G,5,1991-04-04,1.216,1.239,CRCP,,,,,,,,,,,9.0,,1991,,,245807,43,14.6,780.1,,,MD
24,5807,2,G,5,1991-04-04,1.222,1.272,CRCP,,,,,,,,,,,9.0,,1991,,,245807,43,14.6,780.1,,,MD
24,5807,2,G,5,1991-04-04,1.207,1.263,CRCP,,,,,,,,,,,9.0,,1991,,,245807,43,14.6,780.1,,,MD
