STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_JPCC,MEPDG_CRACKING_PERCENT_JPCC,AVG_WHEELPATH_FAULT,TRANS_SPALLING_L,TRANS_CRACK_NO,PATCH_RIGID_A,HPMS16_CRACKING_PERCENT_CRCP,MEPDG_PUNCHOUTS_CRCP,PUNCHOUTS_NO,LONG_SPALLING_L,BOUND_THICKNESS_CM,PLASTICITY_INDEX,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,LOAD_TRANSFER_EFFICIENCY,STATE_ABBR
26,3068,1,G,3,1989-12-14,2.152,2.316,JPCTB,,,,,,,,,,,9.1,,1989,,,263068,853,6.3,620.9,1974-10-01,73.47098214285714,MI
26,3068,1,G,3,1989-12-14,2.187,2.289,JPCTB,,,,,,,,,,,9.1,,1989,,,263068,853,6.3,620.9,1974-10-01,73.47098214285714,MI
26,3068,1,G,3,1989-12-14,2.148,2.315,JPCTB,,,,,,,,,,,9.1,,1989,,,263068,853,6.3,620.9,1974-10-01,73.47098214285714,MI
26,3068,1,G,3,1989-12-14,2.136,2.293,JPCTB,,,,,,,,,,,9.1,,1989,,,263068,853,6.3,620.9,1974-10-01,73.47098214285714,MI
26,3068,1,G,3,1989-12-14,2.18,2.263,JPCTB,,,,,,,,,,,9.1,,1989,,,263068,853,6.3,620.9,1974-10-01,73.47098214285714,MI
26,3068,1,G,3,1990-08-21,2.072,2.178,JPCTB,,,,,,,,,,,9.1,,1990,,,263068,386,8.2,934.4,1974-10-01,73.47098214285714,MI
26,3068,1,G,3,1990-08-21,2.067,2.202,JPCTB,,,,,,,,,,,9.1,,1990,,,263068,386,8.2,934.4,1974-10-01,73.47098214285714,MI
26,3068,1,G,3,1990-08-21,2.1,2.158,JPCTB,,,,,,,,,,,9.1,,1990,,,263068,386,8.2,934.4,1974-10-01,73.47098214285714,MI
26,3068,1,G,3,1990-08-21,2.098,2.08,JPCTB,,,,,,,,,,,9.1,,1990,,,263068,386,8.2,934.4,1974-10-01,73.47098214285714,MI
26,3068,1,G,3,1990-08-21,2.121,2.082,JPCTB,,,,,,,,,,,9.1,,1990,,,263068,386,8.2,934.4,1974-10-01,73.47098214285714,MI
26,3068,2,G,3,1991-07-09,1.918,2.127,JPCTB,,,,,,,,,,,9.1,,1991,,90.0,263068,560,8.3,1008.9,,,MI
26,3068,2,G,3,1991-07-09,1.963,2.139,JPCTB,,,,,,,,,,,9.1,,1991,,90.0,263068,560,8.3,1008.9,,,MI
26,3068,2,G,3,1991-07-09,1.913,2.073,JPCTB,,,,,,,,,,,9.1,,1991,,90.0,263068,560,8.3,1008.9,,,MI
26,3068,2,G,3,1991-07-09,1.975,2.091,JPCTB,,,,,,,,,,,9.1,,1991,,90.0,263068,560,8.3,1008.9,,,MI
26,3068,2,G,3,1991-07-09,1.934,2.162,JPCTB,,,,,,,,,,,9.1,,1991,,90.0,263068,560,8.3,1008.9,,,MI
26,3068,3,G,3,1992-09-25,1.953,2.417,JPCTB,,,,,,,,,,,9.1,,1992,220.0,137.0,263068,445,6.7,851.1,,64.70833333333333,MI
26,3068,3,G,3,1992-09-25,1.953,2.417,JPCTB,,,,,,,,,,,9.1,,1992,220.0,137.0,263068,445,6.7,851.1,,64.70833333333333,MI
26,3068,3,G,3,1992-09-25,1.957,2.419,JPCTB,,,,,,,,,,,9.1,,1992,220.0,137.0,263068,445,6.7,851.1,,64.70833333333333,MI
26,3068,3,G,3,1992-09-25,1.957,2.419,JPCTB,,,,,,,,,,,9.1,,1992,220.0,137.0,263068,445,6.7,851.1,,64.70833333333333,MI
26,3068,3,G,3,1992-09-25,1.925,2.389,JPCTB,,,,,,,,,,,9.1,,1992,220.0,137.0,263068,445,6.7,851.1,,64.70833333333333,MI
26,3068,3,G,3,1992-09-25,1.925,2.389,JPCTB,,,,,,,,,,,9.1,,1992,220.0,137.0,263068,445,6.7,851.1,,64.70833333333333,MI
26,3068,3,G,3,1992-09-25,1.987,2.303,JPCTB,,,,,,,,,,,9.1,,1992,220.0,137.0,263068,445,6.7,851.1,,64.70833333333333,MI
26,3068,3,G,3,1992-09-25,1.987,2.303,JPCTB,,,,,,,,,,,9.1,,1992,220.0,137.0,263068,445,6.7,851.1,,64.70833333333333,MI
26,3068,3,G,3,1992-09-25,1.945,2.366,JPCTB,,,,,,,,,,,9.1,,1992,220.0,137.0,263068,445,6.7,851.1,,64.70833333333333,MI
