STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_JPCC,MEPDG_CRACKING_PERCENT_JPCC,AVG_WHEELPATH_FAULT,TRANS_SPALLING_L,TRANS_CRACK_NO,PATCH_RIGID_A,HPMS16_CRACKING_PERCENT_CRCP,MEPDG_PUNCHOUTS_CRCP,PUNCHOUTS_NO,LONG_SPALLING_L,BOUND_THICKNESS_CM,PLASTICITY_INDEX,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,LOAD_TRANSFER_EFFICIENCY,STATE_ABBR
84,3803,2,G,3,1993-08-23,2.544,3.102,JPCUB,,,,,,,,,,,8.3,,1993,,,843803,1025,4.7,1173.2,,,NB
84,3803,2,G,3,1995-08-02,3.02,3.639,JPCUB,0.0,6.0,6.0,29.6,2.0,0.9,,,,,8.3,,1995,350.0,,843803,885,5.3,987.3,,51.0959595959596,NB
84,3803,2,G,3,1995-08-02,3.02,3.639,JPCUB,0.0,6.0,6.0,29.6,2.0,0.9,,,,,8.3,,1995,350.0,,843803,885,5.3,987.3,,51.0959595959596,NB
84,3803,2,G,3,1994-08-07,2.709,3.309,JPCUB,0.0,6.0,6.0,29.6,2.0,0.9,,,,,8.3,,1994,,,843803,999,5.4,1105.9,,51.0959595959596,NB
84,3803,2,G,3,1993-08-23,2.531,3.221,JPCUB,,,,,,,,,,,8.3,,1993,,,843803,1025,4.7,1173.2,,,NB
84,3803,2,G,3,1994-08-07,2.713,3.328,JPCUB,0.0,6.0,6.0,29.6,2.0,0.9,,,,,8.3,,1994,,,843803,999,5.4,1105.9,,51.0959595959596,NB
84,3803,2,G,3,1994-08-07,2.679,3.378,JPCUB,0.0,6.0,6.0,29.6,2.0,0.9,,,,,8.3,,1994,,,843803,999,5.4,1105.9,,51.0959595959596,NB
84,3803,2,G,3,1993-08-23,2.542,3.118,JPCUB,,,,,,,,,,,8.3,,1993,,,843803,1025,4.7,1173.2,,,NB
84,3803,2,G,3,1994-08-07,2.681,3.374,JPCUB,0.0,6.0,6.0,29.6,2.0,0.9,,,,,8.3,,1994,,,843803,999,5.4,1105.9,,51.0959595959596,NB
84,3803,2,G,3,1994-08-07,2.69,3.285,JPCUB,0.0,6.0,6.0,29.6,2.0,0.9,,,,,8.3,,1994,,,843803,999,5.4,1105.9,,51.0959595959596,NB
84,3803,2,G,3,1995-08-02,3.02,3.729,JPCUB,0.0,6.0,6.0,29.6,2.0,0.9,,,,,8.3,,1995,350.0,,843803,885,5.3,987.3,,51.0959595959596,NB
84,3803,2,G,3,1995-08-02,3.02,3.729,JPCUB,0.0,6.0,6.0,29.6,2.0,0.9,,,,,8.3,,1995,350.0,,843803,885,5.3,987.3,,51.0959595959596,NB
84,3803,2,G,3,1995-08-02,2.978,3.683,JPCUB,0.0,6.0,6.0,29.6,2.0,0.9,,,,,8.3,,1995,350.0,,843803,885,5.3,987.3,,51.0959595959596,NB
84,3803,2,G,3,1995-08-02,2.978,3.683,JPCUB,0.0,6.0,6.0,29.6,2.0,0.9,,,,,8.3,,1995,350.0,,843803,885,5.3,987.3,,51.0959595959596,NB
84,3803,2,G,3,1995-08-02,2.985,3.55,JPCUB,0.0,6.0,6.0,29.6,2.0,0.9,,,,,8.3,,1995,350.0,,843803,885,5.3,987.3,,51.0959595959596,NB
84,3803,2,G,3,1995-08-02,2.985,3.55,JPCUB,0.0,6.0,6.0,29.6,2.0,0.9,,,,,8.3,,1995,350.0,,843803,885,5.3,987.3,,51.0959595959596,NB
84,3803,2,G,3,1993-08-23,2.532,3.076,JPCUB,,,,,,,,,,,8.3,,1993,,,843803,1025,4.7,1173.2,,,NB
84,3803,2,G,3,1991-08-20,2.495,3.027,JPCUB,,,,,,,,,,,8.3,,1991,,,843803,857,5.6,1116.4,,,NB
84,3803,2,G,3,1995-08-02,3.056,3.663,JPCUB,0.0,6.0,6.0,29.6,2.0,0.9,,,,,8.3,,1995,350.0,,843803,885,5.3,987.3,,51.0959595959596,NB
84,3803,2,G,3,1995-08-02,3.056,3.663,JPCUB,0.0,6.0,6.0,29.6,2.0,0.9,,,,,8.3,,1995,350.0,,843803,885,5.3,987.3,,51.0959595959596,NB
84,3803,2,G,3,1990-07-24,2.175,2.543,JPCUB,,,,,,,,,,,8.3,,1990,,,843803,701,6.1,1371.1,,37.645833333333336,NB
84,3803,2,G,3,1990-07-24,2.181,2.646,JPCUB,,,,,,,,,,,8.3,,1990,,,843803,701,6.1,1371.1,,37.645833333333336,NB
84,3803,2,G,3,1990-07-24,2.201,2.602,JPCUB,,,,,,,,,,,8.3,,1990,,,843803,701,6.1,1371.1,,37.645833333333336,NB
84,3803,2,G,3,1992-09-23,2.549,3.089,JPCUB,,,,,,,,,,,8.3,,1992,,,843803,1001,4.6,1069.2,,,NB
84,3803,2,G,3,1990-07-24,2.168,2.602,JPCUB,,,,,,,,,,,8.3,,1990,,,843803,701,6.1,1371.1,,37.645833333333336,NB
84,3803,2,G,3,1993-08-23,2.54,3.153,JPCUB,,,,,,,,,,,8.3,,1993,,,843803,1025,4.7,1173.2,,,NB
84,3803,2,G,3,1991-08-20,2.561,3.106,JPCUB,,,,,,,,,,,8.3,,1991,,,843803,857,5.6,1116.4,,,NB
84,3803,2,G,3,1991-08-20,2.498,3.036,JPCUB,,,,,,,,,,,8.3,,1991,,,843803,857,5.6,1116.4,,,NB
84,3803,2,G,3,1991-08-20,2.497,3.067,JPCUB,,,,,,,,,,,8.3,,1991,,,843803,857,5.6,1116.4,,,NB
84,3803,2,G,3,1991-08-20,2.54,3.123,JPCUB,,,,,,,,,,,8.3,,1991,,,843803,857,5.6,1116.4,,,NB
84,3803,2,G,3,1992-09-23,2.595,3.127,JPCUB,,,,,,,,,,,8.3,,1992,,,843803,1001,4.6,1069.2,,,NB
84,3803,2,G,3,1992-09-23,2.598,2.988,JPCUB,,,,,,,,,,,8.3,,1992,,,843803,1001,4.6,1069.2,,,NB
84,3803,2,G,3,1992-09-23,2.588,3.095,JPCUB,,,,,,,,,,,8.3,,1992,,,843803,1001,4.6,1069.2,,,NB
84,3803,2,G,3,1992-09-23,2.546,3.069,JPCUB,,,,,,,,,,,8.3,,1992,,,843803,1001,4.6,1069.2,,,NB
84,3803,2,G,3,1990-07-24,2.147,2.606,JPCUB,,,,,,,,,,,8.3,,1990,,,843803,701,6.1,1371.1,,37.645833333333336,NB
