STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_JPCC,MEPDG_CRACKING_PERCENT_JPCC,AVG_WHEELPATH_FAULT,TRANS_SPALLING_L,TRANS_CRACK_NO,PATCH_RIGID_A,HPMS16_CRACKING_PERCENT_CRCP,MEPDG_PUNCHOUTS_CRCP,PUNCHOUTS_NO,LONG_SPALLING_L,BOUND_THICKNESS_CM,PLASTICITY_INDEX,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,LOAD_TRANSFER_EFFICIENCY,STATE_ABBR
35,3010,1,G,3,2016-04-19,1.749,1.74,JPCUB,8.0,8.0,0.0,11.9,3.0,0.0,,,,,7.9,,2016,960.0,,353010,9.0,17.5,343.4,1983-06-01,93.15625,NM
35,3010,1,G,3,2016-04-19,1.749,1.74,JPCUB,8.0,8.0,0.0,11.9,3.0,0.0,,,,,7.9,,2016,960.0,,353010,9.0,17.5,343.4,1983-06-01,93.15625,NM
35,3010,1,G,3,2016-04-19,1.748,1.752,JPCUB,8.0,8.0,0.0,11.9,3.0,0.0,,,,,7.9,,2016,960.0,,353010,9.0,17.5,343.4,1983-06-01,93.15625,NM
35,3010,1,G,3,2016-04-19,1.748,1.752,JPCUB,8.0,8.0,0.0,11.9,3.0,0.0,,,,,7.9,,2016,960.0,,353010,9.0,17.5,343.4,1983-06-01,93.15625,NM
35,3010,1,G,3,2016-04-19,1.765,1.759,JPCUB,8.0,8.0,0.0,11.9,3.0,0.0,,,,,7.9,,2016,960.0,,353010,9.0,17.5,343.4,1983-06-01,93.15625,NM
35,3010,1,G,3,2016-04-19,1.765,1.759,JPCUB,8.0,8.0,0.0,11.9,3.0,0.0,,,,,7.9,,2016,960.0,,353010,9.0,17.5,343.4,1983-06-01,93.15625,NM
35,3010,1,G,3,2016-04-19,1.762,1.761,JPCUB,8.0,8.0,0.0,11.9,3.0,0.0,,,,,7.9,,2016,960.0,,353010,9.0,17.5,343.4,1983-06-01,93.15625,NM
35,3010,1,G,3,2016-04-19,1.762,1.761,JPCUB,8.0,8.0,0.0,11.9,3.0,0.0,,,,,7.9,,2016,960.0,,353010,9.0,17.5,343.4,1983-06-01,93.15625,NM
35,3010,1,G,3,2016-04-19,1.787,1.816,JPCUB,8.0,8.0,0.0,11.9,3.0,0.0,,,,,7.9,,2016,960.0,,353010,9.0,17.5,343.4,1983-06-01,93.15625,NM
35,3010,1,G,3,2016-04-19,1.787,1.816,JPCUB,8.0,8.0,0.0,11.9,3.0,0.0,,,,,7.9,,2016,960.0,,353010,9.0,17.5,343.4,1983-06-01,93.15625,NM
