STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_JPCC,MEPDG_CRACKING_PERCENT_JPCC,AVG_WHEELPATH_FAULT,TRANS_SPALLING_L,TRANS_CRACK_NO,PATCH_RIGID_A,HPMS16_CRACKING_PERCENT_CRCP,MEPDG_PUNCHOUTS_CRCP,PUNCHOUTS_NO,LONG_SPALLING_L,BOUND_THICKNESS_CM,PLASTICITY_INDEX,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,LOAD_TRANSFER_EFFICIENCY,STATE_ABBR
36,4017,1,G,4,1990-06-09,1.946,1.893,JRCP,,,,,,,,,,,8.8,,1990,,,364017,250,8.9,1025.6,1973-06-01,77.94362745098039,NY
36,4017,1,G,4,1990-06-09,1.943,1.93,JRCP,,,,,,,,,,,8.8,,1990,,,364017,250,8.9,1025.6,1973-06-01,77.94362745098039,NY
36,4017,1,G,4,1990-06-09,1.972,1.914,JRCP,,,,,,,,,,,8.8,,1990,,,364017,250,8.9,1025.6,1973-06-01,77.94362745098039,NY
36,4017,1,G,4,1990-06-09,1.957,1.918,JRCP,,,,,,,,,,,8.8,,1990,,,364017,250,8.9,1025.6,1973-06-01,77.94362745098039,NY
36,4017,1,G,4,1990-06-09,1.973,1.932,JRCP,,,,,,,,,,,8.8,,1990,,,364017,250,8.9,1025.6,1973-06-01,77.94362745098039,NY
36,4017,1,G,4,1991-07-31,2.127,2.174,JRCP,,,,,,,,,,,8.8,,1991,,,364017,385,8.8,720.0,1973-06-01,,NY
36,4017,1,G,4,1991-07-31,2.108,2.157,JRCP,,,,,,,,,,,8.8,,1991,,,364017,385,8.8,720.0,1973-06-01,,NY
36,4017,1,G,4,1991-07-31,2.229,2.139,JRCP,,,,,,,,,,,8.8,,1991,,,364017,385,8.8,720.0,1973-06-01,,NY
36,4017,1,G,4,1991-07-31,2.159,2.147,JRCP,,,,,,,,,,,8.8,,1991,,,364017,385,8.8,720.0,1973-06-01,,NY
36,4017,1,G,4,1991-07-31,2.089,2.15,JRCP,,,,,,,,,,,8.8,,1991,,,364017,385,8.8,720.0,1973-06-01,,NY
36,4017,1,G,4,1992-11-03,1.755,2.069,JRCP,,,,,,,,,,,8.8,,1992,,378.0,364017,473,6.9,1034.0,1973-06-01,,NY
36,4017,1,G,4,1992-11-03,1.748,2.044,JRCP,,,,,,,,,,,8.8,,1992,,378.0,364017,473,6.9,1034.0,1973-06-01,,NY
36,4017,1,G,4,1992-11-03,1.739,2.064,JRCP,,,,,,,,,,,8.8,,1992,,378.0,364017,473,6.9,1034.0,1973-06-01,,NY
36,4017,1,G,4,1992-11-03,1.756,2.062,JRCP,,,,,,,,,,,8.8,,1992,,378.0,364017,473,6.9,1034.0,1973-06-01,,NY
36,4017,1,G,4,1992-11-03,1.68,2.082,JRCP,,,,,,,,,,,8.8,,1992,,378.0,364017,473,6.9,1034.0,1973-06-01,,NY
36,4017,1,G,4,1993-08-03,2.002,2.138,JRCP,,,,,,,,,,,8.8,,1993,,,364017,636,7.0,927.1,1973-06-01,,NY
36,4017,1,G,4,1993-08-03,1.996,2.135,JRCP,,,,,,,,,,,8.8,,1993,,,364017,636,7.0,927.1,1973-06-01,,NY
36,4017,1,G,4,1993-08-03,2.04,2.101,JRCP,,,,,,,,,,,8.8,,1993,,,364017,636,7.0,927.1,1973-06-01,,NY
36,4017,1,G,4,1993-08-03,2.002,2.102,JRCP,,,,,,,,,,,8.8,,1993,,,364017,636,7.0,927.1,1973-06-01,,NY
36,4017,1,G,4,1993-08-03,1.992,2.134,JRCP,,,,,,,,,,,8.8,,1993,,,364017,636,7.0,927.1,1973-06-01,,NY
36,4017,1,G,4,1994-06-01,1.996,1.983,JRCP,,,,,,,,,,,8.8,,1994,,,364017,714,7.0,994.6,1973-06-01,76.7734375,NY
36,4017,1,G,4,1994-06-01,1.988,2.028,JRCP,,,,,,,,,,,8.8,,1994,,,364017,714,7.0,994.6,1973-06-01,76.7734375,NY
36,4017,1,G,4,1994-06-01,1.945,2.046,JRCP,,,,,,,,,,,8.8,,1994,,,364017,714,7.0,994.6,1973-06-01,76.7734375,NY
36,4017,1,G,4,1994-06-01,1.917,2.053,JRCP,,,,,,,,,,,8.8,,1994,,,364017,714,7.0,994.6,1973-06-01,76.7734375,NY
36,4017,1,G,4,1994-06-01,1.922,2.135,JRCP,,,,,,,,,,,8.8,,1994,,,364017,714,7.0,994.6,1973-06-01,76.7734375,NY
36,4017,2,G,4,1997-04-11,2.416,2.228,JRCP,100.0,,0.1,3.8,38.0,0.0,,,,,8.8,,1997,,,364017,480,7.0,906.9,,82.63020833333333,NY
36,4017,2,G,4,1997-04-11,2.396,2.205,JRCP,100.0,,0.1,3.8,38.0,0.0,,,,,8.8,,1997,,,364017,480,7.0,906.9,,82.63020833333333,NY
36,4017,2,G,4,1997-04-11,2.421,2.263,JRCP,100.0,,0.1,3.8,38.0,0.0,,,,,8.8,,1997,,,364017,480,7.0,906.9,,82.63020833333333,NY
36,4017,2,G,4,1997-04-11,2.429,2.216,JRCP,100.0,,0.1,3.8,38.0,0.0,,,,,8.8,,1997,,,364017,480,7.0,906.9,,82.63020833333333,NY
36,4017,2,G,4,1997-04-11,2.439,2.19,JRCP,100.0,,0.1,3.8,38.0,0.0,,,,,8.8,,1997,,,364017,480,7.0,906.9,,82.63020833333333,NY
