STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_JPCC,MEPDG_CRACKING_PERCENT_JPCC,AVG_WHEELPATH_FAULT,TRANS_SPALLING_L,TRANS_CRACK_NO,PATCH_RIGID_A,HPMS16_CRACKING_PERCENT_CRCP,MEPDG_PUNCHOUTS_CRCP,PUNCHOUTS_NO,LONG_SPALLING_L,BOUND_THICKNESS_CM,PLASTICITY_INDEX,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
39,3013,1,G,3,1989-09-26,3.649,3.62,JPCTB,,,,,,,,,,,8.2,11.0,1989,,,393013,322,11.1,1320.0,1970-03-01,OH
39,3013,1,G,3,1989-09-26,3.689,3.743,JPCTB,,,,,,,,,,,8.2,11.0,1989,,,393013,322,11.1,1320.0,1970-03-01,OH
39,3013,1,G,3,1989-09-26,3.666,3.678,JPCTB,,,,,,,,,,,8.2,11.0,1989,,,393013,322,11.1,1320.0,1970-03-01,OH
39,3013,1,G,3,1990-08-16,3.926,3.964,JPCTB,,,,,,,,,,,8.2,11.0,1990,,,393013,74,12.7,1447.7,1970-03-01,OH
39,3013,1,G,3,1990-08-16,3.966,4.011,JPCTB,,,,,,,,,,,8.2,11.0,1990,,,393013,74,12.7,1447.7,1970-03-01,OH
39,3013,1,G,3,1990-08-16,3.953,4.018,JPCTB,,,,,,,,,,,8.2,11.0,1990,,,393013,74,12.7,1447.7,1970-03-01,OH
39,3013,1,G,3,1990-08-16,3.941,3.997,JPCTB,,,,,,,,,,,8.2,11.0,1990,,,393013,74,12.7,1447.7,1970-03-01,OH
39,3013,1,G,3,1990-08-16,3.909,3.99,JPCTB,,,,,,,,,,,8.2,11.0,1990,,,393013,74,12.7,1447.7,1970-03-01,OH
39,3013,1,G,3,1991-11-05,3.973,4.007,JPCTB,,,,,,,,,,,8.2,11.0,1991,,,393013,163,12.6,1135.8,1970-03-01,OH
39,3013,1,G,3,1991-11-05,3.966,3.96,JPCTB,,,,,,,,,,,8.2,11.0,1991,,,393013,163,12.6,1135.8,1970-03-01,OH
