STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_JPCC,MEPDG_CRACKING_PERCENT_JPCC,AVG_WHEELPATH_FAULT,TRANS_SPALLING_L,TRANS_CRACK_NO,PATCH_RIGID_A,HPMS16_CRACKING_PERCENT_CRCP,MEPDG_PUNCHOUTS_CRCP,PUNCHOUTS_NO,LONG_SPALLING_L,BOUND_THICKNESS_CM,PLASTICITY_INDEX,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
89,3001,1,G,3,1989-09-22,2.209,2.651,JPCTB,,,,,,,,,,,9.0,,1989,,,893001,1392,4.9,940.7,1977-06-01,QC
89,3001,1,G,3,1989-09-22,2.128,2.762,JPCTB,,,,,,,,,,,9.0,,1989,,,893001,1392,4.9,940.7,1977-06-01,QC
89,3001,1,G,3,1989-09-22,2.117,2.728,JPCTB,,,,,,,,,,,9.0,,1989,,,893001,1392,4.9,940.7,1977-06-01,QC
89,3001,1,G,3,1989-09-22,2.084,2.723,JPCTB,,,,,,,,,,,9.0,,1989,,,893001,1392,4.9,940.7,1977-06-01,QC
89,3001,1,G,3,1989-09-22,2.156,2.658,JPCTB,,,,,,,,,,,9.0,,1989,,,893001,1392,4.9,940.7,1977-06-01,QC
89,3001,1,G,3,1990-06-25,2.2,2.856,JPCTB,,,,,,,,,,,9.0,,1990,,,893001,693,6.7,1139.0,1977-06-01,QC
89,3001,1,G,3,1990-06-25,2.155,2.963,JPCTB,,,,,,,,,,,9.0,,1990,,,893001,693,6.7,1139.0,1977-06-01,QC
89,3001,1,G,3,1990-06-25,2.195,2.904,JPCTB,,,,,,,,,,,9.0,,1990,,,893001,693,6.7,1139.0,1977-06-01,QC
89,3001,1,G,3,1990-06-25,2.133,2.922,JPCTB,,,,,,,,,,,9.0,,1990,,,893001,693,6.7,1139.0,1977-06-01,QC
89,3001,1,G,3,1990-06-25,2.207,2.847,JPCTB,,,,,,,,,,,9.0,,1990,,,893001,693,6.7,1139.0,1977-06-01,QC
89,3001,2,G,3,1995-07-18,2.192,2.883,JPCTB,,,,,,,,,,,9.0,,1995,,,893001,974,6.3,1049.8,,QC
89,3001,2,G,3,1995-07-18,2.163,2.826,JPCTB,,,,,,,,,,,9.0,,1995,,,893001,974,6.3,1049.8,,QC
89,3001,2,G,3,1995-07-18,2.18,2.879,JPCTB,,,,,,,,,,,9.0,,1995,,,893001,974,6.3,1049.8,,QC
89,3001,2,G,3,1990-10-25,2.022,2.761,JPCTB,,,,,,,,,,,9.0,,1990,,,893001,693,6.7,1139.0,,QC
89,3001,2,G,3,1990-10-25,2.084,2.77,JPCTB,,,,,,,,,,,9.0,,1990,,,893001,693,6.7,1139.0,,QC
89,3001,2,G,3,1990-10-25,2.114,2.702,JPCTB,,,,,,,,,,,9.0,,1990,,,893001,693,6.7,1139.0,,QC
89,3001,2,G,3,1990-10-25,1.964,2.798,JPCTB,,,,,,,,,,,9.0,,1990,,,893001,693,6.7,1139.0,,QC
89,3001,2,G,3,1990-10-25,2.122,2.728,JPCTB,,,,,,,,,,,9.0,,1990,,,893001,693,6.7,1139.0,,QC
89,3001,2,G,3,1991-07-15,2.083,2.923,JPCTB,,,,,,,,,,,9.0,,1991,,,893001,876,6.6,916.2,,QC
89,3001,2,G,3,1991-07-15,2.156,2.972,JPCTB,,,,,,,,,,,9.0,,1991,,,893001,876,6.6,916.2,,QC
89,3001,2,G,3,1991-07-15,2.098,2.928,JPCTB,,,,,,,,,,,9.0,,1991,,,893001,876,6.6,916.2,,QC
89,3001,2,G,3,1991-07-15,2.124,2.967,JPCTB,,,,,,,,,,,9.0,,1991,,,893001,876,6.6,916.2,,QC
89,3001,2,G,3,1991-07-15,2.083,2.91,JPCTB,,,,,,,,,,,9.0,,1991,,,893001,876,6.6,916.2,,QC
89,3001,2,G,3,1992-08-24,1.988,2.829,JPCTB,,,,,,,,,,,9.0,,1992,350.0,,893001,1042,5.3,908.2,,QC
89,3001,2,G,3,1992-08-24,1.988,2.829,JPCTB,,,,,,,,,,,9.0,,1992,350.0,,893001,1042,5.3,908.2,,QC
89,3001,2,G,3,1992-08-24,1.93,2.776,JPCTB,,,,,,,,,,,9.0,,1992,350.0,,893001,1042,5.3,908.2,,QC
89,3001,2,G,3,1992-08-24,1.93,2.776,JPCTB,,,,,,,,,,,9.0,,1992,350.0,,893001,1042,5.3,908.2,,QC
89,3001,2,G,3,1992-08-24,1.94,2.758,JPCTB,,,,,,,,,,,9.0,,1992,350.0,,893001,1042,5.3,908.2,,QC
89,3001,2,G,3,1992-08-24,1.94,2.758,JPCTB,,,,,,,,,,,9.0,,1992,350.0,,893001,1042,5.3,908.2,,QC
89,3001,2,G,3,1992-08-24,1.949,2.804,JPCTB,,,,,,,,,,,9.0,,1992,350.0,,893001,1042,5.3,908.2,,QC
89,3001,2,G,3,1992-08-24,1.949,2.804,JPCTB,,,,,,,,,,,9.0,,1992,350.0,,893001,1042,5.3,908.2,,QC
89,3001,2,G,3,1992-08-24,1.974,2.801,JPCTB,,,,,,,,,,,9.0,,1992,350.0,,893001,1042,5.3,908.2,,QC
89,3001,2,G,3,1992-08-24,1.974,2.801,JPCTB,,,,,,,,,,,9.0,,1992,350.0,,893001,1042,5.3,908.2,,QC
89,3001,2,G,3,1993-08-11,1.996,2.793,JPCTB,,,,,,,,,,,9.0,,1993,,,893001,1133,5.4,1117.3,,QC
89,3001,2,G,3,1993-08-11,2.019,2.781,JPCTB,,,,,,,,,,,9.0,,1993,,,893001,1133,5.4,1117.3,,QC
89,3001,2,G,3,1993-08-11,2.018,2.727,JPCTB,,,,,,,,,,,9.0,,1993,,,893001,1133,5.4,1117.3,,QC
89,3001,2,G,3,1993-08-11,1.983,2.841,JPCTB,,,,,,,,,,,9.0,,1993,,,893001,1133,5.4,1117.3,,QC
89,3001,2,G,3,1993-08-11,2.062,2.864,JPCTB,,,,,,,,,,,9.0,,1993,,,893001,1133,5.4,1117.3,,QC
89,3001,2,G,3,1994-07-17,2.131,2.819,JPCTB,,,,,,,,,,,9.0,,1994,,,893001,1189,5.6,1061.6,,QC
89,3001,2,G,3,1994-07-17,2.106,2.844,JPCTB,,,,,,,,,,,9.0,,1994,,,893001,1189,5.6,1061.6,,QC
89,3001,2,G,3,1994-07-17,2.156,2.865,JPCTB,,,,,,,,,,,9.0,,1994,,,893001,1189,5.6,1061.6,,QC
89,3001,2,G,3,1994-07-17,2.099,2.773,JPCTB,,,,,,,,,,,9.0,,1994,,,893001,1189,5.6,1061.6,,QC
89,3001,2,G,3,1994-07-17,2.118,2.823,JPCTB,,,,,,,,,,,9.0,,1994,,,893001,1189,5.6,1061.6,,QC
89,3001,2,G,3,1995-07-18,2.219,2.928,JPCTB,,,,,,,,,,,9.0,,1995,,,893001,974,6.3,1049.8,,QC
89,3001,2,G,3,1995-07-18,2.192,2.889,JPCTB,,,,,,,,,,,9.0,,1995,,,893001,974,6.3,1049.8,,QC
89,3001,3,G,3,1997-07-14,2.346,2.952,JPCTB,3,3,0.0,7.8,1,0.0,,,,,9.0,,1997,490.0,582.0,893001,1062,5.4,978.9,,QC
89,3001,3,G,3,1997-07-14,2.346,2.952,JPCTB,3,3,0.0,7.8,1,0.0,,,,,9.0,,1997,490.0,582.0,893001,1062,5.4,978.9,,QC
89,3001,3,G,3,1997-07-14,2.346,2.952,JPCTB,3,3,0.0,7.8,1,0.0,,,,,9.0,,1997,490.0,582.0,893001,1062,5.4,978.9,,QC
89,3001,3,G,3,1997-07-14,2.31,2.937,JPCTB,3,3,0.0,7.8,1,0.0,,,,,9.0,,1997,490.0,582.0,893001,1062,5.4,978.9,,QC
89,3001,3,G,3,1997-07-14,2.31,2.937,JPCTB,3,3,0.0,7.8,1,0.0,,,,,9.0,,1997,490.0,582.0,893001,1062,5.4,978.9,,QC
89,3001,3,G,3,1997-07-14,2.31,2.937,JPCTB,3,3,0.0,7.8,1,0.0,,,,,9.0,,1997,490.0,582.0,893001,1062,5.4,978.9,,QC
89,3001,3,G,3,1997-07-14,2.276,2.897,JPCTB,3,3,0.0,7.8,1,0.0,,,,,9.0,,1997,490.0,582.0,893001,1062,5.4,978.9,,QC
89,3001,3,G,3,1997-07-14,2.276,2.897,JPCTB,3,3,0.0,7.8,1,0.0,,,,,9.0,,1997,490.0,582.0,893001,1062,5.4,978.9,,QC
