STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_JPCC,MEPDG_CRACKING_PERCENT_JPCC,AVG_WHEELPATH_FAULT,TRANS_SPALLING_L,TRANS_CRACK_NO,PATCH_RIGID_A,HPMS16_CRACKING_PERCENT_CRCP,MEPDG_PUNCHOUTS_CRCP,PUNCHOUTS_NO,LONG_SPALLING_L,BOUND_THICKNESS_CM,PLASTICITY_INDEX,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
49,3010,1,G,3,1989-08-05,1.332,1.483,JPCTB,,,,,,,,,,,9.4,38.0,1989,,,493010,381.0,9.3,206.4,1978-08-01,UT
49,3010,1,G,3,1989-08-05,1.315,1.423,JPCTB,,,,,,,,,,,9.4,38.0,1989,,,493010,381.0,9.3,206.4,1978-08-01,UT
49,3010,1,G,3,1989-08-05,1.284,1.457,JPCTB,,,,,,,,,,,9.4,38.0,1989,,,493010,381.0,9.3,206.4,1978-08-01,UT
49,3010,1,G,3,1989-08-05,1.348,1.438,JPCTB,,,,,,,,,,,9.4,38.0,1989,,,493010,381.0,9.3,206.4,1978-08-01,UT
49,3010,1,G,3,1989-08-05,1.3,1.479,JPCTB,,,,,,,,,,,9.4,38.0,1989,,,493010,381.0,9.3,206.4,1978-08-01,UT
49,3010,1,G,3,1990-09-05,1.416,1.596,JPCTB,3.0,3,,4.9,1,0.0,,,,,9.4,38.0,1990,,,493010,429.0,9.3,319.0,1978-08-01,UT
49,3010,1,G,3,1990-09-05,1.387,1.496,JPCTB,3.0,3,,4.9,1,0.0,,,,,9.4,38.0,1990,,,493010,429.0,9.3,319.0,1978-08-01,UT
49,3010,1,G,3,1990-09-05,1.449,1.643,JPCTB,3.0,3,,4.9,1,0.0,,,,,9.4,38.0,1990,,,493010,429.0,9.3,319.0,1978-08-01,UT
49,3010,1,G,3,1990-09-05,1.368,1.522,JPCTB,3.0,3,,4.9,1,0.0,,,,,9.4,38.0,1990,,,493010,429.0,9.3,319.0,1978-08-01,UT
49,3010,1,G,3,1990-09-05,1.339,1.542,JPCTB,3.0,3,,4.9,1,0.0,,,,,9.4,38.0,1990,,,493010,429.0,9.3,319.0,1978-08-01,UT
49,3010,1,G,3,1991-10-23,1.669,1.903,JPCTB,3.0,3,,4.9,1,0.0,,,,,9.4,38.0,1991,,,493010,233.0,8.9,289.9,1978-08-01,UT
49,3010,1,G,3,1991-10-23,1.676,1.917,JPCTB,3.0,3,,4.9,1,0.0,,,,,9.4,38.0,1991,,,493010,233.0,8.9,289.9,1978-08-01,UT
49,3010,1,G,3,1991-10-23,1.715,1.94,JPCTB,3.0,3,,4.9,1,0.0,,,,,9.4,38.0,1991,,,493010,233.0,8.9,289.9,1978-08-01,UT
