STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_JPCC,MEPDG_CRACKING_PERCENT_JPCC,AVG_WHEELPATH_FAULT,TRANS_SPALLING_L,TRANS_CRACK_NO,PATCH_RIGID_A,HPMS16_CRACKING_PERCENT_CRCP,MEPDG_PUNCHOUTS_CRCP,PUNCHOUTS_NO,LONG_SPALLING_L,BOUND_THICKNESS_CM,PLASTICITY_INDEX,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
55,3008,1,G,3,1990-06-06,3.181,3.579,JPCUB,,,,,,,,,,,10.7,,1990,,,553008,357,8.4,867.9,1975-12-01,WI
55,3008,1,G,3,1990-06-06,3.304,3.625,JPCUB,,,,,,,,,,,10.7,,1990,,,553008,357,8.4,867.9,1975-12-01,WI
55,3008,1,G,3,1990-06-06,3.32,3.674,JPCUB,,,,,,,,,,,10.7,,1990,,,553008,357,8.4,867.9,1975-12-01,WI
55,3008,1,G,3,1990-06-06,3.171,3.601,JPCUB,,,,,,,,,,,10.7,,1990,,,553008,357,8.4,867.9,1975-12-01,WI
55,3008,1,G,3,1990-06-06,3.211,3.643,JPCUB,,,,,,,,,,,10.7,,1990,,,553008,357,8.4,867.9,1975-12-01,WI
55,3008,1,G,3,1991-08-02,3.579,4.024,JPCUB,,,,,,,,,,,10.7,,1991,,,553008,515,8.3,852.2,1975-12-01,WI
55,3008,1,G,3,1991-08-02,3.543,4.026,JPCUB,,,,,,,,,,,10.7,,1991,,,553008,515,8.3,852.2,1975-12-01,WI
55,3008,1,G,3,1991-08-02,3.517,3.968,JPCUB,,,,,,,,,,,10.7,,1991,,,553008,515,8.3,852.2,1975-12-01,WI
55,3008,1,G,3,1991-08-02,3.536,4.02,JPCUB,,,,,,,,,,,10.7,,1991,,,553008,515,8.3,852.2,1975-12-01,WI
55,3008,1,G,3,1991-08-02,3.573,4.046,JPCUB,,,,,,,,,,,10.7,,1991,,,553008,515,8.3,852.2,1975-12-01,WI
