STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_JPCC,MEPDG_CRACKING_PERCENT_JPCC,AVG_WHEELPATH_FAULT,TRANS_SPALLING_L,TRANS_CRACK_NO,PATCH_RIGID_A,HPMS16_CRACKING_PERCENT_CRCP,MEPDG_PUNCHOUTS_CRCP,PUNCHOUTS_NO,LONG_SPALLING_L,BOUND_THICKNESS_CM,PLASTICITY_INDEX,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,LOAD_TRANSFER_EFFICIENCY,STATE_ABBR
56,3027,1,G,3,1989-06-28,2.13,2.402,JPCUB,,,,,,,,,,,10.6,15.0,1989,,,563027,795,6.1,166.3,1981-06-01,87.63333333333334,WY
56,3027,1,G,3,1989-06-28,2.141,2.307,JPCUB,,,,,,,,,,,10.6,15.0,1989,,,563027,795,6.1,166.3,1981-06-01,87.63333333333334,WY
56,3027,1,G,3,1989-06-28,2.137,2.386,JPCUB,,,,,,,,,,,10.6,15.0,1989,,,563027,795,6.1,166.3,1981-06-01,87.63333333333334,WY
56,3027,1,G,3,1989-06-28,2.14,2.343,JPCUB,,,,,,,,,,,10.6,15.0,1989,,,563027,795,6.1,166.3,1981-06-01,87.63333333333334,WY
56,3027,1,G,3,1989-06-28,2.147,2.298,JPCUB,,,,,,,,,,,10.6,15.0,1989,,,563027,795,6.1,166.3,1981-06-01,87.63333333333334,WY
56,3027,1,G,3,1990-11-09,2.365,2.808,JPCUB,,,,,,,,,,,10.6,15.0,1990,,,563027,682,6.6,182.2,1981-06-01,,WY
56,3027,1,G,3,1990-11-09,2.405,2.77,JPCUB,,,,,,,,,,,10.6,15.0,1990,,,563027,682,6.6,182.2,1981-06-01,,WY
56,3027,1,G,3,1990-11-09,2.394,2.79,JPCUB,,,,,,,,,,,10.6,15.0,1990,,,563027,682,6.6,182.2,1981-06-01,,WY
56,3027,1,G,3,1990-11-09,2.428,2.776,JPCUB,,,,,,,,,,,10.6,15.0,1990,,,563027,682,6.6,182.2,1981-06-01,,WY
56,3027,1,G,3,1990-11-09,2.409,2.807,JPCUB,,,,,,,,,,,10.6,15.0,1990,,,563027,682,6.6,182.2,1981-06-01,,WY
56,3027,1,G,3,1991-09-25,2.289,2.817,JPCUB,0.0,0.0,3.0,5.2,0.0,0.0,,,,,10.6,15.0,1991,,,563027,789,5.7,299.3,1981-06-01,,WY
56,3027,1,G,3,1991-09-25,2.356,2.779,JPCUB,0.0,0.0,3.0,5.2,0.0,0.0,,,,,10.6,15.0,1991,,,563027,789,5.7,299.3,1981-06-01,,WY
56,3027,1,G,3,1991-09-25,2.339,2.764,JPCUB,0.0,0.0,3.0,5.2,0.0,0.0,,,,,10.6,15.0,1991,,,563027,789,5.7,299.3,1981-06-01,,WY
56,3027,1,G,3,1991-09-25,2.343,2.92,JPCUB,0.0,0.0,3.0,5.2,0.0,0.0,,,,,10.6,15.0,1991,,,563027,789,5.7,299.3,1981-06-01,,WY
