Model,R2,RMSE,MAE,Train_time_s,CV_R2_mean,CV_R2_std,Speedup_vs_RF,Speedup_vs_ANN,Variant,N_train,N_test
MEPDG-style Linear Regression,0.1960288575995358,0.5791437632371245,0.4607503188209784,0.1874,,,4.3959445037353255,10.369263607257203,structural,1317,235
Random Forest,0.3236958038006654,0.5311744716405336,0.41068929343971666,0.8238,,,1.0,2.35882495751396,structural,1317,235
"ANN (MLP, Optuna-tuned)",0.10741239257871615,0.6102272255489636,0.4782301202515151,1.9432,0.01125197008263909,,0.42393989296006584,1.0,structural,1317,235
"Gradient-Boosted Ensemble (LightGBM, Optuna-tuned)",0.4138082302701661,0.49452244957700237,0.3695905907590137,0.4879,0.22695785329430818,0.11285976839139729,1.6884607501537199,3.9827833572453373,structural,1317,235
MEPDG-style Linear Regression,0.20119153597880624,0.5772812906660222,0.45854364354322763,0.0341,,,19.005865102639298,59.02052785923754,no_traffic_lte,1317,235
Random Forest,0.3180345196174881,0.5333930463206793,0.41888130629432657,0.6481,,,1.0,3.105384971455022,no_traffic_lte,1317,235
"ANN (MLP, Optuna-tuned)",0.14237448391329444,0.5981567395554315,0.45978254774801036,2.0126,0.03442859607841081,,0.3220212660240485,1.0,no_traffic_lte,1317,235
"Gradient-Boosted Ensemble (LightGBM, Optuna-tuned)",0.3947964927778651,0.5024777915426402,0.37767182037008873,0.071,0.21013961607029402,0.1074313057669281,9.128169014084508,28.346478873239437,no_traffic_lte,1317,235
MEPDG-style Linear Regression,0.6803102444247053,0.3955365019977056,0.2778495198147779,0.7741,,,1.5999224906342848,1.3752745123369075,operational_lagged,1179,180
Random Forest,0.7190470769202266,0.3707993687492412,0.2293457432870371,1.2385,,,1.0,0.8595882115462253,operational_lagged,1179,180
"ANN (MLP, Optuna-tuned)",0.6497916680239149,0.41398580103090227,0.27608799243769094,1.0646,0.37277313563038494,,1.163347736238963,1.0,operational_lagged,1179,180
"Gradient-Boosted Ensemble (LightGBM, Optuna-tuned)",0.6981600229642789,0.38433557730361567,0.2575235268159016,0.5618,0.5415000888967451,0.09466392256907025,2.2045211819152724,1.8949804200783198,operational_lagged,1179,180
