Model,R2,RMSE,MAE,Train_time_s,CV_R2_mean,CV_R2_std,Speedup_vs_RF,Speedup_vs_ANN,Variant,N_train,N_test
MEPDG-style Linear Regression,0.13947003788421208,0.6401623708887154,0.47124754683181197,2.0864,,,1.066957438650307,2.2434815950920246,structural,1286,407
Random Forest,0.19512650789878405,0.6191144729496115,0.4589694150256927,2.2261,,,1.0,2.1026908045460666,structural,1286,407
"ANN (MLP, Optuna-tuned)",0.008778418501255936,0.6870566048264517,0.5193704844661385,4.6808,-0.434229875429855,,0.4755810972483337,1.0,structural,1286,407
"Gradient-Boosted Ensemble (LightGBM, Optuna-tuned)",0.22017163894875003,0.6094059036947189,0.453720463070696,1.5311,0.18764694740944826,0.09949079881636369,1.4539220168506304,3.057148455358892,structural,1286,407
XGBoost (Optuna-tuned),0.2099985154075732,0.6133679765218676,0.4577727160132781,1.6849,0.14056045099694595,,1.3212060062911746,2.7780877203394856,structural,1286,407
CatBoost (Optuna-tuned),0.16296225767987116,0.6313637815706237,0.4813828758509111,1.9748,0.17460577930791538,,1.1272533927486328,2.370265343325906,structural,1286,407
MEPDG-style Linear Regression,0.16243602028782023,0.6315622164853958,0.46613367957502205,0.0779,,,7.558408215661104,8.146341463414634,no_traffic_lte,1286,407
Random Forest,0.20050241340840513,0.6170434163375867,0.4566257640200454,0.5888,,,1.0,1.0777853260869565,no_traffic_lte,1286,407
"ANN (MLP, Optuna-tuned)",0.01599343487292526,0.6845515250613798,0.5263030542787678,0.6346,-0.26330840707776715,,0.9278285534194768,1.0,no_traffic_lte,1286,407
"Gradient-Boosted Ensemble (LightGBM, Optuna-tuned)",0.2027922580091993,0.6161591443223984,0.458146766081242,0.1055,0.16601035934549965,0.08662663416086437,5.581042654028436,6.015165876777252,no_traffic_lte,1286,407
MEPDG-style Linear Regression,0.37092654719343543,0.39632986277960497,0.2686218274440307,2.1322,,,1.2904042772723008,1.6234405778069598,operational_lagged,1103,384
Random Forest,0.3815879456125242,0.3929570556741938,0.24775410431035463,2.7514,,,1.0,1.2580867921785275,operational_lagged,1103,384
"ANN (MLP, Optuna-tuned)",0.13686800150841727,0.4642423185005284,0.3334972754721308,3.4615,0.15103185937241728,,0.7948577206413404,1.0,operational_lagged,1103,384
"Gradient-Boosted Ensemble (LightGBM, Optuna-tuned)",0.39135000903458417,0.3898431681652392,0.258768741974525,9.6333,0.5696274774404055,0.12466694126639104,0.28561344502922154,0.3593265028598715,operational_lagged,1103,384
