Model,R2,RMSE,MAE,Train_time_s,CV_R2_mean,CV_R2_std,Speedup_vs_RF,Speedup_vs_ANN,Variant,N_train,N_test
MEPDG-style Linear Regression,-0.4482948559169415,0.551721802298911,0.42536848203601463,0.1204,,,3.9626245847176085,6.313953488372094,structural,313,90
Random Forest,-0.17083549391852482,0.49606614865315146,0.33646419999999977,0.4771,,,1.0,1.593376650597359,structural,313,90
"ANN (MLP, Optuna-tuned)",-1.2259007157681787,0.6839818015016395,0.4790224139844606,0.7602,-0.5020840753164615,,0.6275980005261773,1.0,structural,313,90
"Gradient-Boosted Ensemble (LightGBM, Optuna-tuned)",0.22625153530285802,0.40326594876085464,0.2840034205847856,0.1542,0.06637407210081755,0.24587899696083354,3.094033722438392,4.929961089494163,structural,313,90
XGBoost (Optuna-tuned),0.16995987232115795,0.41767761125566943,0.29977847545411856,0.2994,-0.11025101997049674,,1.5935203740814965,2.539078156312625,structural,313,90
CatBoost (Optuna-tuned),0.09496695804899313,0.43613794182116905,0.3245796088103902,0.5807,-0.06334017864070288,,0.8215946271741003,1.3091096951954537,structural,313,90
MEPDG-style Linear Regression,-0.31475935129842303,0.525671929208704,0.406929464691849,0.0078,,,45.93589743589744,58.871794871794876,no_traffic_lte,313,90
Random Forest,-0.22495346597188703,0.5074011504696399,0.34487632500000015,0.3583,,,1.0,1.2816075914038514,no_traffic_lte,313,90
"ANN (MLP, Optuna-tuned)",-1.4737728879075611,0.7210602667304693,0.5033758558322416,0.4592,-0.8751631709751119,,0.7802700348432056,1.0,no_traffic_lte,313,90
"Gradient-Boosted Ensemble (LightGBM, Optuna-tuned)",0.2435211193303577,0.3987402309990437,0.28546630932053696,0.0263,0.08224123607215986,0.29036240802685714,13.623574144486692,17.460076045627375,no_traffic_lte,313,90
MEPDG-style Linear Regression,-0.1750183619431569,0.5149730956214162,0.25338773232512346,0.2088,,,2.812739463601533,1.154214559386973,operational_lagged,267,84
Random Forest,0.4063308030513859,0.36604499365726284,0.20588418154761876,0.5873,,,1.0,0.41035246041205514,operational_lagged,267,84
"ANN (MLP, Optuna-tuned)",-2.54401965692415,0.8943556904541278,0.41754141569842756,0.241,0.20212738350880213,,2.436929460580913,1.0,operational_lagged,267,84
"Gradient-Boosted Ensemble (LightGBM, Optuna-tuned)",0.26782350522693943,0.40650894349130523,0.2553960401017512,0.2101,0.5398115071080672,0.25630161291248926,2.7953355544978584,1.1470728224654925,operational_lagged,267,84
