Model,R2,RMSE,MAE,Train_time_s,CV_R2_mean,CV_R2_std,Speedup_vs_RF,Speedup_vs_ANN,Variant,N_train,N_test
MEPDG-style Linear Regression,-0.21849388556774407,0.9002591143200768,0.6803412996984233,0.2283,,,3.3057380639509417,9.168637757336837,structural,1097,193
Random Forest,-0.10482939163129368,0.8572420365933431,0.6286720317838158,0.7547,,,1.0,2.7735524049291107,structural,1097,193
"ANN (MLP, Optuna-tuned)",-0.3512012347736533,0.9480164352109314,0.7136793149223877,2.0932,0.02235716787354311,,0.3605484425759603,1.0,structural,1097,193
"Gradient-Boosted Ensemble (LightGBM, Optuna-tuned)",-0.29417233448469715,0.9277947391772732,0.6918140399536055,0.41,0.18193876793778835,0.04841904318318091,1.8407317073170735,5.105365853658537,structural,1097,193
MEPDG-style Linear Regression,-0.22234519150851328,0.9016807209259773,0.6851298629158922,0.009,,,45.97777777777778,419.4888888888889,no_traffic_lte,1097,193
Random Forest,-0.11512762109285624,0.8612279907748427,0.6393272815099528,0.4138,,,1.0,9.12373127114548,no_traffic_lte,1097,193
"ANN (MLP, Optuna-tuned)",-0.15108300558425425,0.8750022521601303,0.690796215958833,3.7754,0.01958807894637346,,0.10960428034115591,1.0,no_traffic_lte,1097,193
"Gradient-Boosted Ensemble (LightGBM, Optuna-tuned)",-0.33127136692479664,0.9409989643136504,0.7087020670702672,0.0644,0.1845167079266979,0.05237348450415554,6.425465838509317,58.62422360248447,no_traffic_lte,1097,193
MEPDG-style Linear Regression,0.35884392239083807,0.5207883432896467,0.34561461506942653,0.754,,,1.870026525198939,1.7879310344827588,operational_lagged,851,285
Random Forest,0.34623996418213165,0.5258823047592033,0.33617864745912995,1.41,,,1.0,0.956099290780142,operational_lagged,851,285
"ANN (MLP, Optuna-tuned)",0.4681123065170858,0.4743395576474878,0.3491978042912683,1.3481,0.4958542101847011,,1.0459164750389436,1.0,operational_lagged,851,285
"Gradient-Boosted Ensemble (LightGBM, Optuna-tuned)",0.43133217612432173,0.4904657679452562,0.32386932799523527,0.4441,0.5738650534670088,0.1174107557401407,3.174960594460707,3.03557757261878,operational_lagged,851,285
